TaxonID	TaxonRank	ScientificName	Author	SpeciesScientificName	SpeciesAuthor
	suku	Limnesia	Koch, 1839	Limnesia koenikei	Piersig, 1894
	suku	Limnesia	Koch, 1840	Limnesia maculata	(O.F.Müller, 1776)
	suku	Limnesia	Koch, 1841	Limnesia polonica	Schechtel, 1910
	suku	Limnesia	Koch, 1842	Limnesia undulata	(O.F.Müller, 1781)
	heimo	Unionicolidae	Oudemans, 1909	 	
	suku	Unionicola	Haldeman, 1842	 	
	suku	Unionicola	Haldeman, 1843	Unionicola aculeata	(Koenike, 1890)
	suku	Unionicola	Haldeman, 1844	Unionicola crassipes	(O.F.Müller, 1776)
	suku	Unionicola	Haldeman, 1845	Unionicola figuralis	(Koch, 1836)
	suku	Unionicola	Haldeman, 1846	Unionicola gracilipalpis	(Viets, 1908)
	suku	Unionicola	Haldeman, 1847	Unionicola intermedia	(Koenike, 1882)
	suku	Unionicola	Haldeman, 1848	Unionicola minor	(Soar, 1900)
	suku	Unionicola	Haldeman, 1849	Unionicola parvipora	Lundblad, 1920
	suku	Unionicola	Haldeman, 1850	Unionicola ypsilophora	(Bonz, 1783)
	suku	Neumania	Lebert, 1879	 	
	suku	Neumania	Lebert, 1880	Neumania callosa	(Koenike, 1895)
	suku	Neumania	Lebert, 1881	Neumania limosa	(Koch, 1836)
	suku	Neumania	Lebert, 1882	Neumania spinipes	(O.F.Müller, 1776)
	suku	Neumania	Lebert, 1883	Neumania vernalis	(O.F.Müller, 1776)
	heimo	Feltriidae	Viets, 1926	 	
	suku	Feltria	Koenike, 1892	 	
	suku	Feltria	Koenike, 1893	Feltria minuta	Koenike, 1892
	suku	Huitfeldtia	Thor, 1989	 	
	suku	Huitfeldtia	Thor, 1990	Huitfeldtia rectipes	Thor, 1898
	heimo	Pionidae	Thor, 1900	 	
	suku	Piona	Koch, 1842	 	
	suku	Piona	Koch, 1843	Piona alpicola	(Neuman, 1880)
	suku	Piona	Koch, 1844	Piona ambigua	(Piersig, 1894)
	suku	Piona	Koch, 1845	Piona brehmi	Walter, 1910
	suku	Piona	Koch, 1846	Piona carnea	(Koch, 1836)
	suku	Piona	Koch, 1847	Piona coccinea	(Koch, 1836)
	suku	Piona	Koch, 1848	Piona conglobata	(Koch, 1836)
	suku	Piona	Koch, 1849	Piona dentipes	Lundblad, 1962
	suku	Piona	Koch, 1850	Piona discrepans	(Koenike, 1895)
	suku	Piona	Koch, 1851	Piona disparilis	(Koenike, 1895)
	suku	Piona	Koch, 1852	Piona gyrophora	Lundblad, 1924
	suku	Piona	Koch, 1853	Piona longipalpis	(Krendowsky, 1878)
	suku	Piona	Koch, 1854	Piona nodata	(O.F.Müller, 1776)
	suku	Piona	Koch, 1855	Piona paucipora	(Thor, 1897)
	suku	Piona	Koch, 1856	Piona pusilla	(Neuman, 1875)
	suku	Piona	Koch, 1857	Piona rotundoides	(Thor, 1897)
	suku	Piona	Koch, 1858	Piona stjordalensis	(Thor, 1897)
	suku	Piona	Koch, 1859	Piona variabilis	(Koch, 1836)
	suku	Hydrochoreutes	Koch, 1837	 	
	suku	Hydrochoreutes	Koch, 1838	Hydrochoreutes krameri	Piersig, 1896
	suku	Hydrochoreutes	Koch, 1839	Hydrochoreutes ungulatus	(Koch, 1836)
	alaheimo	Tiphyinae	Oudemans, 1941	 	
	suku	Tiphys	Koch, 1836	 	
	suku	Tiphys	Koch, 1837	Tiphys lapponicus	(Neuman, 1880)
	suku	Tiphys	Koch, 1838	Tiphys ornatus	(Koch, 1836)
	suku	Tiphys	Koch, 1839	Tiphys scaurus	(Koenike, 1892)
	suku	Pionopsis	Piersig, 1894		
	suku	Pionopsis	Piersig, 1895	Pionopsis lutescens	(Hermann, 1804)
	suku	Pionacercus	Piersig, 1894	 	
	suku	Pionacercus	Piersig, 1895	Pionacercus leuckarti	(Piersig, 1894)
	suku	Pionacercus	Piersig, 1896	Pionacercus uncinatus	(Koenike, 1885)
	suku	Pionacercus	Piersig, 1897	Pionacercus vatrax	(Koenike, 1837)
	suku	Forelia	Haller, 1882	 	
	suku	Forelia	Haller, 1883	Forelia brevipes	(Neuman, 1880)
	suku	Forelia	Haller, 1884	Forelia longipalpis	Maglio, 1924
	suku	Forelia	Haller, 1885	Forelia liliacea	(O.F.Müller, 1776)
	suku	Forelia	Haller, 1886	Forelia variegator	(Koch, 1837)
	heimo	Aturidae	Thor 1900	 	
	suku	Aturus	Kramer, 1875	 	
	suku	Aturus	Kramer, 1876	Aturus scaber	Kramer, 1875
	suku	Brachypoda	Lebert, 1879	 	
	suku	Brachypoda	Lebert, 1880	Brachypoda versicolor	(O.F.Müller, 1776)
	suku	Ljania	Thor, 1898	 	
	suku	Ljania	Thor, 1899	Ljania bipapillata	Thor, 1898
	suku	Neobrachypoda	Koenike, 1914	 	
	suku	Neobrachypoda	Koenike, 1915	Neobrachypoda ekmani	(Walter, 1911)
	yläheimo	Arrenuroidea	Thor, 1900	 	
	heimo	Acalyptonotidae	Walter, 1911	 	
	suku	Acalyptonototus	Walter, 1911	 	
	suku	Acalyptonototus	Walter, 1912	Acalyptonototus violaceus	Walter, 1911
	heimo	Mideidae	Thor, 1911	 	
	suku	Midea	Bruzelius, 1854	 	
	suku	Midea	Bruzelius, 1855	Midea orbiculata	(O.F.Müller, 1776)
	heimo	Mideopsidae	Koenike, 1910	 	
	suku	Mideopsis	Neuman, 1880	 	
	suku	Mideopsis	Neuman, 1881	Mideopsis crassipes	Soar, 1904
	suku	Mideopsis	Neuman, 1882	Mideopsis orbicularis	(O.F.Müller, 1776)
	heimo	Arrenuridae	Thor, 1900	 	
	suku	Arrenurus	Walter, 1911	 	
	suku	Arrenurus	Walter, 1912	Arrenurus stjoerdalensis	Thor, 1899
	suku	Arrenurus	Walter, 1913	Arrenurus albator	(O.F.Müller, 1776)
	suku	Arrenurus	Walter, 1914	Arrenurus bicuspidator	Berlese, 1885
	suku	Arrenurus	Walter, 1915	Arrenurus biscissus	Lebert, 1879
	suku	Arrenurus	Walter, 1916	Arrenurus buccinator	(O.F.Müller, 1776)
	suku	Arrenurus	Walter, 1917	Arrenurus coronator	Thor, 1900
	suku	Arrenurus	Walter, 1918	Arrenurus crassicaudatus	Kramer, 1875
	suku	Arrenurus	Walter, 1919	Arrenurus forpicatus	Neuman, 1880
	suku	Arrenurus	Walter, 1920	Arrenurus globator	(O.F.Müller, 1776)
	suku	Arrenurus	Walter, 1921	Arrenurus neumani	Piersig, 1895
	suku	Arrenurus	Walter, 1922	Arrenurus membranator	Thor, 1901
	suku	Arrenurus	Walter, 1923	Arrenurus nobilis	Neuman, 1880
	suku	Arrenurus	Walter, 1924	Arrenurus pustulator	(O.F.Müller, 1776)
	suku	Arrenurus	Walter, 1925	Arrenurus robustus	Koenike, 1894
	suku	Arrenurus	Walter, 1926	Arrenurus securiformis	Piersig, 1894
	suku	Arrenurus	Walter, 1927	Arrenurus subarcticus	Lundblad, 1917
