#	TaxonID	TaxonRank	ScientificName	Author	VernacularFI	AlternativeFI	VernacularEN	AlternativeEN
		heimo	Hispidoberycidae	Kotlyar, 1981	okasuomukalat		Spiny-scale pricklefishes
		heimo	Gibberichthyidae	Parr, 1933	rokkopäät		Gibberfishes
		heimo	Rondeletiidae	Goode & Bean, 1895	punasuut		Redmouth whalefishes
		heimo	Barbourisiidae	Parr, 1945	samettikalat		Velvet whalefishes
		heimo	Cetomimidae	Goode & Bean, 1895	valaanpääkalat		Flabby whalefishes
52		lahko	Trachichthyiformes		roussikalat		
		heimo	Monocentridae	Gill, 1859	ananaskalat		Pinecone fishes
		heimo	Trachichthyidae	Bleeker, 1856	roussit		Slimeheads
		heimo	Anomalopidae	Gill, 1889	lyhtysilmät		Lanterneye fishes
		heimo	Diretmidae	Gill, 1893	talkakalat	hopeapäät	Spinyfins
		heimo	Anoplogastridae	Gill, 1893	naskalikalat		Fangtooths
53		lahko	Holocentriformes		oravakalat		
		heimo	Holocentridae	Bonaparte, 1833	oravakalat		Squirrelfishes and soldierfishes
54	MX.70288	lahko	Ophidiiformes		käärmenilkkakalat		Cusk-eels and allies
		alalahko	Ophidioidei		kutukäärmenilkat		
		heimo	Ophidiidae	Rafinesque, 1810	käärmenilkat	partanilkat	Cusk-eels
		heimo	Carapidae	Poey, 1867	neulakalat		Pearlfishes
		alalahko	Bythitoidei		synnyttäjäkäärmenilkat		
		heimo	Bythitidae	Gill, 1861	brotulat		Viviparous brotulas
		heimo	Dinematichthyidae	Whitley, 1928	piilobrotulat		
55	MX.70280	lahko	Batrachoidiformes		konnakalat		Toadfishes
		heimo	Batrachoididae	Jordan, 1896	konnakalat		Toadfishes
56	MX.53287	lahko	Scombriformes		makrillikalat		
		alalahko	Stromateoidei				
		heimo	Amarsipidae	Haedrich, 1969	amarsipit	kuultoahvenet	Bagless glassfishes
		heimo	Centrolophidae	Bonaparte, 1846	meduusakalat		Medusafishes
		heimo	Nomeidae	Günther, 1860	polyyppikalat		Driftfishes
		heimo	Tetragonuridae	Risso, 1827	ristipyrstöt		Squaretails
		heimo	Ariommatidae	Haedrich, 1967	ariommat		Ariommatids
		heimo	Stromateidae	Rafinesque, 1810	voikalat		Butterfishes
		alalahko	Scombroidei				
		heimo	Pomatomidae	Gill, 1863	sinikalat		Bluefishes
		heimo	Icosteidae	Jordan & Gilbert, 1880	rustomakrillit	rustoahvenet	Ragfish
		heimo	Arripidae	Gill, 1893	arripit		Australian salmon
		heimo	Chiasmodontidae	Jordan & Gilbert, 1883	nielijämakrillit	nielijäahvenet	Snaketooth fishes
	MX.53241	heimo	Scombridae	Rafinesque, 1815	makrillit		Mackerels, Tunas, Bonitos
		heimo	Caristiidae	Gill & Smith, 1905	harjakalat		Manefishes
		heimo	Bramidae	Bonaparte, 1831	pomfretit		Pomfrets
		heimo	Scombrolabracidae	Fowler, 1925	leukamakrillit	makrilliahvenet	Longfin escolars
		heimo	Gempylidae	Gill, 1862	käärmemakrillit		Snake mackerels
		heimo	Trichiuridae	Rafinesque, 1810	huotrakalat		Cutlassfishes
57	MX.53193	lahko	Syngnathiformes		putkisuukalat		Pipefishes and seahorses
		alalahko	Dactylopteroidei		perhoseväkalat		
		heimo	Pegasidae	Bonaparte, 1831	korentokalat		seamoths
		heimo	Dactylopteridae	Gill, 1861	perhosevät	perhossimput	Flying gurnards
		alalahko	Mulloidei		mullokalat		
		heimo	Mullidae	Rafinesque, 1815	mullot		Goatfishes
		alalahko	Callionymoidei		merikokkikalat		
		heimo	Callionymidae	Bonaparte, 1831	merikokit		Dragonets
		heimo	Draconettidae	Jordan & Fowler, 1903	louhikokit		Slope dragonets
		alalahko	Syngnathoidei		putkisuukalaat		
		heimo	Aulostomidae	Rafinesque, 1815	trumpettikalat		Trumpetfishes
		heimo	Fistulariidae	Stark, 1828	kornettikalat		Cornetfishes
		heimo	Centriscidae	Bonaparte, 1831	katkarapukalat		Snipefishes, Shrimpfishes
		heimo	Solenostomidae	Nardo, 1843	kummitusneulat		Ghost pipefishes
	MX.53325	heimo	Syngnathidae	Bonaparte, 1831	merineulat		Pipefishes and seahorses
58		lahko	Kurtiformes		kurtuusikalat		
		heimo	Kurtidae	Bleeker, 1859	kurtuusit		Nurseryfishes
		heimo	Apogonidae	Günther, 1859	kardinaaliahvenet		Cardinalfishes
		heimo	Trichonotidae	Günther, 1861	kaivautujat		Sanddivers       
59	MX.53285	lahko	Gobiiformes		tokkokalat		
		heimo	Rhyacichthyidae	Jordan, 1905	nuoliaistokot		Loach gobies
	MX.53625	heimo	Odontobutidae	Hoese & Gill, 1993	rohmutokot		Freshwater sleepers
		heimo	Eleotridae	Bonaparte, 1835	torkkujat		Sleepers
		heimo	Thalasseleotrididae	Gill & Mooi, 2012	meritorkkujat		ocean sleepers
	MX.53326	heimo	Gobiidae	Cuvier, 1816	tokot		Gobies
		heimo	Kraemeriidae	Whitley, 1935	hiekkatokot		Sand darters
		heimo	Microdesmidae	Regan, 1912	matotokot	nuolikot	Wormfishes
		heimo	Xenisthmidae	Miller, 1973	huulitokot		Collared wrigglers
		heimo	Schindleriidae	Giltay, 1934	toukkatokot	toukkakalat	Infantfishes
60		lahko	Synbranchiformes		yhdyskiduskalat		
		alalahko	Mastacembeloidei				
		heimo	Mastacembelidae	Swainson, 1839	puikkokalat		Spiny eels
		heimo	Chaudhuriidae	Annandale, 1918	silopuikkokalat		Spineless eels
		alalahko	Indostomoidei	 			
		heimo	Indostomidae	Prashead & Mukerji, 1929	piikkineulat		armored sticklebacks
		alalahko	Synbranchoidei				
		heimo	Synbranchidae	Bonaparte, 1835	kutsat		Swamp-eels
61	MX.5084367	lahko	Anabantiformes		labyrinttikalat		
		alalahko	Anabantoidei				
		heimo	Anabantidae	Bonaparte, 1831	kiipijäkalat		Climbing gouramies
		heimo	Helostomatidae	Gill, 1872	pusukalat		Kissing gourami
		heimo	Osphronemidae	van der Hoeven, 1832	guramit		Gouramies
		alaheimo	Belontiinae	Liem, 1962	kampapyrstöt		combtail gouramies
		alaheimo	Osphroneminae	van der Hoeven, 1832	guramit		giant gouramies
		alaheimo	Luciocephalinae	Bleeker, 1852	hauenpääkalat		spiral egg gouramies
		alaheimo	Trichogastrinae	Bleeker, 1879	rihmakalat		threadfishes
		alaheimo	Macropodusinae	Hoedeman, 1948	paratiisikalat		paradise fishes
	MX.5084368	alalahko	Channoidei				
		heimo	Aenigmachannidae	Britz et al., 2020	luolakäärmeenpäät		
	MX.5084369	heimo	Channidae	Fowler, 1934	käärmeenpäät		Snakeheads
		alalahko	Nandoidei				
		heimo	Nandidae	Bleeker, 1852	lehväkalat		
		heimo	Badidae	Barlow, Liem, Wickler, 1968	makkarakalat		Chameleonfishes
		heimo	Pristolepididae	Regan, 1913	mutalehväkalat		Mudperches
62	MX.5084707	lahko	Carangiformes		piikkimakrillikalat		
		alalahko	Centropomoidei		robalokalat		
		heimo	Latidae	Jordan, 1888	lateesit		Giant perches
		heimo	Centropomidae	Poey, 1967	robalot		Snooks
		heimo	Lactariidae	Boulenger, 1904	valetrevallit	valkoahvenet	False trevallies
		heimo	Sphyraenidae	Rafinesque, 1815	barrakudat		Barracudas
	MX.53245	alalahko	Pleuronectoidei		kampelakalat		
		heimo	Polynemidae	Rafinesque, 1815	siimaevät		Threadfins
		heimo	Psettodidae	Regan, 1910	alkukampelat		Psettodids
		heimo	Citharidae	de Buen, 1935	isosilmäkampelat		largescale flounders
	MX.206833	heimo	Scophthalmidae	Chabanaud, 1933	piikkikampelat		Turbots
		heimo	Cyclopsettidae	Campbell et al., 2019	hammaskampelat		Large-tooth flounders
	X.53289	heimo	Bothidae	Smitt, 1892	vasensilmäkampelat		Lefteye flounders
		heimo	Paralichthyidae	Regan, 1910	sukakampelat		Sand flounders
	MX.53247	heimo	Pleuronectidae	Rafinesque, 1815	oikeasilmäkampelat		Righteye flounders
		heimo	Paralichthodidae	Regan, 1920	pippurikampelat		peppered flounders
		heimo	Oncopteridae	Jordan & Goss, 1889	piikkieväkampelat		Remo flounders 
		heimo	Rhombosoleidae	Regan, 1910	tyynenmerenanturat		South Pacific flounders
		heimo	Achiropsettidae	Heemstra, 1990	etelänkampelat		Southern flounders
		heimo	Achiridae	Rafinesque, 1815	amerikananturat		American soles
		heimo	Samaridae	Jordan & Goss, 1889	rihmakampelat		Crested flounders
		heimo	Poecilopsettidae	Norman, 1934	kampelaiset		small righteye flounders
		heimo	Soleidae	Bonaparte, 1833	merianturat		Soles
		heimo	Cynoglossidae	Jordan, 1888	kielikampelat		Tonguefishes
		alalahko	Toxotoidei		ampujakalat		
		heimo	Leptobramidae	Ogilby, 1913	rantavilistäjät	ranta-ahvenet	
		heimo	Toxotidae	Bleeker, 1859	ampujakalat		Archerfishes
		alalahko	Nematistioidei		töyhtökalat		
		heimo	Nematistiidae	Gill, 1862	töyhtökalat	kukkoahvenet	Roosterfish
		alalahko	Menoidei		kirveskalat		
		heimo	Menidae	Fitzinger, 1873	kirveskalat	kirvesahvenet	Moonfish
		heimo	Xiphiidae	Rafinesque, 1815	miekkakalat		Swordfish
		heimo	Istiophoridae	Rafinesque, 1815	purjekalat		Billfishes
		alalahko	Carangoidei		piikkimakrillikalat		
		heimo	Carangidae	Rafinesque, 1815	piikkimakrillit		Jacks and pompanos
		heimo	Echeneidae	Rafinesque, 1810	remorat		Remoras
		heimo	Rachycentridae	Gill, 1896	okamakrillit	oka-ahvenet	Cobia
		heimo	Coryphaenidae	Rafinesque, 1815	dolfiinit		Dolphinfishes
63		lahko	Cichliformes		kirjoahvenkalat		
		heimo	Ambassidae	Klunzinger, 1870	lasiahvenet		Asiatic glassfishes
		heimo	Pseudochromidae	Müller & Troschel, 1849	keijuahvenet		Dottybacks
		heimo	Grammatidae	Jordan, 1887	keijukalat		Basslets
		heimo	Plesiopidae	Günther, 1861	pyöröpäät		Roundheads
		heimo	Opistognathidae	Bonaparte, 1835	leukakalat		Jawfishes
		heimo	Polycentridae	Gill, 1858	kirjolehväkalat		leaffishes
		heimo	Cichlidae	Bonaparte, 1835	kirjoahvenet		Cichlids
		alaheimo	Etroplinae	Kullander, 1998	aasiankirjoahvenet		Indian and Madagascan cichlids
		alaheimo	Ptychochrominae	Sparks, 2004	madagaskarinkirjoahvenet		Malagasy cichlids
		alaheimo	Pseudocrenilabrinae	Fowler, 1934	afrikankirjoahvenet		African cichlids
		alaheimo	Cichlinae	Bonaparte, 1835	amerikankirjoahvenet		American cichlids
		heimo	Embiotocidae	Agassiz, 1853	tyrskyahvenet		Surfperches
		heimo	Pomacentridae	Bonaparte, 1831	koralliahvenet		Damselfishes and anemonefishes
		heimo	Pholidichthyidae	Jordan, 1896	vankiluikertajat		convict-blennies
64	MX.53191	lahko	Atheriniformes		hopeakylkikalat		Silversides and allies
		heimo	Atherinidae	Risso, 1827	hopeakyljet		Silversides
		heimo	Bedotiidae	Jordan & Hubbs, 1919	revontulikalat		Madagascar rainbowfishes
		heimo	Melanotaeniidae	Gill, 1894	sateenkaarikalat		Rainbowfishes and blue eyes
		heimo	Pseudomugilidae	Kner, 1867	sinisilmät		Blue eyes
		heimo	Telmatherinidae	Munro, 1958	sädekalat		Sailfin silversides
		heimo	Notocheiridae	Schultz, 1950	tyrskyhopeakyljet		surf silversides
		heimo	Isonidae	Rosen, 1964	tyrskykalat		Surf sardines
		heimo	Atherionidae	Schultz, 1948	okahopeakyljet		Pricklenose silversides
		heimo	Dentatherinidae	Patten & Ivantsoff, 1983	hammassädekalat		Tusked silversides
		heimo	Phallostethidae	Regan, 1916	sarsat		Priapiumfishes
65	MX.5084361	lahko	Cyprinodontiformes		hammaskarppikalat		Killifishes and their allies
		alalahko	Aplocheiloidei				
		heimo	Aplocheilidae	Bleeker, 1859	vaanijat		Old World rivulins
		heimo	Nothobranchiidae	Garman, 1895	vanhanmaailmankillit		African rivulins
		heimo	Rivulidae	Myers, 1925	uudenmaailmankillit		New World rivulins
		alalahko	Cyprinodontoidei				
		heimo	Pantanodontidae	Myers, 1955	kölitähtisilmät		Spine killfishes
		heimo	Fundulidae	Günther, 1866	amerikankillit		Topminnows and killifishes
		heimo	Cyprinodontidae	Wagner, 1828	hammaskillit		Pupfishes
		heimo	Profundulidae	Hoedeman &	ylänkökillit		Middle American killfishes
		heimo	Goodeidae	Jordan & Gilbert, 1883	toat		Splitfins
		heimo	Fluviphylacidae	Roberts, 1970	amerikantähtisilmät		American lampeyes
		heimo	Poeciliidae	Bonaparte, 1831	hammaskarpit		Poeciliids
		alaheimo	Poeciliinae	Bonaparte, 1831	synnyttäjähammaskarpit		livebearers
		heimo	Anablepidae	Bonaparte, 1831	nelisilmät		Four-eyed fishes
		heimo	Aphaniidae	Hoedeman, 1949	killiset		Oriental killifishes
		heimo	Valenciidae	Parenti, 1981	euroopankillit		Toothcarps, European killis
		heimo	Procatopodidae	Fowler, 1916	tähtisilmät		African lampeyes
66	MX.70281	lahko	Beloniformes		nokkakalat		Flying fishes and allies
		heimo	Scomberesocidae	Bleeker, 1858	makrillihauet		Sauries
	MX.53311	heimo	Belonidae	Bonaparte, 1835	nokkakalat		Needlefishes
		heimo	Hemiramphidae	Gill, 1859	puolinokkakalat		Halfbeaks
		heimo	Zenarchopteridae	Fowler, 1934	painijakalat		internally fertilized halfbeaks
		heimo	Exocoetidae	Risso, 1827	liitokalat		Flyingfishes
		heimo	Adrianichthyidae	Weber, 1913	medakat		
67	MX.70286	lahko	Mugiliformes		kelttikalat		Mullets
	MX.53226	heimo	Mugilidae	Jarocki, 1822	keltit		Mullets
68		lahko	Gobiesociformes		imurikalat		Clingfishes and singleslits
		heimo	Gobiesocidae	Bleeker, 1859	imurit		Clingfishes and singleslits
69	MX.53266	lahko	Blenniiformes		luikerokalat		
		heimo	Tripterygiidae	Whitley, 1931	luikertajat		Threefin blennies
		heimo	Labrisomidae	Clark & Hubbs, 1952	tupsukkaat		Labrisomids
		heimo	Clinidae	Swainson, 1839	klinit		Clinids
		heimo	Chaenopsidae	Gill, 1865	haukiluikerot		Pike-blennies, Tube-blennies, Flagblennies
		heimo	Dactyloscopidae	Gill, 1859	ripsitähystäjät		Sand stargazers
		heimo	Blenniidae	Rafinesque, 1810	luikerot		Combtooth blennies
70	MX.53217	lahko	Perciformes		ahvenkalat		
	MX.53278	alalahko	Percoidei		ahvenkalat		
		heimo	Serranidae	Swainson, 1839	saha-ahvenet	meriahvenet	Sea basses
		heimo	Anthiadidae	Poey, 1861	koruahvenet		Fairy basslets
		heimo	Epinephelidae	Bleeker, 1874	meriahvenet		Groupers
		heimo	Liopropomatidae	Poey, 1867	pomat		Basslets
		heimo	Grammistidae	Bleeker, 1857	saippuakalat		Soapfishes
	 MX.53316	heimo	Percidae	Rafinesque, 1815	ahvenet		Perches and darters
		heimo	Niphonidae	Jordan, 1923	piikkiahvenet		Ara groupers
		alalahko	Labroidei		huulikalat		
		heimo	Centrogenyidae	Fowler, 1907	skorpioniahvenet		False scorpionfishes
		heimo	Labridae	Cuvier, 1816	huulikalat		Wrasses
		heimo	Odacidae	Günther, 1861	levähuulikot		Cales and weed-whitings
		heimo	Scaridae	Rafinesque, 1810	papukaijakalat		Parrotfishes
	MX.53196	alalahko	Zoarcoidei		kivinilkkakalat		
	MX.53188	heimo	Zoarcidae	Swainson, 1839	kivinilkat		Eelpouts
		heimo	Anarhichadidae	Bonaparte, 1835	merikissat		Wolffishes
		heimo	Neozoarcidae	Jordan & Snyder, 1902	idännilkat		
		heimo	Eulophiidae	Smith, 1902	puikkonilkat		
	MX.53229	heimo	Stichaeidae	Gill, 1864	sarvielaskat		Pricklebacks
	MX.5084705	heimo	Lumpenidae	Jordan & Evermann, 1898	elaskat		Eel pricklebacks
		heimo	Opisthocentridae	Jordan & Evermann, 1898	täpläteistit		
	MX.53283	heimo	Pholidae	Gill, 1893	teistit		Gunnels
		heimo	Ptilichthyidae	Jordan & Gilbert, 1883	neulanilkat		Quillfish
		heimo	Zaproridae	Jordan, 1896	puskurinilkat		Prowfish
		heimo	Cryptacanthodidae	Gill, 1861	mutrusuut		Wrymouths
		heimo	Cebidichthyidae	Gill, 1862	kyhmyelaskat		
		heimo	Scytalinidae	Jordan & Starks, 1895	kaivurinilkat		Graveldivers
		heimo	Bathymasteridae	Jordan & Gilbert, 1883	syvännenilkat		Ronquils
		alalahko	Notothenioidei		jääahvenkalat		
		heimo	Percophidae	Swainson, 1839	lättäahvenet		Duckbills
		heimo	Bovichtidae	Gill, 1862	härkäahvenet		Thornfishes
		heimo	Pseudaphritidae	McCulloch, 1929	kongolit		congollis
		heimo	Eleginopidae	Gill, 1893	huulijääahvenet		Patagonian blennies
		heimo	Nototheniidae	Günther, 1861	jääahvenet		Cod icefishes
		heimo	Harpagiferidae	Gill, 1861	simppuahvenet		Spiny plunderfishes
		heimo	Artedidraconidae	Andriashev, 1967	viiksiahvenet		barbeled plunderfishes
		heimo	Bathydraconidae	Regan, 1913	louhiahvenet	jääkalat	Antarctic dragonfishes
		heimo	Channichthyidae	Gill, 1861	jääkalat		Crocodile icefishes
	MX.53232	alalahko	Trachinoidei		tähystäjäkalat		
		heimo	Trichodontidae	Bleeker, 1859	hietatähystäjät		Sandfishes
	MX.53284	heimo	Ammodytidae	Bonaparte, 1835	tuulenkalat		Sand lances
		heimo	Trachinidae	Rafinesque, 1815	louhikalat		
		heimo	Uranoscopidae	Bonaparte, 1831	taivaantähystäjät		Stargazers
		heimo	Pinguipedidae	Günther, 1860	hieta-ahvenet		Sandperches
		heimo	Cheimarrichthyidae	Regan, 1913	nuoliaisahvenet		New Zealand torrenfishes
		alalahko	Bembropoidei		lapa-ahvenkalat		
		heimo	Bembropidae	Regan, 1913	lapa-ahvenet		Duckbill flatheads
	MX.5084354	alalahko	Scorpaenoidei		skorpionisimppukalat		
		heimo	Platycephalidae	Swainson, 1839	lättäsimput		Flatheads
		heimo	Hoplichthyidae	Kaup, 1873	kummitussimput		Ghost flatheads
		heimo	Triglidae	Rafinesque, 1815	kurnusimput		Searobins
		heimo	Bembridae	Kaup, 1873	syvännelapasimput		Deepwater flatheads
		heimo	Synanceiidae	Swainson, 1839	velhokalat		Stonefishes
		alaheimo	Apistinae	Gill, 1859	ampiaissimput		Wasp scorpionfishes
		alaheimo	Perryeninae	Honma, Imamura	valkokuonosimput		whitenose pigfishes
		alaheimo	Eschmeyerinae	Mandrytsa, 2001	kääpiövelhokalat		cofishes
		alaheimo	Gnathanacanthinae	Gill, 1892	pehmosimput		Red velvetfish
		alaheimo	Aploactininae	Jordan &	samettisimput		Velvetfishes
		alaheimo	Pataecinae	Gill, 1872	keulasimput		Australian prowfishes
		alaheimo	Tetraroginae	Smith, 1949	purjesimput		Wasp fishes
		alaheimo	Choridactylinae	Kaup, 1859	pistinsimput		
		alaheimo	Synanceiinae	Swainson, 1839	velhokalat		
		heimo	Neosebastidae	Matsubara, 1943	kirjosimput		Gurnard scorpionfishes
		heimo	Plectrogeniidae	Fowler, 1938	sauvasimput		Stinger flatheads
	MX.5084355	heimo	Scorpaenidae	Risso, 1827	skorpionisimput		Scorpionfishes	Rockfishes
		alaheimo	Scorpaeninae	Risso, 1827	skorpionisimput		Scorpionfishes
		alaheimo	Caracanthinae	Gill, 1885	nukkasimput		Coral crouchers
		alaheimo	Pteroinae	Kaup, 1873	siipisimput		Turkeyfishes and Lionfishes
		alaheimo	Setarchinae	Matsubara, 1943	kitasimput		Deep-sea bristly scorpionfishes
		alaheimo	Sebastolobinae	Matsubara, 1943	piikkikorusimput		Thornyheads
		alaheimo	Sebastinae	Kaup, 1873	korusimput		Rockfishes
		heimo	Congiopodidae	Gill, 1889	porsassimput		Racehorses	Pigfishes
		heimo	Zanclorhynchidae	Mandrytsa, 2001			Horsefishes
		heimo	Normanichthyidae	Clark, 1937	chilensimput		Barehead scorpionfishes
	MX.53323	alalahko	Gasterosteoidei		piikkikalat		Pipefishes and their allies
		heimo	Hypoptychidae	Steindachner, 1880	hietakalat		Sand eel
	MX.53196	heimo	Gasterosteidae	Bonaparte, 1831	piikkikalat		Sticklebacks and tubesnouts
		heimo	Aulorhynchidae	Gill, 1861	putkikuonot		Tubesnouts
	MX.53314	alalahko	Cottoidei		simppukalat		
		heimo	Anoplopomatidae	Jordan & Gilbert, 1883	silosimput		Sablefishes
		heimo	Zaniolepididae	Jordan & Gilbert, 1883	kampasimput		Combfishes
		heimo	Hexagrammidae	Jordan, 1888	vihersimput		Greenlings
		heimo	Rhamphocottidae	Jordan & Gilbert, 1883	kyrmysimput		Grunt sculpins
		heimo	Jordaniidae	Jordan & Evermann, 1898	kelppisimput		Longfin sculpins
	MX.53204	heimo	Cottidae	Bonaparte, 1831	simput		Sculpins
	MX.5084709	heimo	Psychrolutidae	Günther, 1861	merisimput		Marine sculpins
	MX.53211	heimo	Agonidae	Swainson, 1839	partasimput		Poachers
	MX.53214	heimo	Cyclopteridae	Bonaparte, 1831	rasvakalat		Lumpfishes
	MX.5084708	heimo	Liparidae	Gill, 1861	imukalat		Snailfishes
	MX.5084704	alalahko	exists		luokittelemattomat ahvenkalat		
	MX.53280	heimo	Moronidae	Jordan & Evermann,1896	bassit	meribassit	Temperate basses
		heimo	Dinopercidae	Heemstra & Hecht, 1986	panssariahvenet		Cavebasses
		heimo	Caesioscorpididae	Parenti & Randall, 2020	australiannapsijat		Blowhole perches
		heimo	Hemilutjanidae	Parenti & Randall, 2020	kitanapsijat		Grape-eye seabasses
		heimo	Callanthiidae	Ogilby, 1899	siroahvenet		Splendid perches
		heimo	Priacanthidae	Günther, 1859	suurisilmät		Bigeyes	Catalufas
		heimo	Sillaginidae	Richardson, 1846	vihiahvenet	kuoreahvenet	Smelt-whitings
		heimo	Malacanthidae	Poey, 1861	torpedoahvenet		Tilefishes
		heimo	Latilidae	Gill, 1862	syvännetorpedoahvenet		Deepwater tilefishes
		heimo	Emmelichthyidae	Poey, 1867	vaeltajat		Rovers
		heimo	Lutjanidae	Gill, 1861	napsijat		Snappers
		heimo	Gerreidae	Bleeker, 1859	mojarat		Mojarras
		heimo	Haemulidae	Gill, 1885	murisijat		Grunts
		heimo	Sparidae	Rafinesque, 1818	hammasahvenet		Porgies
		heimo	Lethrinidae	Bonaparte, 1831	putsarit		Emperors	Scavengers
		heimo	Nemipteridae	Regan, 1913	pennat		Threadfin, Whiptail breams
		heimo	Sciaenidae	Cuvier, 1829	rummuttajat		Drums	Croakers
		heimo	Monodactylidae	Jordan & Thompson, 1912	kuukalat		Moonyfishes	Fingerfishes
		heimo	Cepolidae	Rafinesque, 1815	liekkikalat		Bandfishes
71	MX.5084703	lahko	Centrarchiformes		aurinkoahvenkalat		
		alalahko	Percichthyoidei				
		heimo	Percichthyidae	Jordan & Eigenmann, 1890	etelänbassit		Temperate basses
		heimo	Perciliidae	Jordan, 1923	chilenbassit		Southern basses
		alalahko	Terapontoidei				
		heimo	Terapontidae	Richardson, 1842	viiruahvenet	tiikeriahvenet	Grunters	Tigerperches
		heimo	Kuhliidae	Jordan & Evermann, 1896	lippupyrstöt		Aholeholes
		heimo	Dichistiidae	Smith, 1935	kaljuunakalat		Galjoen fishes
		heimo	Oplegnathidae	Bleeker, 1853	veitsileuat		Knifejaws
		heimo	Kyphosidae	Jordan, 1887	ruoriahvenet		Sea chubs
		heimo	Girellidae	Gill, 1862	napostelijat		Nibblers
		heimo	Scorpididae	Günther, 1860	viilettäjät		Halfmoons
		heimo	Microcanthidae	Bleeker, 1876	juovasilmät		Stripeyes
		heimo	Parascorpididae	Smith, 1949	leuka-ahvenet		Jutjaws
		alalahko	Centrarchoidei				
	MX.53224	heimo	Centrarchidae	Bleeker, 1859	aurinkoahvenet		Sunfishes
		heimo	Elassomatidae	Jordan, 1877	miniahvenet		Pygmy sunfishes
		heimo	Enoplosidae	Gill, 1893	sirppiahvenet		Oldwife
		heimo	Sinipercidae	Jordan & Richardson, 1910	idänbassit		Chinese perches
		alalahko	Cirrhitoidei				
		heimo	Cirrhitidae	Macleay, 1841	haukkakalat		Hawkfishes
		heimo	Chironemidae	Gill, 1862	kelppikalat		Kelpfishes
		heimo	Aplodactylidae	Günther, 1859	marmoriahvenet		Marblefishes
		heimo	Cheilodactylidae	Bonaparte, 1850	naamioahvenet		Morwongs
		heimo	Latridae	Gill, 1862	trumpettiahvenet		Trumpeters
		alalahko	Percalatoidei				
		heimo	"Percalates" 		australianbassit		Australian basses
72		lahko	Acropomatiformes		lyhtyahvenkalat		
		heimo	Leptoscopidae	Gill, 1859	tähystäjät		Southern sandfishes
		heimo	Champsodontidae	Jordan & Snyder, 1902	ahmattiahvenet		Crocodile toothfishes
		heimo	Hemerocoetidae	Kaup, 1873	liskoahvenet		Gapers
		heimo	Creediidae	Waite, 1899	piiloilijat		Sandburrowers
		heimo	Glaucosomatidae	Jordan & Thompson, 1911	helmiahvenet		Pearl perches
		heimo	Pempheridae	Bleeker, 1859	pyyhältäjät		Sweepers
		heimo	Lateolabracidae	Ghedotti, Davis	aasianbassit 		Asian seaperches
		heimo	Synagropidae	Smith, 1961	parieväbassit		splitfin ocean basses
		heimo	Dinolestidae	Whitley, 1948	haukiahvenet		Long-finned pike
		heimo	Malakichthyidae	Jordan & Richardson, 1910	tyynenmerenbassit		temperate ocean-basses
		heimo	Polyprionidae	Bleeker, 1874	hylkyahvenet		Wreckfishes
		heimo	Bathyclupeidae	Gill, 1896	suomuevät		Deep-sea scalyfins
		heimo	Banjosidae	Jordan & Thompson, 1912	banjoahvenet	lehtiahvenet	Banjofishes
		heimo	Pentacerotidae	Bleeker, 1859	haarniskapäät		Armorheads
		heimo	Ostracoberycidae	Fowler, 1934	osteriahvenet		Shellskin alfonsinos
		heimo	Epigonidae	Poey, 1861	syvänneahvenet		Deepwater cardinalfishes
		heimo	Symphysanodontidae	Katayama, 1984	riutta-ahvenet		Slopefishes
		heimo	Howellidae	Ogilby, 1899	syvännebassit		Oceanic basslets
		heimo	Scombropidae	Gill, 1862	peikkoahvenet		Gnomefishes
		heimo	Acropomatidae	Gill, 1893	lyhtyahvenet		Lanternbellies and temperate 
73		lahko	Acanthuriformes		välskärikalat		
		heimo	Lobotidae	Gill, 1861	kolmipyrstöt		Tripletails
		heimo	Pomacanthidae	Jordan & Evermann, 1898	keisarikalat		Angelfishes
		heimo	Drepaneidae	Gill, 1872	levykalat		Sicklefishes
		heimo	Chaetodontidae	Rafinesque, 1815	perhokalat		Butterflyfishes
		heimo	Ephippidae	Bleeker, 1859	lepakkokalat		Spadefishes, Batfishes
		heimo	Leiognathidae	Gill, 1893	lima-ahvenet		Slimys	Slipmouths
		heimo	Scatophagidae	Gill, 1883	arguskalat		Scats
		heimo	Antigoniidae	Jordan & Evermann, 1898	kölikarjukalat		
		heimo	Siganidae	Richardson, 1837	kaniinikalat		Rabbitfishes
		heimo	Caproidae	Bonaparte, 1835	karjukalat		Boarfishes
		heimo	Luvaridae	Gill, 1885	luvarit		Louvar
		heimo	Zanclidae	Bleeker, 1876	sarvikalat		Moorish idols
		heimo	Acanthuridae	Bonaparte, 1835	välskärikalat		Surgeonfishes, Tangs, Unicornfishes
74	MX.70285	lahko	Lophiiformes		krottikalat		Anglerfishes
		alalahko	Lophioidei				
		heimo	Lophiidae	Rafinesque, 1810	merikrotit		Goosefishes
		alalahko	Ogcocephaloidei				
		heimo	Ogcocephalidae	Gill, 1893	peikkokrotit		Batfishes
		alalahko	Antennarioidei				
		heimo	Rhycheridae	Hart et al., 2022	onkijakrotit		Balrok frogfishes
		heimo	Brachionichthyidae	Gill, 1863	okakrotit		Handfishes
		heimo	Antennariidae	Jarocki, 1822	antennikrotit		Frogfishes
		heimo	Histiophrynidae	Arnold & Pietsch, 2012	pehmokrotit		Starfingered frogfishes
