#	TaxonID	TaxonRank	ScientificName	Author	VernacularFI	AlternativeFI	VernacularEN	AlternativeEN
		heimo	Plesiobatidae	Nishida, 1990	syvännerauskut		Deepwater stingray
		heimo	Urolophidae	Müller & Henle, 1841	kiekkorauskut		Round rays
		heimo	Aetobatidae	Agassiz, 1858	ulapparauskut		Pelagic eagle rays
		heimo	Myliobatidae	Bonaparte, 1835	kotkarauskut		Eagle and manta rays
		heimo	Rhinopteridae	Jordan & Evermann, 1896	lehmärauskut		Cownose rays
		heimo	Mobulidae	Gill, 1893	paholaisrauskut		Devil rays
	MX.5084690	luokka	HOLOCEPHALI		koppapääkalat		Chimaeras
16	MX.70305	lahko	Chimaeriformes		sillikuningaskalat		Chimaeras
		heimo	Callorhinchidae	Garman, 1901	kärsäkuninkaat		Plownose chimaeras
		heimo	Chimaeridae	Rafinesque, 1815	sillikuninkaat		Shortnose chimaeras
		heimo	Rhinochimaeridae	Garman, 1901	nokkakuninkaat		Longnose chimaeras
	MX.53092	yläluokka	ACTINOPTERYGII					
	MX.5084693	luokka	CLADISTII		lapaeväkalat		
17	MX.5085490	lahko	Polypteriformes		lapaeväkalat	niilinhaukikalat	Bichirs
		heimo	Polypteridae	Bonaparte, 1835	lapaevät	niilinhauet	Bichirs
	MX.37669	luokka	ACTINOPTERI		viuhkaeväkalat		Ray-finned fishes
18	MX.53093	lahko	Acipenseriformes		sampikalat		Sturgeons
	MX.53324	heimo	Acipenseridae	Bonaparte, 1831	sammet		Sturgeons
		heimo	Polyodontidae	Bonaparte, 1835	lapasammet		Paddlefishes
19		lahko	Lepisosteiformes		luuhaukikalat		Gars
		heimo	Lepisosteidae	Agassiz, 1832	luuhauet		Gars
20		lahko	Amiiformes		amiakalat		Bowfin
		heimo	Amiidae	Bonaparte, 1831	amiat		Bowfins
21		lahko	Elopiformes		tarponikalat		Tenpounders, Tarpons
		heimo	Elopidae	Valenciennes, 1847	hopeakalat		Tenpounders
		heimo	Megalopidae	Jordan & Gilbert, 1883	tarponit		Tarpons
22		lahko	Albuliformes		ruotokalat	naiskalat	Bonefishes
		heimo	Albulidae	Bleeker, 1849	ruotokalat	naiskalat	Bonefishes
23		lahko	Notacanthiformes		piikkiankeriaskalat		Halosaurs
		heimo	Halosauridae	Günther, 1868	liskoankeriaat		Halosaurs
		heimo	Notacanthidae	Rafinesque, 1810	piikkiankeriaat		Deep-sea spiny eels
24	MX.53109	lahko	Anguilliformes		ankeriaskalat		Eels
		heimo	Protanguillidae	Johnson, Ida, Miya, 2011	alkuankeriaat		First eels, Primitive cave eels
		heimo	Synaphobranchidae	Johnson, 1862	petoankeriaat		Cutthroat eels
		heimo	Heterenchelyidae	Regan, 1912	muta-ankeriaat	pytonankeriaat	Mud eels
		heimo	Myrocongridae	Gill, 1890	vyöankeriaat		Atlantic red eels
		heimo	Muraenidae	Rafinesque, 1815	mureenat		Moray eels
		heimo	Chlopsidae	Rafinesque, 1815	valemureenat		False morays
		heimo	Colocongridae	Smith, 1976	karttuankeriaat		Shorttail eels
		heimo	Derichthyidae	Gill, 1884	serpentiiniankeriaat		Longneck eels
		heimo	Ophichthidae	Günther, 1870	käärmeankeriaat		Snake eels
		heimo	Muraenesocidae	Kaup, 1859	haukiankeriaat		Pike congers
		heimo	Nettastomatidae	Kaup, 1859	velhoankeriaat		Duckbill eels
	MX.53113	heimo	Congridae	Kaup, 1856	meriankeriaat		Conger and garden eels
		heimo	Moringuidae	Gill, 1885	matoankeriaat		Worm eels	Spaghetti eels
		heimo	Nemichthyidae	Kaup, 1859	nokka-ankeriaat		Snipe eels
		heimo	Serrivomeridae	Trewavas, 1932	kuonoankeriaat		Sawtooth eels
	MX.53110	heimo	Anguillidae	Rafinesque, 1810	ankeriaat		Freshwater eels
25		lahko	Saccopharyngiformes		ahmattiankeriaskalat		Gulper eels
		heimo	Cyematidae	Regan, 1912	nuoliankeriaat		Bobtail snipe eels
