TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
MX.5108024			Hexanchus vitulus 	Daly-Engel, 2018	atlantinkidushai			
MX.5108025		suku	Notorynchus	Ayres, 1855				
MX.5108026			Notorynchus cepedianus 	(Péron, 1807)	täpläkidushai			
MX.5086292		heimo	Chlamydoselachidae					
MX.5087618		suku	Chlamydoselachus	Garman, 1884				
			Chlamydoselachus africana 	Ebert & Compagno, 2009 	afrikankaulushai			
MX.5087619			Chlamydoselachus anguineus 	Garman, 1884	kaulushai			
MX.5086293		lahko	Heterodontiformes		sarvihaikalat			
MX.5086294		heimo	Heterodontidae		sarvihait			
		suku	Heterodontus	Blainville, 1816				
			Heterodontus francisci 	(Girard, 1855) 	sarvihai			
			Heterodontus galeatus 	(Günther, 1870) 	töyhtösarvihai			
			Heterodontus japonicus 	(Maclay & Macleay, 1884) 	japaninsarvihai			
			Heterodontus mexicanus 	(Taylor & Castro-Aguirre, 1972) 	meksikonsarvihai			
			Heterodontus omanensis 	(Baldwin, 2005) 	omaninsarvihai			
			Heterodontus portusjacksoni 	(Meyer, 1793) 	australiansarvihai			
			Heterodontus quoyi 	(Fréminville, 1840) 	mustatäpläsarvihai			
			Heterodontus ramalheira 	(Smith, 1949) 	valkotäpläsarvihai			
			Heterodontus zebra 	(Gray, 1831)	seeprasarvihai			
MX.5086295		lahko	Orectolobiformes		partahaikalat			
MX.5086296		heimo	Rhincodontidae		valashait			
MX.5087620		suku	Rhincodon	Smith, 1829				
MX.5087621			Rhincodon typus	Smith, 1828	valashai			
MX.5086297		heimo	Parascylliidae		mattohait			
		suku	Cirrhoscyllium	Smith & Radcliffe, 1913				
			Cirrhoscyllium expolitum 	Smith & Radcliffe, 1913 	viiksimattohai			
			Cirrhoscyllium formosanum 	Teng, 1959 	taiwaninmattohai			
			Cirrhoscyllium japonicum 	Kamohara, 1943	satulamattohai			
		suku	Parascyllium	Gill, 1862				
			Parascyllium collare 	Ramsay & Ogilby, 1888 	kaulusmattohai			
			Parascyllium ferrugineum 	McCulloch, 1911 	ruostemattohai			
			Parascyllium variolatum 	Duméril, 1853 	kirjomattohai			
MX.5086298		heimo	Brachaeluridae		sokkohait			
		suku	Brachaelurus	Ogilby, 1907				
			Brachaelurus colcloughi 	Ogilby, 1908  	sinisokkohai			
			Brachaelurus waddi 	Bloch & Schneider, 1801	sokkohai			
MX.5086299		heimo	Orectolobidae		partahait			
		suku	Eucrossorhinus	Regan, 1908				
			Eucrossorhinus dasypogon	(Bleeker, 1867)	verkkopartahai			
		suku	Orectolobus	Bonaparte, 1834				
			Orectolobus floridus 	Last & Chidlow, 2008 	kukkapartahai			
			Orectolobus japonicus 	Regan, 1906 	japaninpartahai			
			Orectolobus maculatus 	(Bonnaterre, 1788) 	täpläpartahai			
			Orectolobus ornatus 	(De Vis, 1883) 	korupartahai			
		suku	Sutorectus	Whitley, 1939				
			Sutorectus tentaculatus	(Peters, 1864)	okapartahai			
MX.5086300		heimo	Hemiscylliidae		bambuhait			
		suku	Chiloscyllium	Müller & Henle, 1837				
			Chiloscyllium arabicum 	Gubanov, 1980 	ruskobambuhai			
			Chiloscyllium griseum 	Müller & Henle, 1838 	harmaabambuhai			
			Chiloscyllium indicum 	(Gmelin, 1789) 	sirobambuhai			
			Chiloscyllium plagiosum 	(Anonymous [Bennett], 1830)  	tähtibambuhai			
			Chiloscyllium punctatum 	Müller & Henle, 1838	pistebambuhai			
		suku	Hemiscyllium	Müller & Henle, 1838				
			Hemiscyllium freycineti 	(Quoy & Gaimard, 1824) 	pantteribambuhai			
			Hemiscyllium hallstromi 	Whitley, 1967 	laikkubambuhai			
			Hemiscyllium ocellatum 	(Bonnaterre, 1788) 	epolettihai			
			Hemiscyllium strahani 	Whitley, 1967 	huppubambuhai			
			Hemiscyllium trispeculare 	Richardson, 1843	kirjobambuhai			
MX.5086301		heimo	Stegostomatidae		seeprahait			
		suku	Stegostoma	Müller & Henle, 1837				
			Stegostoma fasciatum	(Hermann, 1783)	seeprahai			
MX.5086302		heimo	Ginglymostomatidae		viiksihait			
MX.5087622		suku	Ginglymostoma	Müller & Henle, 1837				
MX.5087623			Ginglymostoma cirratum 	Bonnaterre, 1788	viiksihai			
			Ginglymostoma unami 	Del-Moral-Flores, Ramírez-Antonio, Angulo & Pérez-Ponce de León, 2015	ruskoviiksihai			
		suku	Nebrius	Rüppell, 1837				
			Nebrius ferrugineus 	Lesson, 1831	ruosteviiksihai			
		suku	Pseudoginglymostoma	Dingerkus, 1986				
			Pseudoginglymostoma brevicaudatum	(Günther, 1867)	levyviiksihai			
MX.53088		lahko	Lamniformes		sillihaikalat			
MX.5086303		heimo	Mitsukurinidae		peikkohait			
MX.5087624		suku	Mitsukurina	Jordan, 1898				
MX.5087625			Mitsukurina owstoni 	Jordan, 1898	peikkohai			
MX.5086304		heimo	Carchariidae		hietahait			
MX.5087626		suku	Carcharias	Rafinesque, 1810				
MX.5087627			Carcharias taurus 	Rafinesque, 1810	hietahai			
			Carcharias tricuspidatus 	Day, 1878	intianhietahai			
MX.5086305		heimo	Odontaspididae		naskalihietahait			
MX.5087628		suku	Odontaspis	Agassiz, 1838				
MX.5087629			Odontaspis ferox 	(Risso, 1810) 	mustahietahai			
MX.5087631			Odontaspis noronhai 	(Maul, 1955)	ruskohietahai			
MX.5086306		heimo	Pseudocarchariidae		krokotiilihait			
MX.5087632		suku	Pseudocarcharias	Cadenat, 1963				
MX.5087633			Pseudocarcharias kamoharai	(Matsubara 1937)	krokotiilihai			
MX.53291		heimo	Lamnidae		sillihait			
MX.5087640		suku	Carcharodon	Smith, 1838				
MX.5087641			Carcharodon carcharias 	(Linnaeus, 1758)	valkohai			
MX.5087642		suku	Isurus	Rafinesque, 1810				
MX.5087643			Isurus oxyrinchus 	Rafinesque, 1810 	makrillihai			
MX.5087645			Isurus paucus 	Guitart-Manday, 1966	makohai			
MX.53327		suku	Lamna	Cuvier, 1816				
			Lamna ditropis 	Hubbs & Follett, 1947 	lohihai			
MX.53089			Lamna nasus 	Bonnaterre, 1788	sillihai			
MX.5086307		heimo	Megachasmidae		kitahait			
		suku	Megachasma	Taylor, Compagno & Struhsaker, 1983				
			Megachasma pelagios	Taylor, Compagno & Struhsaker, 1983	kitahai			
MX.5086309		heimo	Cetorhinidae		jättiläishait			
MX.5087638		suku	Cetorhinus	Blainville, 1816				
MX.5087639			Cetorhinus maximus 	(Gunnerus, 1765)	jättiläishai			
MX.5086308		heimo	Alopiidae		kettuhait			
MX.5087634		suku	Alopias	Rafinesque, 1810				
			Alopias pelagicus 	Nakamura, 1935 	ulappakettuhai			
MX.5087635			Alopias superciliosus 	Lowe, 1841	isosilmäkettuhai			
MX.5087637			Alopias vulpinus 	Bonnaterre, 1788	kettuhai			
MX.70304		lahko	Carcharhiniformes		luomihaikalat			
MX.5086310		heimo	Scyliorhinidae		kissahait			
		suku	Asymbolus	Whitley, 1939				
			Asymbolus analis 	(Ogilby, 1885) 	täpläkissahai			
			Asymbolus vincenti 	(Zietz, 1908)	tähtikissahai			
		suku	Aulohalaelurus	Fowler, 1934				
			Aulohalaelurus labiosus 	Waite, 1905	huulikissahai			
		suku	Bythaelurus	Compagno, 1988				
			Bythaelurus alcockii 	(Garman, 1913) 	arabiankissahai			
		suku	Cephaloscyllium	Gill, 1862				
			Cephaloscyllium fasciatum	Chan, 1966 	verkkopallohai			
			Cephaloscyllium isabellum 	Bonnaterre, 1788 	ruutupallohai			
			Cephaloscyllium laticeps 	Duméril, 1853 	australianpallohai			
			Cephaloscyllium sufflans 	Regan, 1921 	pallohai			
			Cephaloscyllium umbratile	Jordan & Fowler, 1903 	laikkupallohai			
			Cephaloscyllium ventriosum 	Garman, 1880 	täpläpallohai			
		suku	Cephalurus	Bigelow & Schroeder, 1941				
			Cephalurus cephalus	(Gilbert, 1892)	tikkarihai			
		suku	Figaro	Whitley, 1928				
			Figaro boardmani 	(Whitley, 1928) 	sahapyrstöhai			
		suku	Haploblepharus	Garman, 1913				
			Haploblepharus edwardsii 	(Schinz, 1822) 	tähtikainohai			
			Haploblepharus pictus 	(Müller & Henle, 1838)	tummakainohai			
		suku	Poroderma	Smith, 1838				
			Poroderma africanum 	(Gmelin, 1789) 	pyjamakissahai			
			Poroderma pantherinum 	(Müller & Henle, 1838)	oselottihai	pantterihai		
MX.5087662		suku	Scyliorhinus	Blainville, 1816				
MX.5087663			Scyliorhinus canicula 	(Linnaeus, 1758) 	pistepunahai			
			Scyliorhinus capensis 	(Müller & Henle, 1838) 	kapinpunahai			
			Scyliorhinus retifer 	(Garman, 1881) 	ketjupunahai			
MX.5087665			Scyliorhinus stellaris 	(Linnaeus, 1758) 	täpläpunahai			
			Scyliorhinus torazame 	(Tanaka), 1908) 	tummapunahai			
			Scyliorhinus torrei 	Howell-Rivero 1936	pikkupunahai			
MX.5086311		heimo	Atelomycteridae		pantterihait			
		suku	Atelomycterus	Garman, 1913				
			Atelomycterus baliensis 	White, Last & Dharmadi, 2005 	balinpantterihai			
			Atelomycterus erdmanni 	Fahmi & White, 2015 	täpläpantterihai			
			Atelomycterus fasciatus 	Compagno & Stevens, 1993 	vyöpantterihai			
			Atelomycterus macleayi 	Whitley, 1939 	australianpantterihai	australiankissahai		
			Atelomycterus marmoratus	Anonymous [Bennett], 1830	korallipantterihai	korallikissahai		
			Atelomycterus marnkalha 	Jacobsen & Bennett, 2007	marmoripantterihai			
MX.5086312		heimo	Pentanchidae		syvännekissahait			
MX.5087646		suku	Apristurus	Garman, 1913				
MX.5087647			Apristurus aphyodes 	Nakaya & Stehmann, 1998	hämyaavehai			
			Apristurus brunneus 	(Gilbert, 1892) 	ruskokissahai			
MX.5087649			Apristurus laurussonii 	(Saemundsson, 1922)	ruskoaavehai 	islanninkissahai		
MX.5087651			Apristurus manis 	(Springer, 1966)	paksuaavehai			
