TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
			Pangasius macronema 	Bleeker, 1851	hopeahaimonni			
			Pangasius myanmar 	Roberts & Vidthayanon, 1991	burmanhaimonni			
			Pangasius nasutus 	(Bleeker, 1863)	sumatranhaimonni			
			Pangasius pangasius 	(Hamilton, 1822) 	intianhaimonni			
			Pangasius sanitwongsei 	Smith, 1931 	paronihaimonni			
		suku	Pseudolais	Vaillant, 1902				
			Pseudolais micronemus 	(Bleeker, 1846) 	keltahaimonni			
MX.53176		heimo	Siluridae		monnit			
		suku	Belodontichthys	Bleeker, 1857				
			Belodontichthys dinema 	(Bleeker, 1851)	kölimonni			
			Belodontichthys truncatus 	Kottelat & Ng, 1999	hopeakölimonni			
		suku	Ceratoglanis	Myers, 1938				
			Ceratoglanis scleronema 	(Bleeker, 1862)	nysäkyttyrämonni			
		suku	Hemisilurus	Bleeker, 1857				
			Hemisilurus heterorhynchus 	(Bleeker, 1854)	kyttyrämonni			
			Hemisilurus mekongensis 	Bornbusch & Lundberg, 1989	mekonginkyttyrämonni			
			Hemisilurus moolenburghi 	Weber & de Beaufort, 1913	sumatrankyttyrämonni			
		suku	Kryptopterus	Bleeker, 1857				
			Kryptopterus bicirrhis 	(Valenciennes, 1840) 	sundanlasimonni			
			Kryptopterus cheveyi 	Durand, 1940 	isolasimonni			
			Kryptopterus cryptopterus 	(Bleeker, 1851) 	maitolasimonni			
			Kryptopterus macrocephalus 	(Bleeker, 1858) 	aavelasimonni			
			Kryptopterus minor 	Roberts, 1989 	pikkulasimonni			
			Kryptopterus schilbeides 	(Bleeker, 1858) 	kuultolasimonni			
			Kryptopterus vitreolus 	Ng & Kottelat, 2013	lasimonni			
		suku	Ompok	Lacepède, 1803				
			Ompok bimaculatus 	(Bloch, 1794) 	täplälasimonni			
			Ompok eugeneiatus 	(Vaillant, 1893)	borneonlasimonni			
			Ompok fumidus 	Tan & Ng, 1996	savulasimonni			
			Ompok hypophthalmus 	(Bleeker, 1846)	jaavanlasimonni			
			Ompok malabaricus 	(Valenciennes, 1840)	keralanlasimonni			
			Ompok pabda 	(Hamilton, 1822)	marmorilasimonni			
			Ompok sabanus 	Inger & Chin, 1959	malaijinlasimonni			
		suku	Phalacronotus	Bleeker, 1857				
			Phalacronotus bleekeri 	(Günther, 1864) 	siaminlasimonni			
		suku	Pterocryptis	Peters, 1861				
			Pterocryptis anomala 	(Herre, 1933)	kivikkotuppimonni			
			Pterocryptis burmanensis 	(Thant, 1966)	burmantuppimonni	burmanmonni		
			Pterocryptis cochinchinensis 	(Valenciennes, 1840)	ruskotuppimonni	ruskomonni		
			Pterocryptis cucphuongensis 	(Mai, 1978)	luolatuppimonni	vietnaminmonni		
			Pterocryptis indicus 	(Datta, Barman & Jayaram, 1987)	intiantuppimonni	intianmonni		
		suku	Silurichthys	Bleeker, 1856				
			Silurichthys citatus 	Ng & Kottelat, 1997	borneonveitsimonni			
			Silurichthys gibbiceps 	Ng & Ng, 1998	liekoveitsimonni			
			Silurichthys hasseltii 	Bleeker, 1858	jaavanveitsimonni			
			Silurichthys indragiriensis 	Volz, 1904	sumatranveitsimonni			
			Silurichthys marmoratus 	Ng & Ng, 1998	marmoriveitsimonni			
			Silurichthys phaiosoma 	(Bleeker, 1851)	veitsimonni			
			Silurichthys sanguineus 	Roberts, 1989	puroveitsimonni			
			Silurichthys schneideri 	Volz, 1904	vaaleaveitsimonni			
MX.53177		suku	Silurus	Linnaeus, 1758	monnit			
MX.5088611			Silurus aristotelis 	Garman, 1890 	kreikanmonni			
			Silurus asotus 	Linnaeus, 1758 	aasianmonni			
			Silurus biwaensis 	Tomoda, 1961 	japaninmonni			
			Silurus burmanensis 	Thant, 1967	burmanmonni			
MX.53178			Silurus glanis 	Linnaeus, 1758 	monni			
			Silurus grahami 	Regan, 1907	kiinanmonni			
			Silurus mento 	Regan, 1904 	junnaninmonni			
			Silurus microdorsalis 	Mori, 1936 	koreanmonni			
			Silurus soldatovi 	Nikolskii & Soin, 1948 	amurinmonni			
			Silurus triostegus 	Heckel, 1843 	irakinmonni			
		suku	Wallago	Bleeker, 1851				
			Wallago attu 	(Bloch & Schneider, 1801)	intianpetomonni			
			Wallago leerii 	Bleeker, 1851	borneonpetomonni			
			Wallago maculatus	Inger & Chin, 1959	laikkupetomonni			
		suku	Wallagonia	Myers, 1938				
			Wallagonia micropogon	Ng, 2004				
MX.5086484		heimo	Kryptoglanidae		intianpiilomonnit	intianluolamonnit		
		suku	Kryptoglanis	Vincent & Thomas, 2011				
			Kryptoglanis shajii	Vincent & Thomas, 2011	intianpiilomonni			
MX.5086485		heimo	Aspredinidae		banjomonnit			
		alaheimo	Aspredininae					
		suku	Aspredo	Scopoli, 1777				
			Aspredo aspredo	(Linnaeus, 1758)	kolossibanjomonni			
		suku	Platystacus	Bloch, 1794				
			Platystacus cotylephorus	Bloch, 1794	jättibanjomonni			
		suku	Pterobunocephalus	Fowler, 1943				
			Pterobunocephalus depressus 	(Haseman, 1911)	lattabanjomonni			
			Pterobunocephalus dolichurus 	(Delsman, 1941)	hoikkabanjomonni			
		alaheimo	Bunocephalinae					
		suku	Acanthobunocephalus	Friel, 1995				
			Acanthobunocephalus nicoi	Friel, 1995	naperobanjomonni			
		suku	Amaralia	Fowler, 1954				
			Amaralia hypsiura 	(Kner, 1855) 	isobanjomonni			
			Amaralia oviraptor 	Friel & Carvalho, 2016	rosvobanjomonni			
		suku	Bunocephalus	Kner, 1855				
			Bunocephalus coracoideus 	(Cope, 1874) 	kyhmybanjomonni			
			Bunocephalus knerii 	Steindachner, 1882  	marmoribanjomonni			
			Bunocephalus verrucosus	(Walbaum, 1792)	kyttyräbanjomonni			
		alaheimo	Hoplomyzontinae					
		suku	Dupouyichthys	Schultz, 1944				
			Dupouyichthys sapito	Schultz, 1944	kitubanjomonni			
		suku	Ernstichthys	Fernández-Yépez, 1953				
			Ernstichthys megistus 	(Orcés V., 1961)	kimalaisbanjomonni			
		suku	Hoplomyzon	Myers, 1942				
			Hoplomyzon papillatus 	Stewart, 1985	nystybanjomonni			
			Hoplomyzon sexpapilostoma 	Taphorn & Marrero, 1990	kääpiöbanjomonni			
		suku	Micromyzon	Friel & Lundberg, 1996				
			Micromyzon akamai 	Friel & Lundberg, 1996	sokkobanjomonni			
		suku	Xyliphius	Eigenmann, 1912				
			Xyliphius barbatus 	Alonso de Arámburu & Arámburu, 1962	partabanjomonni			
MX.5086486		heimo	Auchenipteridae		nahkamonnit			
		alaheimo	Centromochlinae					
		suku	Centromochlus	Kner, 1858				
			Centromochlus concolor 	(Mees, 1974) 	pikkutatia			
			Centromochlus existimatus 	Mees, 1974 	amazonintatia			
			Centromochlus heckelii 	(De Filippi, 1853) 	aavetatia			
			Centromochlus macracanthus 	Soares-Porto, 2000 	vankkatatia			
			Centromochlus punctatus 	(Mees, 1974) 	pistetatia			
			Centromochlus schultzi 	Rössel, 1962 	laikkutatia	matogrossontatia		
		suku	Duringlanis	Grant, 2015				
			Duringlanis altae 	(Fowler, 1945) 	kennotatia			
			Duringlanis perugiae 	Steindachner, 1882 	pitsitatia			
			Duringlanis romani 	(Mees, 1988) 	naperotatia			
		suku	Gelanoglanis	Böhlke, 1980				
			Gelanoglanis stroudi 	Böhlke, 1980 	kääpiötatia			
		suku	Glanidium	Lütken, 1874				
			Glanidium albescens 	Lütken, 1874	isotatia			
			Glanidium leopardum 	(Hoedeman, 1961)	leoparditatia			
		suku	Tatia	Miranda Ribeiro, 1911				
			Tatia aulopygia 	Kner, 1858	helmitatia			
			Tatia creutzbergi 	(Boeseman, 1953)	täplätatia			
			Tatia galaxias 	Mees, 1974	tähtitatia			
			Tatia gyrina 	Eigenmann & Allen, 1942	juovatatia			
			Tatia intermedia 	Steindachner, 1877	juonnetatia			
			Tatia musaica 	Royero, 1992	ninjatatia			
			Tatia reticulata 	(Mees, 1974) 	verkkotatia			
			Tatia strigata 	Soares-Porto, 1995	viirutatia			
		alaheimo	Auchenipterinae		ulappamonnit			
		suku	Ageneiosus	Lacepède, 1803				
			Ageneiosus dentatus 	Kner, 1858	surinaminulappamonni			
			Ageneiosus inermis 	Linnaeus, 1766	ulappamonni			
			Ageneiosus lineatus 	Ribeiro et al., 2017	linjaulappamonni			
			Ageneiosus marmoratus 	Eigenmann, 1912	marmoriulappamonni			
			Ageneiosus vittatus 	Steindachner, 1908	juovaulappamonni			
		suku	Asterophysus	Kner, 1858				
			Asterophysus batrachus 	Kner, 1858	kitanahkamonni			
		suku	Auchenipterichthys	Bleeker, 1862				
			Auchenipterichthys coracoideus 	Eigenmann & Allen, 1942	helminahkamonni			
			Auchenipterichthys longimanus 	Günther, 1864	tähtinahkamonni			
			Auchenipterichthys punctatus 	Valenciennes, 1840	pilkkunahkamonni			
			Auchenipterichthys thoracatus 	Kner, 1858	hämynahkamonni	helminahkamonni		
		suku	Auchenipterus	Valenciennes, 1840				
			Auchenipterus nuchalis 	Spix & Agassiz, 1829	nokkanahkamonni			
		suku	Entomocorus	Eigenmann, 1917				
			Entomocorus benjamini 	Eigenmann, 1917	kuultonahkamonni			
			Entomocorus gameroi 	Mago-Leccia, 1984	kääpiönahkamonni			
		suku	Epapterus	Cope, 1878				
			Epapterus dispilurus 	Cope, 1878	sininahkamonni			
		suku	Liosomadoras	Fowler, 1940				
			Liosomadoras morrowi 	Fowler, 1940	pantterinahkamonni			
			Liosomadoras oncinus 	Jardine & Schomburgk, 1841	jaguaarinahkamonni			
		suku	Pseudauchenipterus	Bleeker, 1862				
			Pseudauchenipterus nodosus 	Bloch, 1794	nystynahkamonni			
		suku	Pseudotatia	Mees, 1974				
			Pseudotatia parva 	Mees, 1974	valetatia			
		suku	Tetranematichthys	Bleeker, 1858				
			Tetranematichthys quadrifilis 	Kner, 1858	guaporenulappamonni			
			Tetranematichthys wallacei 	Vari & Ferraris, 2006	ruskoulappamonni			
		suku	Tocantinsia	Mees, 1974				
			Tocantinsia piresi 	Miranda-Ribeiro, 1920	jymynahkamonni			
		suku	Trachelyichthys	Mees, 1974				
			Trachelyichthys decaradiatus 	Mees, 1974	vähänahkamonni			
			Trachelyichthys exilis 	Greenfield & Glodek, 1977	pikkunahkamonni			
		suku	Trachelyopterichthys	Bleeker, 1862				
			Trachelyopterichthys taeniatus 	Kner, 1858	juovanahkamonni			
		suku	Trachelyopterus	Valenciennes, 1840				
			Trachelyopterus albicrux 	Berg, 1901	piirtonahkamonni			
			Trachelyopterus coriaceus 	Valenciennes, 1840	kirjonahkamonni			
			Trachelyopterus fisheri 	Eigenmann, 1916	purjenahkamonni			
			Trachelyopterus galeatus 	Linnaeus, 1766	ruostenahkamonni			
			Trachelyopterus insignis 	Steindachner, 1878	sysinahkamonni			
			Trachelyopterus leopardinus 	Borodin, 1927	leopardinahkamonni			
		suku	Trachycorystes	Bleeker, 1858				
			Trachycorystes trachycorystes 	Valenciennes, 1840	isonahkamonni			
		suku	Tympanopleura	Eigenmann, 1912				
			Tympanopleura atronasus 	(Eigenmann & Eigenmann, 1888)	pikku-ulappamonni			
			Tympanopleura piperata 	Eigenmann, 1912	kääpiöulappamonni			
MX.5086487		heimo	Doradidae		okamonnit			
		suku	Acanthodoras	Bleeker, 1862				
			Acanthodoras cataphractus 	(Linnaeus, 1758) 	kirjo-okamonni			
			Acanthodoras spinosissimus 	(Eigenmann & Eigenmann, 1888)	suklaaokamonni			
		suku	Agamyxis	Cope, 1878				
			Agamyxis pectinifrons 	(Cope, 1870)	kampaokamonni			
		suku	Amblydoras	Bleeker, 1862				
			Amblydoras affinis 	(Kner, 1855)	pilkkuokamonni	keltavatsaokamonni		
			Amblydoras bolivarensis 	(Fernández-Yépez, 1968)	piikkiokamonni			
			Amblydoras gonzalezi 	(Fernández-Yépez, 1968)	masto-okamonni			
			Amblydoras nauticus 	(Cope, 1874)	kurnuokamonni			
		suku	Anadoras	Eigenmann, 1925				
			Anadoras grypus 	(Cope, 1872)	laikkuokamonni			
		suku	Anduzedoras	Fernández-Yépez, 1968				
			Anduzedoras oxyrhynchus	(Valenciennes, 1821)	kummitusokamonni			
		suku	Astrodoras	Bleeker, 1862				
			Astrodoras asterifrons	(Kner, 1853)	tähtiokamonni			
		suku	Centrochir	Agassiz, 1829				
			Centrochir crocodili	(Humboldt, 1821)	krokotiiliokamonni			
		suku	Centrodoras	Eigenmann, 1925				
			Centrodoras brachiatus 	(Cope, 1872)	kiilaokamonni			
		suku	Doras	Lacepède, 1803				
			Doras carinatus 	(Linnaeus, 1766)	harjaokamonni			
			Doras micropoeus 	(Eigenmann, 1912) 	grafiittiokamonni			
		suku	Franciscodoras	Eigenmann, 1925				
			Franciscodoras marmoratus	(Lütken, 1874)	marmoriokamonni			
		suku	Hassar	Eigenmann & Eigenmann, 1888				
			Hassar affinis 	(Steindachner, 1881)	hopeaokamonni			
			Hassar orestis 	(Steindachner, 1875)	lippuokamonni			
		suku	Hypodoras	Eigenmann, 1925				
			Hypodoras forficulatus 	Eigenmann, 1925	perunokamonni			
		suku	Kalyptodoras	Higuchi, Britski & Garavello, 1990				
			Kalyptodoras bahiensis	Higuchi, Britski & Garavello, 1990	täpläokamonni			
		suku	Leptodoras	Boulenger, 1898				
			Leptodoras acipenserinus 	(Günther, 1868)	sampiokamonni			
			Leptodoras juruensis 	Boulenger, 1898	kaitaokamonni			
			Leptodoras linnelli 	Eigenmann, 1912	soukkaokamonni			
		suku	Lithodoras	Bleeker, 1862				
			Lithodoras dorsalis	(Valenciennes, 1840)	kiviokamonni			
		suku	Megalodoras	Eigenmann, 1925				
			Megalodoras guayoensis 	(Fernández-Yépez, 1968)	suisto-okamonni			
			Megalodoras uranoscopus 	(Eigenmann & Eigenmann, 1888)	kilpiokamonni			
		suku	Nemadoras	Eigenmann, 1925				
			Nemadoras elongatus 	Boulenger, 1898	puikko-okamonni			
			Nemadoras humeralis 	Kner, 1855	läiskäokamonni			
		suku	Ossancora	Sabaj Pérez & Birindelli, 2011				
			Ossancora fimbriatus 	(Kner, 1855)	ripsiokamonni			
		suku	Oxydoras	Kner, 1855				
			Oxydoras niger 	(Valenciennes, 1821)	mustaokamonni			
		suku	Physopyxis	Cope, 1871				
			Physopyxis lyra 	Cope, 1872	banjo-okamonni			
		suku	Platydoras	Bleeker, 1862				
			Platydoras armatulus 	(Valenciennes, 1840) 	juovaokamonni			
			Platydoras costatus 	(Linnaeus, 1758) 	viiruokamonni			
			Platydoras hancockii 	(Valenciennes, 1840)	linjaokamonni			
		suku	Pterodoras	Bleeker, 1862				
			Pterodoras granulosus 	(Valenciennes, 1821) 	nystyokamonni			
		suku	Rhinodoras	Bleeker, 1862				
			Rhinodoras dorbignyi 	(Kner, 1855)	kuono-okamonni			
			Rhinodoras gallagheri 	Sabaj Pérez, Taphorn & Castillo G., 2008	kaarnaokamonni			
		suku	Rhynchodoras	Klausewitz & Rössel, 1961				
			Rhynchodoras xingui 	Klausewitz & Rössel, 1961	haarniskaokamonni			
		suku	Scorpiodoras	Eigenmann, 1925				
			Scorpiodoras heckelii 	(Kner, 1855)	ankkuriokamonni			
		suku	Tenellus	Birindelli, 2014				
			Tenellus cristinae 	Sabaj Pérez, Arce H., Sousa & Birindelli, 2014	ripsiokamonni			
			Tenellus leporhinus 	(Eigenmann, 1912)	nyppyokamonni			
			Tenellus ternetzi 	(Eigenmann, 1925)	ripsuokamonni			
			Tenellus trimaculatus 	(Boulenger, 1898)	sukaokamonni			
		suku	Trachydoras	Eigenmann, 1925				
			Trachydoras paraguayensis 	(Eigenmann & Ward, 1907)	panssariokamonni			
			Trachydoras steindachneri	(Perugia, 1897)	tummaokamonni			
MX.5086488		heimo	Heptapteridae		pimelot			
		suku	Brachyrhamdia	Myers, 1927				
			Brachyrhamdia imitator 	Myers, 1927 	matkijapimelo			
			Brachyrhamdia marthae 	Sands & Black, 1985 	sinipimelo			
			Brachyrhamdia meesi 	Sands & Black, 1985 	pikkupimelo			
			Brachyrhamdia rambarrani	(Axelrod & Burgess, 1987) 	naamiopimelo			
		suku	Goeldiella	Eigenmann & Norris, 1900				
			Goeldiella eques	(Müller & Troschel, 1849)	hepopimelo			
		suku	Heptapterus	Bleeker, 1858				
			Heptapterus multiradiatus 	Ihering, 1907	viivapuikkopimelo			
			Heptapterus mustelinus 	(Valenciennes, 1835)	ankeriaspimelo			
			Heptapterus ornaticeps 	Ahl, 1936	nauhapuikkopimelo			
			Heptapterus sympterygium 	Buckup, 1988	hihnapuikkopimelo			
		suku	Imparfinis	Eigenmann & Norris, 1900				
			Imparfinis borodini 	Mees & Cala, 1989 	purjepimelo			
		suku	Pimelodella	Eigenmann & Eigenmann, 1888				
			Pimelodella boliviana 	Eigenmann, 1917	bolivianpimelo			
			Pimelodella gracilis 	(Valenciennes, 1835) 	siropimelo			
			Pimelodella kronei 	(Miranda-Ribeiro, 1907)	luolapimelo			
			Pimelodella lateristriga 	(Lichtenstein, 1823)	juovapimelo			
			Pimelodella linami 	Schultz, 1944	raitapimelo			
			Pimelodella vittata 	(Lütken, 1874)	hohtopimelo			
		suku	Rhamdia	Bleeker, 1858				
			Rhamdia foina 	(Müller & Troschel, 1849) 	marmoririhmamonni			
			Rhamdia guatemalensis 	(Günther, 1864)	tummarihmamonni			
			Rhamdia laticauda 	(Kner, 1858)	meksikonrihmamonni			
			Rhamdia nicaraguensis 	(Günther, 1864) 	viherrihmamonni			
			Rhamdia quelen 	(Quoy & Gaimard, 1824) 	rihmamonni			
			Rhamdia reddelli 	Miller, 1984	sokkorihmamonni			
			Rhamdia xetequepeque 	Silfvergrip, 1996 	pikkurihmamonni			
			Rhamdia zongolicensis 	Wilkens, 1993	luolarihmamonni			
MX.5086489		heimo	Phreatobiidae		luolapimelot			
		suku	Phreatobius	Goeldi, 1905				
			Phreatobius cisternarum  	Goeldi, 1905	luolapimelo 	virtapimelo		
			Phreatobius dracunculus  	Shibatta, Muriel-Cunha & de Pinna, 2007	louhiluolapimelo			
			Phreatobius sanguijuela 	Fernández, Saucedo, Carvajal-Vallejos & Schaefer, 2007	sokkoluolapimelo			
MX.5086490		heimo	Pimelodidae		antennimonnit			
		suku	Aguarunichthys	Stewart, 1986				
			Aguarunichthys inpai 	Zuanon, Rapp Py-Daniel & Jégu, 1993	nokka-antennimonni			
			Aguarunichthys tocantinsensis 	Zuanon, Rapp Py-Daniel & Jégu, 1993	seula-antennimonni			
			Aguarunichthys torosus 	Stewart, 1986	härkäantennimonni			
		suku	Brachyplatystoma	Bleeker, 1862				
			Brachyplatystoma filamentosum 	(Lichtenstein, 1819) 	jättilapamonni			
			Brachyplatystoma juruense 	(Boulenger, 1898) 	raitalapamonni			
			Brachyplatystoma vaillantii	(Valenciennes, 1840) 	hopealapamonni			
		suku	Calophysus	Müller & Troschel, 1843				
			Calophysus macropterus	(Lichtenstein, 1819)	ryövärimonni			
		suku	Cheirocerus	Eigenmann, 1917				
			Cheirocerus abuelo 	(Schultz, 1944)	ukkoantennimonni			
			Cheirocerus eques 	Eigenmann, 1917	satula-antennimonni			
			Cheirocerus goeldii 	(Steindachner, 1908)	ruoska-antennimonni			
		suku	Hemisorubim	Bleeker, 1862				
			Hemisorubim platyrhynchos	(Valenciennes, 1840)	ankkalapamonni			
		suku	Hypophthalmus	Cuvier, 1829				
			Hypophthalmus edentatus	Spix & Agassiz, 1829 	terämonni			
			Hypophthalmus fimbriatus	Kner, 1857 	sulkaterämonni	metalliterämonni		
			Hypophthalmus marginatus 	Valenciennes, 1840 	amazoninterämonni	terästerämonni		
			Hypophthalmus oremaculatus 	Nani & Fuster, 1947	parananterämonni			
		suku	Leiarius	Bleeker, 1862				
			Leiarius marmoratus 	(Gill, 1870) 	marmoriantennimonni			
			Leiarius pictus 	(Müller & Troschel, 1849)	purjeantennimonni			
		suku	Luciopimelodus	Eigenmann & Eigenmann, 1888				
			Luciopimelodus pati	(Valenciennes, 1835)	kuha-antennimonni	kuhamonni		
		suku	Megalonema	Eigenmann, 1912				
			Megalonema xanthum 	Eigenmann, 1912	kelta-antennimonni	keltakuhamonni		
		suku	Perrunichthys	Schultz, 1944				
			Perrunichthys perruno	Schultz, 1944	mosaiikkiantennimonni			
		suku	Phractocephalus	Agassiz, 1829				
			Phractocephalus hemioliopterus	(Bloch & Schneider, 1801)	panssaripäämonni			
		suku	Pimelodus	Lacepède, 1803				
			Pimelodus absconditus 	Azpelicueta, 1995	sihtiantennimonni			
			Pimelodus albofasciatus 	Mees, 1974	surinaminantennimonni			
			Pimelodus blochii 	Valenciennes, 1840	juova-antennimonni			
			Pimelodus maculatus 	Lacépède, 1803	verkkoantennimonni			
			Pimelodus ornatus 	Kner, 1858	koruantennimonni			
			Pimelodus paranaensis 	Britski & Langeani, 1988	ulappa-antennimonni			
			Pimelodus pictus 	Steindachner, 1876	pilkkuantennimonni			
		suku	Pinirampus	Bleeker, 1858				
			Pinirampus pirinampu	(Spix & Agassiz, 1829)	pirinampu			
		suku	Platynematichthys	Bleeker, 1858				
			Platynematichthys notatus	(Jardine, 1841)	laikkuantennimonni			
		suku	Platysilurus	Haseman, 1911				
			Platysilurus malarmo 	Schultz, 1944	rihmalapamonni			
			Platysilurus mucosus 	(Vaillant, 1880)	siimalapamonni			
		suku	Platystomatichthys	Bleeker, 1862				
			Platystomatichthys sturio	(Kner, 1858)	sampilapamonni			
		suku	Pseudoplatystoma	Bleeker, 1862				
			Pseudoplatystoma corruscans 	(Spix & Agassiz, 1829) 	täplälapamonni			
			Pseudoplatystoma fasciatum 	(Linnaeus, 1766) 	tiikerilapamonni			
			Pseudoplatystoma tigrinum 	(Valenciennes, 1840)	kalterilapamonni			
		suku	Sorubim	Cuvier, 1829				
			Sorubim elongatus 	Littmann, Burr Schmidt & Isern, 2001 	soukkalapamonni			
			Sorubim lima 	(Bloch & Schneider, 1801) 	lapamonni			
			Sorubim trigonocephalus 	Miranda-Ribeiro, 1920 	nuolilapamonni			
		suku	Sorubimichthys	Bleeker, 1862				
			Sorubimichthys planiceps	(Spix & Agassiz, 1829)	sokkelolapamonni			
		suku	Steindachneridion	Eigenmann & Eigenmann, 1919				
			Steindachneridion scriptum 	(Miranda-Ribeiro, 1918)	haukilapamonni			
		suku	Zungaro	Bleeker, 1858				
			Zungaro zungaro 	(Humboldt, 1821)	jymyantennimonni			
		suku	Zungaropsis	Steindachner, 1908				
			Zungaropsis multimaculatus	Steindachner, 1908				
MX.5086491		heimo	Pseudopimelodidae		mehiläismonnit			
		suku	Batrochoglanis	Gill, 1858				
			Batrochoglanis raninus 	(Valenciennes, 1840)	marmorimehiläismonni			
		suku	Cephalosilurus	Haseman, 1911				
			Cephalosilurus albomarginatus 	(Eigenmann, 1912)	kaulusmehiläismonni			
			Cephalosilurus apurensis 	(Mees, 1978)	nystymehiläismonni			
		suku	Lophiosilurus	Steindachner, 1876				
			Lophiosilurus alexandri	Steindachner, 1876	krottimonni			
		suku	Microglanis	Eigenmann, 1912				
			Microglanis ater 	Ahl, 1936	brasilianmehiläismonni	harlekiinimonni		
			Microglanis carlae 	Vera-Alcaraz, da Graça & Shibatta, 2008	marmorimehiläismonni			
			Microglanis cottoides 	(Boulenger, 1891)	simppumehiläismonni			
			Microglanis eurystoma 	Malabarba & Mahler, 1998	nuijamehiläismonni			
			Microglanis iheringi 	Gomes, 1946	vähämehiläismonni			
			Microglanis parahybae 	(Steindachner, 1880)	pikkumehiläismonni			
			Microglanis poecilus 	Eigenmann, 1912	mehiläismonni			
			Microglanis zonatus 	Eigenmann & Allen, 1942	vyömehiläismonni			
		suku	Pseudopimelodus	Bleeker, 1858				
			Pseudopimelodus bufonius 	(Valenciennes, 1840)	konnamehiläismonni			
			Pseudopimelodus pulcher	(Boulenger, 1887)	korumehiläismonni			
MX.5086492		heimo	Clariidae		ankeriasmonnit			
		suku	Channallabes	Günther, 1873				
			Channallabes apus 	(Günther, 1873) 	ankeriasmonni			
		suku	Clariallabes	Boulenger, 1900				
			Clariallabes longicauda 	(Boulenger, 1902)	hoikkakonnamonni			
			Clariallabes melas 	(Boulenger, 1887)	tummakonnamonni			
			Clariallabes mutsindoziensis 	Taverne & De Vos, 1998	burundinkonnamonni			
		suku	Clarias	Scopoli, 1777				
			Clarias angolensis 	Steindachner, 1866	angolankonnamonni			
			Clarias anguillaris 	Linnaeus, 1758 	niilinkonnamonni			
			Clarias batrachus 	Linnaeus, 1758 	konnamonni			
			Clarias buthupogon 	Sauvage, 1879	kongonkonnamonni			
			Clarias cavernicola 	Trewavas, 1936 	luolakonnamonni			
			Clarias gabonensis 	Günther, 1867	gaboninkonnamonni			
			Clarias gariepinus 	Burchell, 1822 	jättikonnamonni			
			Clarias liocephalus 	Boulenger, 1898 	mokkakonnamonni			
			Clarias macrocephalus 	Günther, 1864	lapakonnamonni			
			Clarias platycephalus 	Boulenger, 1902 	lättäkonnamonni			
		suku	Dolichallabes	Poll, 1942				
			Dolichallabes microphthalmus	Poll, 1942	tihruankeriasmonni			
		suku	Encheloclarias	Myers, 1937				
			Encheloclarias baculum 	Ng & Lim, 1993	pikkukonnamonni			
			Encheloclarias curtisoma 	Ng & Lim, 1993	malaijinkonnamonni			
			Encheloclarias kelioides 	Ng & Lim, 1993	vähäkonnamonni			
			Encheloclarias prolatus 	Ng & Lim, 1993	borneonkonnamonni			
			Encheloclarias tapeinopterus 	(Bleeker, 1852)	sumatrankonnamonni			
		suku	Gymnallabes	Günther, 1867				
			Gymnallabes nops 	Roberts & Stewart, 1976	sokkoankeriasmonni			
			Gymnallabes typus 	Günther, 1867	nauha-ankeriasmonni			
		suku	Heterobranchus	Geoffroy St. Hilaire, 1809				
			Heterobranchus bidorsalis 	Geoffroy Saint-Hilaire, 1809 	kyrmyahmattimonni			
			Heterobranchus boulengeri 	(Pellegrin, 1922)	suklaa-ahmattimonni			
			Heterobranchus isopterus 	(Bleeker, 1863)	jokiahmattimonni			
			Heterobranchus longifilis 	Valenciennes, 1840 	oliiviahmattimonni			
		suku	Horaglanis	Menon, 1950				
			Horaglanis abdulkalami 	Subhash Babu, 2012	sokkoankeriasmonni			
			Horaglanis krishnai 	Menon, 1950 	luola-ankeriasmonni			
		suku	Platyallabes	Poll, 1977				
			Platyallabes tihoni	(Poll, 1944)	kongonankeriasmonni			
		suku	Platyclarias	Poll, 1977				
			Platyclarias machadoi	Poll, 1977	latta-ankeriasmonni			
		suku	Tanganikallabes	Poll, 1943				
			Tanganikallabes mortiauxi	Poll, 1943 	tanganjikanankeriasmonni			
		suku	Uegitglanis	Gianferrari, 1923				
			Uegitglanis zammaranoi	Gianferrari, 1923	sokkokonnamonni			
		suku	Xenoclarias	Greenwood, 1958				
			Xenoclarias eupogon 	(Norman, 1928)	victoriankonnamonni			
MX.5086493		heimo	Heteropneustidae		keuhkomonnit			
		suku	Heteropneustes	Müller, 1840				
			Heteropneustes fossilis 	(Bloch, 1794) 	keuhkomonni			
MX.5086494		heimo	Ariidae		merimonnit			
		alaheimo	Galeichthyinae					
		suku	Galeichthys	Valenciennes, 1840				
			Galeichthys feliceps 	Valenciennes, 1840 	kissamerimonni			
		alaheimo	Ariinae					
		suku	Ariopsis	Gill, 1861				
			Ariopsis seemanni 	(Günther, 1864)	panamanmerimonni			
		suku	Arius	Valenciennes, 1840				
			Arius arius 	(Hamilton, 1822) 	siimamerimonni			
			Arius maculatus 	(Thunberg, 1792) 	ryppymerimonni			
		suku	Batrachocephalus	Bleeker, 1846				
			Batrachocephalus mino	(Hamilton, 1822)	leukamerimonni			
MX.5088612		suku	Carlarius	Marceniuk & Menezes, 2007				
			Carlarius heudelotii 	(Valenciennes, 1840) 	turpamerimonni			
MX.5088613			Carlarius parkii 	(Günther, 1864) 	afrikanmerimonni			
		suku	Cephalocassis	Bleeker, 1857				
