TaxonID	rank	taxon	author	vernacularFI	obsoleteFI	informalgroup	
		Apistogramma baenschi 	Römer, Hahn, Römer, Soares & Wöhler, 2004	inkakääpiöahven		MVL.1285	
		Apistogramma barlowi 	Römer & Hahn, 2008	hautojakääpiöahven		MVL.1285	
		Apistogramma bitaeniata	Pellegrin, 1936	korukääpiöahven		MVL.1285	
		Apistogramma borellii	(Regan, 1906)	keltakääpiöahven		MVL.1285	
		Apistogramma brevis	Kullander, 1980	pujokääpiöahven		MVL.1285	
		Apistogramma cacatuoides	Hoedeman, 1951	töyhtökääpiöahven		MVL.1285	
		Apistogramma caetei	Kullander, 1980	turkoosikääpiöahven		MVL.1285	
		Apistogramma commbrae	(Regan, 1906)	katkokääpiöahven		MVL.1285	
		Apistogramma cruzi	Kullander, 1986	linjatäpläkääpiöahven		MVL.1285	
		Apistogramma diplotaenia	Kullander, 1987	parijuovakääpiöahven		MVL.1285	
		Apistogramma elizabethae	Kullander, 1980	soukkakääpiöahven		MVL.1285	
		Apistogramma erythrura 	Staeck & Schindler, 2008	hehkukääpiöahven		MVL.1285	
		Apistogramma eunotus	Kullander, 1981	kyrmykääpiöahven		MVL.1285	
		Apistogramma geisleri	Meinken, 1971	helmiäiskääpiöahven		MVL.1285	
		Apistogramma gephyra	Kullander, 1980	siltakääpiöahven		MVL.1285	
		Apistogramma gibbiceps	Meinken, 1969	sinikääpiöahven		MVL.1285	
		Apistogramma gossei	Kullander, 1982	ruskokääpiöahven		MVL.1285	
		Apistogramma guttata 	Antonio, Kullander & Lasso, 1989	pilkkukääpiöahven		MVL.1285	
		Apistogramma hippolytae	Kullander, 1982	satulakääpiöahven		MVL.1285	
		Apistogramma hoignei	Meinken, 1965	purjekääpiöahven		MVL.1285	
		Apistogramma hongsloi	Kullander, 1979	tulikääpiöahven		MVL.1285	
		Apistogramma inconspicua	Kullander, 1983	safiirikääpiöahven		MVL.1285	
		Apistogramma iniridae	Kullander, 1979	viuhkakääpiöahven		MVL.1285	
		Apistogramma juruensis	Kullander, 1986	juruankääpiöahven		MVL.1285	
		Apistogramma linkei	Koslowski, 1985	hohdekääpiöahven		MVL.1285	
		Apistogramma luelingi	Kullander, 1976	kultakääpiöahven		MVL.1285	
