TaxonID	rank	taxon	author	vernacularFI	obsoleteFI	informalgroup	
	suku	Caquetaia	Fowler, 1945				
		Caquetaia kraussii	(Steindachner 1878)	variskirjoahven		MVL.1285	
		Caquetaia myersi	(Schultz, 1944)	kaksiraitakirjoahven		MVL.1285	
		Caquetaia spectabilis	(Steindachner, 1875)	närhikirjoahven		MVL.1285	
	suku	Chortiheros	Říčan & Dragová, 2016				
		Chortiheros wesseli	Miller, 1996	aavekirjoahven		MVL.1285	
		Cryptoheros cutteri 	(Fowler, 1932)	pariraitakirjoahven		MVL.1285	
	suku	Cryptoheros	Říčan & Piálek, 2016				
		Cryptoheros spilurus 	(Günther, 1862)	raitakirjoahven		MVL.1285	
	suku	Heroina	Kullander, 1996				
		Heroina isonycterina	Kullander, 1996	laikkuvanneahven		MVL.1285	
		Heros efasciatus	Heckel, 1840	vanneahven		MVL.1285	
		Heros liberifer 	Staeck & Schindler, 2015	rubiinivanneahven		MVL.1285	
		Heros notatus	(Jardine, 1843)	täplävanneahven		MVL.1285	
		Heros severus	Heckel, 1840	raitavanneahven		MVL.1285	
		Heros spurius 	Heckel, 1840	pippurivanneahven		MVL.1285	
MX.5089995	suku	Herotilapia					
MX.5089996		Herotilapia multispinosa	(Günther, 1867)	sateenkaariahven		MVL.1285	
	suku	Hoplarchus	Kaup, 1860				
		Hoplarchus psittacus	(Heckel, 1840)	kaijakirjoahven		MVL.1285	
	suku	Hypselecara	Kullander, 1986				
		Hypselecara coryphaenoides	(Heckel, 1840)	suklaakirjoahven		MVL.1285	
		Hypselecara temporalis	(Günther, 1862)	smaragdikirjoahven		MVL.1285	
	suku	Hypsophrys	Agassiz, 1859				
		Hypsophrys nicaraguensis	(Günther, 1864)	turkoosikirjoahven		MVL.1285	
	suku	Isthmoheros	Říčan & Novák, 2016				
		Isthmoheros (Vieja) tuyrensis	(Meek & Hildebrand, 1913)	kekälekirjoahven		MVL.1285	
	suku	Mesonauta	Günther, 1862				
		Mesonauta acora	(Castelnau, 1855)	marmoriviiva-ahven		MVL.1285	
		Mesonauta egregius	Kullander & Silfvergrip, 1991	savanniviiva-ahven		MVL.1285	
		Mesonauta festivus	(Heckel, 1840)	viivakirjoahven		MVL.1285	
		Mesonauta guyanae 	Schindler, 1998	verkkoviiva-ahven		MVL.1285	
		Mesonauta insignis	(Heckel, 1840)	hohtoviiva-ahven		MVL.1285	
		Mesonauta mirificus	Kullander & Silfvergrip, 1991	keltaviiva-ahven		MVL.1285	
	suku	Neetroplus	Günther, 1867				
		Neetroplus nematopus	Günther, 1867	leväkirjoahven		MVL.1285	
	suku	Panamius	Schmitter-Soto, 2007				
		Panamius panamensis	(Meek & Hildebrand, 1913)	panamankirjoahven		MVL.1285	
	suku	Parachromis	Agassiz, 1859				
		Parachromis dovii	(Günther, 1864)	leopardikirjoahven		MVL.1285	
		Parachromis friedrichsthalii	(Heckel, 1840)	puumakirjoahven		MVL.1285	
		Parachromis loisellei	(Bussing, 1989)	oselottikirjoahven		MVL.1285	
		Parachromis managuensis	(Günther, 1867)	pantterikirjoahven		MVL.1285	
		Parachromis motaguensis	(Günther, 1867)	jaguaarikirjoahven		MVL.1285	
	suku	Petenia	Günther, 1862				
		Petenia splendida	Günther, 1862	vaanijakirjoahven		MVL.1285	
	suku	Pterophyllum	Heckel, 1840				
		Pterophyllum altum	Pellegrin, 1903	lippulehtikala		MVL.1285	
		Pterophyllum leopoldi	(Gosse, 1963)	pikkulehtikala		MVL.1285	
		Pterophyllum scalare	(Schultze, 1823)	lehtikala		MVL.1285	
MX.5090001	suku	Rocio	Schmitter-Soto, 2007				
MX.5090002		Rocio octofasciata 	(Regan, 1903)	helmikirjoahven		MVL.1285	
		Rocio spinosissima 	(Vaillant & Pellegrin, 1902)	piikkieväkirjoahven		MVL.1285	
	suku	Symphysodon	Heckel, 1840				
		Symphysodon aequifasciatus	Pellegrin, 1904	sinikiekkokala		MVL.1285	
		Symphysodon discus	Heckel, 1840	kiekkokala		MVL.1285	
		Symphysodon tarzoo	Lyons, 1959	viherkiekkokala		MVL.1285	
	suku	Talamancaheros	Říčan & Novák, 2016				
		Talamancaheros sieboldii 	(Kner, 1863)	mustaleukakirjoahven		MVL.1285	
	suku	Tomocichla	Regan, 1908				
		Tomocichla asfraci 	Allgayer, 2002	kultapilkkukirjoahven		MVL.1285	
		Tomocichla tuba	(Meek, 1912)	tuubakirjoahven		MVL.1285	
	suku	Uaru	Heckel, 1840				
		Uaru amphiacanthoides	Heckel, 1840	kiilakirjoahven		MVL.1285	
		Uaru fernandezyepezi	Stawikowski, 1989	raitauaru		MVL.1285	
	suku	Chiapaheros	McMahan & Piller, 2015				
		Chiapaheros grammodes 	(Taylor & Miller, 1980)	sihtikirjoahven		MVL.1285	
	suku	Chuco	Fernández-Yépez, 1969				
		Chuco godmanni	(Günther, 1862)	hartiatäpläkirjoahven		MVL.1285	
		Chuco intermedium	(Günther, 1862)	kulmakirjoahven		MVL.1285	
		Chuco microphthalmus	(Günther, 1862)	revontulikirjoahven		MVL.1285	
	suku	Cincelichthys	McMahan & K. R. Piller, 2015				
		Cincelichthys bocourti 	(Vaillant & Pellegrin, 1902)	kultakirjoahven		MVL.1285	
		Cincelichthys pearsei 	(Hubbs, 1936)	kaakaokirjoahven		MVL.1285	
	suku	Herichthys	Baird & Girard, 1854				
		Herichthys bartoni	(Bean, 1892)	pippurikirjoahven		MVL.1285	
		Herichthys carpintis	(Jordan & Snyder, 1899)	meksikonkirjoahven	texasinkirjoahven	MVL.1285	
		Herichthys cyanoguttatus	(Baird & Girard, 1854)	texasinkirjoahven	helmiäiskirjoahven	MVL.1285	
		Herichthys deppii	(Heckel, 1840)	viherpippurikirjoahven		MVL.1285	
		Herichthys labridens 	(Pellegrin, 1903)	raspikirjoahven		MVL.1285	
		Herichthys minckleyi	(Kornfield & Taylor, 1983)	hohtopistekirjoahven		MVL.1285	
		Herichthys pantostictus 	(Taylor & Miller, 1983)	suistokirjoahven		MVL.1285	
		Herichthys tamasopoensis	Artigas Azas, 1993	tähtikirjoahven		MVL.1285	
	suku	Maskaheros	McMahan & Piller, 2015				
		Maskaheros argenteus 	(Allgayer 1991)	hopeakirjoahven		MVL.1285	
		Maskaheros regani 	(Miller, 1974)	metallikirjoahven		MVL.1285	
	suku	Mayaheros	Říčan & Piálek, 2016				
		Mayaheros beani	(Jordan, 1889)	varaanikirjoahven		MVL.1285	
		Mayaheros urophthalmus 	(Günther, 1862)	rengaskirjoahven		MVL.1285	
		Mesoheros atromaculatus	(Regan, 1905)	mustatäpläkirjoahven		MVL.1285	
	suku	Mesoheros	McMahan & Chakrabarty, 2015				
		Mesoheros festae 	(Boulenger, 1899)	tiikerikirjoahven		MVL.1285	
		Mesoheros gephyrus	(Eigenmann, 1922)	kaunokirjoahven		MVL.1285	
		Mesoheros ornatus 	(Regan, 1905)	korukirjoahven		MVL.1285	
	suku	Oscura	McMahan & Chakrabarty, 2015				
		Oscura heterospila	(Hubbs, 1936)	nokikirjoahven		MVL.1285	
	suku	Paraneetroplus	Regan, 1905				
		Paraneetroplus bulleri	Regan, 1905	virta-ahven		MVL.1285	
		Paraneetroplus gibbiceps	(Steindachner, 1864)	kyhmyvirta-ahven		MVL.1285	
		Paraneetroplus nebulifer	(Günther, 1860)	kultavirta-ahven		MVL.1285	
		Paraneetroplus omonti	Allgayer, 1988	keltavirta-ahven		MVL.1285	
	suku	Rheoheros	McMahan & Matamoros, 2015				
		Rheoheros coeruleus 	(Stawikowski & Werner, 1987)	sinieväkirjoahven		MVL.1285	
		Rheoheros lentiginosus 	(Steindachner, 1864)	pistekirjoahven		MVL.1285	
	suku	Theraps	Günther, 1862				
		Theraps irregularis	Günther, 1862	soukkakirjoahven		MVL.1285	
	suku	Thorichthys	Meek, 1904				
		Thorichthys affinis	(Günther, 1862)	oranssisuu		MVL.1285	
		Thorichthys aureus	(Günther, 1862)	kultasuu		MVL.1285	
		Thorichthys callolepis	(Regan, 1904)	sirotulisuu		MVL.1285	
		Thorichthys helleri	(Steindachner, 1864)	hehkusuu		MVL.1285	
		Thorichthys maculipinnis 	(Steindachner, 1864)	liekkisuu		MVL.1285	
		Thorichthys meeki	Brind, 1918	tulisuu		MVL.1285	
		Thorichthys panchovillai 	Del Moral-Flores, López-Segovia & Hernández-Arellano, 2017	helosuu		MVL.1285	
		Thorichthys pasionis	(Rivas, 1962)	keltasuu		MVL.1285	
		Thorichthys socolofi	(Miller & Taylor, 1984)	ruususuu		MVL.1285	
	suku	Trichromis	McMahan & Chakrabarty, 2015				
		Trichromis salvini 	(Günther, 1862)	tulijuovakirjoahven		MVL.1285	
	suku	Vieja	Fernández-Yépez, 1969				
		Vieja bifasciata	(Steindachner, 1864)	liekkikirjoahven		MVL.1285	
		Vieja breidohri	(Werner & Stawikowski, 1987)	jääkirjoahven		MVL.1285	
		Vieja fenestrata	(Günther 1860)	pätsikirjoahven		MVL.1285	
		Vieja guttulata	(Günther, 1864)	marmorikirjoahven		MVL.1285	
		Vieja hartwegi	(Taylor & Miller, 1980)	hiilloskirjoahven		MVL.1285	
		Vieja maculicauda	(Regan, 1905)	hiilikirjoahven		MVL.1285	
		Vieja melanurus	(Günther, 1862)	tulikirjoahven		MVL.1285	
		Vieja zonata	(Meek, 1905)	loimukirjoahven		MVL.1285	
	suku	Wajpamheros	Říčan & Piálek, 2016				
		Wajpamheros nourissati 	(Allgayer, 1989)	sysikirjoahven		MVL.1285	
	suku	Nandopsis	Gill, 1862	Nandopsis-ryhmä			
		Nandopsis haitiensis	(Tee-Van, 1935)	haitinkirjoahven		MVL.1285	
		Nandopsis ramsdeni	(Fowler, 1938)	ruskokirjoahven		MVL.1285	
		Nandopsis tetracanthus	(Valenciennes, 1831)	kuubankirjoahven		MVL.1285	
							
MX.5086710	alaheimo	Pseudocrenilabrinae	Fowler, 1934	afrikankirjoahvenet		MVL.1284	
							
	tribe	Heterochromidini					
	suku	Heterochromis	Regan, 1922				
		Heterochromis multidens	(Pellegrin, 1900)	hammastilapia		MVL.1285	
				 			
	tribe	Tylochromini		afrikanseulojat			
	suku	Tylochromis	Regan, 1920				
		Tylochromis bangwelensis 	Regan, 1920 	kyhmyseuloja		MVL.1285	
		Tylochromis elongatus 	Stiassny, 1989	soukkaseuloja		MVL.1285	
		Tylochromis intermedius 	(Boulenger, 1916)	mustaotsaseuloja		MVL.1285	
		Tylochromis labrodon 	Regan, 1920	huuliseuloja		MVL.1285	
		Tylochromis lateralis 	(Boulenger, 1898)	kongonseuloja		MVL.1285	
		Tylochromis leonensis 	Stiassny, 1989	punaeväseuloja		MVL.1285	
		Tylochromis sudanensis 	Daget, 1954	sudaninseuloja		MVL.1285	
		Tylochromis polylepis	(Boulenger, 1900)	metallimutahautoja		MVL.1285, MVL.1286	
							
MX.5105987	tribe	Hemichromini					
	suku	Anomalochromis	Greenwood, 1985				
		Anomalochromis thomasi	(Boulenger, 1915)	timanttikirjoahven		MVL.1285	
MX.5089989	suku	Hemichromis	Peters, 1857				
		Hemichromis angolensis 	Steindachner, 1865	angolantimanttiahven		MVL.1285	
		Hemichromis bimaculatus 	Gill, 1862	pilkkutimanttiahven		MVL.1285	
		Hemichromis cerasogaster 	(Boulenger, 1899)	oranssitimanttiahven		MVL.1285	
		Hemichromis cristatus 	Loiselle, 1979	hehkutimanttiahven		MVL.1285	
		Hemichromis elongatus 	(Guichenot, 1861) 	hohtotimanttiahven		MVL.1285	
		Hemichromis exsul 	(Trewavas, 1933) 	neontimanttiahven		MVL.1285	
MX.5089990		Hemichromis fasciatus 	Peters, 1857 	laikkutimanttiahven		MVL.1285	
		Hemichromis frempongi 	Loiselle, 1979	täplätimanttiahven		MVL.1285	
MX.5089992		Hemichromis guttatus 	Günther, 1862	rusotimanttiahven		MVL.1285	
		Hemichromis letourneuxi 	Sauvage, 1880	ruskotimanttiahven		MVL.1285	
		Hemichromis lifalili 	Loiselle, 1979	punatimanttiahven		MVL.1285	
		Hemichromis saharae 	Sauvage, 1880	pastellitimanttiahven		MVL.1285	
		Hemichromis stellifer 	Loiselle, 1979	helotimanttiahven		MVL.1285	
							
	tribe	Pelmatochromini					
	suku	Pelmatochromis	Steindachner, 1894				
		Pelmatochromis buettikoferi 	(Steindachner, 1894)	punahuulipalettikala		MVL.1285	
		Pelmatochromis nigrofasciatus 	(Pellegrin, 1900)	raitapalettikala		MVL.1285	
		Pelmatochromis ocellifer 	Boulenger, 1899	täpläpalettikala		MVL.1285	
							
	tribe	Chromidotilapiini					
	suku	Benitochromis	Lamboj, 2001				
		Benitochromis batesii 	(Boulenger, 1901)	raitapalettihautoja		MVL.1285	
		Benitochromis conjunctus 	Lamboj, 2001	okrapalettihautoja		MVL.1285	
		Benitochromis finleyi 	(Trewavas, 1974)	metallipalettihautoja		MVL.1285	
		Benitochromis nigrodorsalis 	Lamboj, 2001	sysipalettihautoja		MVL.1285	
		Benitochromis riomuniensis 	(Thys van den Audenaerde, 1981)	täpläpalettihautoja		MVL.1285	
		Benitochromis ufermanni 	Lamboj, 2001	kiilapalettihautoja		MVL.1285	
	suku	Chromidotilapia	Boulenger, 1898				
		Chromidotilapia cavalliensis 	(Thys van den Audenaerde & Loiselle, 1971)	juovapalettihautoja		MVL.1285	
		Chromidotilapia elongata 	Lamboj, 1999	soukkapalettihautoja		MVL.1285	
		Chromidotilapia guntheri 	(Sauvage, 1882) 	viherpalettihautoja		MVL.1285	
		Chromidotilapia kingsleyae 	Boulenger, 1898	kuonopalettihautoja		MVL.1285	
		Chromidotilapia linkei 	Staeck, 1980	safiiripalettihautoja		MVL.1285	
		Chromidotilapia mamonekenei 	Lamboj, 1999	oliivipalettihautoja		MVL.1285	
		Chromidotilapia melaniae 	Lamboj, 2003	rusopalettihautoja		MVL.1285	
		Chromidotilapia mrac 	Lamboj, 2002	laikkupalettihautoja		MVL.1285	
		Chromidotilapia nana 	Lamboj, 2003	pikkupalettihautoja		MVL.1285	
		Chromidotilapia regani 	(Pellegrin, 1906)	leukapalettihautoja		MVL.1285	
		Chromidotilapia schoutedeni 	(Poll & Thys van den Audenaerde, 1967)	kongonpalettihautoja		MVL.1285	
	suku	Congochromis	Stiassny & Schliewen, 2007				
		Congochromis sabinae 	(Lamboj, 2005)	hehkupalettikala		MVL.1285	
		Congochromis squamiceps 	(Boulenger, 1902)	punaeväpalettikala		MVL.1285	
	suku	Enigmatochromis	Lamboj, 2009				
		Enigmatochromis lucanusi 	Lamboj, 2009	turkoosipalettikala		MVL.1285	
	suku	Nanochromis	Pellegrin, 1904				
		Nanochromis consortus 	Roberts & Stewart, 1976	hunajapalettikala		MVL.1285	
		Nanochromis dimidiatus 	(Pellegrin, 1900)	purppurapalettikala		MVL.1285	
		Nanochromis minor 	Roberts & Stewart, 1976	pikkupalettikala		MVL.1285	
		Nanochromis nudiceps 	(Boulenger, 1899)	sinipalettikala		MVL.1285	
		Nanochromis parilus 	Roberts & Stewart, 1976	sinieväpalettikala		MVL.1285	
		Nanochromis splendens 	Roberts & Stewart, 1976	loistopalettikala		MVL.1285	
		Nanochromis transvestitus 	Roberts & Stewart, 1984	seeprapalettikala		MVL.1285	
	suku	Neochromis	Regan, 1920				
		Neochromis nigricans 	(Boulenger, 1906)	tummahautoja		MVL.1285	
		Neochromis rufocaudalis 	Seehausen & Bouton, 1998	tulipyrstöhautoja		MVL.1285	
	suku	Parananochromis	Greenwood, 1987				
		Parananochromis caudifasciatus 	(Boulenger, 1913)	raitapyrstöpalettikala		MVL.1285	
		Parananochromis gabonicus 	Trewavas, 1975	okrapalettikala		MVL.1285	
		Parananochromis longirostris 	(Boulenger, 1903)	verkkopalettikala		MVL.1285	
	suku	Pelvicachromis	Thys van den Audenaerde, 1968				
		Pelvicachromis drachenfelsi 	Lamboj, Bartel & dell’Ampio, 2014	keltaposkipalettikala		MVL.1285	
		Pelvicachromis kribensis 	Boulenger, 1911	turkoosipalettikala		MVL.1285	
		Pelvicachromis pulcher 	Boulenger, 1901	palettikala		MVL.1285	
		Pelvicachromis roloffi 	Thys van den Audenaerde, 1968	ruusupalettikala		MVL.1285	
		Pelvicachromis sacrimontis 	Paulo, 1977 	tulipalettikala		MVL.1285	
		Pelvicachromis silviae	Lamboj, 2013	korupalettikala		MVL.1285	
		Pelvicachromis subocellatus 	Günther, 1872	keltapalettikala		MVL.1285	
		Pelvicachromis taeniatus 	Boulenger, 1901	kirjopalettikala		MVL.1285	
	suku	Teleogramma	Boulenger, 1899				
		Teleogramma brichardi 	Poll, 1959	madeahven		MVL.1285	
		Teleogramma gracile 	Boulenger, 1899	hentomadeahven		MVL.1285	
		Teleogramma monogramma 	(Pellegrin, 1927)	merkkimadeahven		MVL.1285	
	suku	Thysochromis	Daget, 1988				
		Thysochromis ansorgii 	Boulenger, 1901	täpläpalettiahven		MVL.1285	
	suku	Wallaceochromis	Lamboj, Trummer & Metscher, 2016				
		Wallaceochromis humilis 	(Boulenger, 1916)	rusopalettikala		MVL.1285	
		Wallaceochromis rubrolabiatus 	(Lamboj, 2004)	rusohuulipalettikala		MVL.1285	
		Wallaceochromis signatus	(Lamboj, 2004	täpläpalettikala		MVL.1285	
							
MX.5105986	tribe	Oreochromini					
	suku	Danakilia	Thys van den Audenaerde, 1969				
		Danakilia dinicolai 	Stiassny, de Marchi & Lamboj, 2010			MVL.1285	
		Danakilia franchettii 	(Vinciguerra, 1931)	danakilia		MVL.1285	
	suku	Iranocichla	Coad, 1982				
		Iranocichla hormuzensis 	Coad, 1982	iraninkirjoahven		MVL.1285	
		Iranocichla persa	Esmaeili, Sayyadzadeh & Seehausen, 2016	persiankirjoahven		MVL.1285	
	suku	Konia	Trewavas, 1972				
		Konia eisentrauti 	(Trewavas, 1962)	konia		MVL.1285	
	suku	Myaka	Trewavas, 1972				
		Myaka myaka	Trewavas, 1972	myaka		MVL.1285	
MX.5089997	suku	Oreochromis	Günther, 1889	tilapiat			
		Oreochromis shiranus	Boulenger, 1897	tummaleukatilapia		MVL.1285, MVL.1287	
		Oreochromis alcalicus 	(Hilgendorf, 1905)	soodatilapia		MVL.1285	
		Oreochromis andersonii 	(Castelnau, 1861) 	kolmitäplätilapia		MVL.1285	
MX.5089998		Oreochromis aureus 	(Steindachner, 1864) 	kultatilapia		MVL.1285	
		Oreochromis esculentus 	(Graham, 1928) 	pronssitilapia		MVL.1285	
		Oreochromis jipe 	(Lowe, 1955) 	panganintilapia		MVL.1285	
		Oreochromis karomo 	(Poll, 1948) 	valkopäätilapia		MVL.1285	
		Oreochromis leucostictus 	(Trewavas, 1933)	valkotäplätilapia		MVL.1285	
		Oreochromis macrochir 	(Boulenger, 1912) 	tummatilapia		MVL.1285	
		Oreochromis mortimeri 	(Trewavas, 1966) 	karibantilapia		MVL.1285	
		Oreochromis mossambicus 	(Peters, 1852) 	valkoleukatilapia		MVL.1285	
MX.5090000		Oreochromis niloticus 	(Linnaeus, 1758) 	niilintilapia		MVL.1285	
		Oreochromis placidus 	(Trewavas, 1941)	mustatilapia		MVL.1285	
		Oreochromis rukwaensis 	(Hilgendorf & Pappenheim, 1903) 	rukwantilapia		MVL.1285	
		Oreochromis salinicola 	(Poll, 1948)	suolatilapia		MVL.1285	
		Oreochromis spilurus 	(Günther, 1894)	kuparitilapia		MVL.1285	
		Oreochromis tanganicae	(Günther 1894)	tanganjikantilapia		MVL.1285, MVL.1286	
		Oreochromis urolepis 	(Norman, 1922)	oliivitilapia		MVL.1285	
		Oreochromis variabilis 	(Boulenger, 1906) 	hopeatilapia		MVL.1285	
	suku	Pungu	Greenwood, 1980				
		Pungu maclareni	(Trewavas, 1962)	pungu		MVL.1285	
	suku	Sarotherodon	Rüppell, 1852				
		Sarotherodon caudomarginatus 	(Boulenger, 1916)	sinipyrstötilapia		MVL.1285	
		Sarotherodon galilaeus 	(Linnaeus, 1758)	galileantilapia		MVL.1285	
		Sarotherodon linnellii 	(Lönnberg, 1903) 	mustaevätilapia		MVL.1285	
		Sarotherodon lohbergeri 	(Holly, 1930) 	mustajuovatilapia		MVL.1285	
		Sarotherodon melanotheron 	Rüppell, 1852 	mustaleukatilapia		MVL.1285	
		Sarotherodon occidentalis 	(Daget ,1962)	platinatilapia		MVL.1285	
		Sarotherodon steinbachi 	(Trewavas, 1962) 	kuonotilapia		MVL.1285	
		Sarotherodon tournieri 	(Daget, 1965)	messinkitilapia		MVL.1285	
	suku	Tristramella	Trewavas, 1942				
		Tristramella simonis	(Günther, 1864)	jordanintilapia		MVL.1285	
							
	tribe	Gobiocichlini					
	suku	Paragobiocichla	Schliewen & Weiss, 2019				
		Paragobiocichla irvinei 	(Trewavas, 1943)	tummakyhmyotsa		MVL.1285	
							
	tribe	Coelotilapiini					
	suku	Coelotilapia	Dunz & Schliewen, 2013				
		Coelotilapia joka	(Thys van den Audenaerde, 1969)	valkoraitatilapia		MVL.1285	
							
	tribe	Heterotilapiini					
	suku	Heterotilapia	Archocentrus Gill, 1877 				
		Heterotilapia buttikoferi 	(Hubrecht, 1881) 	seepratilapia		MVL.1285	
		Heterotilapia cessiana 	(Thys van den Audenaerde, 1968)	raitatilapia		MVL.1285	
							
	tribe	Coptodonini		parihammastilapiat			
	suku	Coptodon	Gervais, 1853				
		Coptodon bakossiorum 	(Stiassny, Schliewen & Dominey, 1992) 			MVL.1285	
		Coptodon dageti 	(Thys van den Audenaerde, 1971) 	ruskoevätilapia		MVL.1285	
		Coptodon guineensis 	(Günther, 1862) 	guineantilapia		MVL.1285	
		Coptodon kottae 	(Lönnberg, 1904) 	mustavatsatilapia		MVL.1285	
		Coptodon louka 	(Thys van den Audenaerde, 1969) 	keltatilapia		MVL.1285	
		Coptodon margaritacea 	(Boulenger, 1916) 	helmitilapia		MVL.1285	
		Coptodon nyongana 	(Thys van den Audenaerde, 1971) 	ruskoraitatilapia		MVL.1285	
		Coptodon rendalli 	(Boulenger, 1897) 	punarintatilapia		MVL.1285	
		Coptodon rheophila 	(Daget, 1962) 	virtatilapia		MVL.1285	
		Coptodon snyderae 	(Stiassny, Schliewen & Dominey, 1992) 	kääpiötilapia		MVL.1285	
		Coptodon tholloni 	(Sauvage, 1884) 	kirjotilapia		MVL.1285	
		Coptodon walteri 	(Thys van den Audenaerde, 1968) 	ruskotilapia		MVL.1285	
		Coptodon zillii 	(Gervais, 1848)	punavatsatilapia		MVL.1285	
							
	tribe	Pelmatolapiini					
	suku	Pelmatolapia	Thys van den Audenaerde, 1969				
		Pelmatolapia mariae 	(Boulenger, 1899)	täplätilapia		MVL.1285	
							
	tribe	Steatocranini					
	suku	Steatocranus	Boulenger, 1899				
		Steatocranus casuarius 	Poll, 1939 	kyhmyotsa		MVL.1285	
		Steatocranus gibbiceps 	Boulenger, 1899	tylppäkyhmyotsa		MVL.1285	
		Steatocranus glaber 	Roberts & Stewart, 1976	kuparikyhmyotsa		MVL.1285	
		Steatocranus rouxi 	(Pellegrin, 1928)	hoikkakyhmyotsa		MVL.1285	
		Steatocranus tinanti 	(Poll, 1939)	soukkakyhmyotsa		MVL.1285	
		Steatocranus ubanguiensis	Roberts & Stewart, 1976	rusokyhmyotsa		MVL.1285	
							
	tribe	Tilapiini					
	suku	Tilapia	Smith, 1840				
		Tilapia brevimanus 	Boulenger, 1911	kaksijuovatilapia		MVL.1285	
		Tilapia busumana 	(Günther, 1903)	täpläselkätilapia		MVL.1285	
		Tilapia guinasana 	Trewavas, 1936 	sinitilapia		MVL.1285	
		Tilapia sparrmanii 	Smith, 1840	vihertilapia		MVL.1285	
							
	suku	Serranochromis	Regan, 1920				
		Serranochromis robustus 	(Günther, 1864) 	vankkakitahautoja 		MVL.1285	
							
	tribe	Orthochromini		koskiahvenet			
		Orthochromis stormsi 	(Boulenger, 1902)	koskiahven		MVL.1285	
							
	tribe	Haplochromini					
	suku	Pseudocrenilabrus	Fowler, 1934				
		Pseudocrenilabrus multicolor 	(Schöller, 1903) 	kirjosuuhautoja		MVL.1285	
		Pseudocrenilabrus nicholsi 	(Pellegrin, 1928)	purppurasuuhautoja		MVL.1285	
		Pseudocrenilabrus philander 	(Weber, 1897) 	messinkisuuhautoja		MVL.1285	
	suku	Astatoreochromis	Pellegrin, 1904				
		Astatoreochromis straeleni 	(Poll, 1944)	sinihuulihautoja		MVL.1285	
	suku	Haplochromis	Hilgendorf, 1888				
		Haplochromis brownae 	Greenwood, 1962	kultakylkihautoja		MVL.1285	
		Haplochromis polli 	Thys van den Audenaerde, 1964	kongonhautoja		MVL.1285	
	suku	Pundamilia	Trewavas, 1972				
		Pundamilia nyererei 	(Witte-Maas & Witte, 1985)	kuparihautoja		MVL.1285	
	suku	Schwetzochromis	Poll, 1948				
		Schwetzochromis neodon 	Poll, 1948	juovakoskiahven		MVL.1285	
							
	suku	Thoracochromis	Greenwood, 1979				
		Thoracochromis brauschi 	(Poll & Thys van den Audenaerde, 1965) 	punakurkkuhautoja		MVL.1285	
		Thoracochromis demeusii 	(Boulenge,r 1899) 	kyhmyhautoja		MVL.1285	
		Thoracochromis wingatii 	(Boulenger 1902)	turkoosihautoja		MVL.1285	
	suku	Astatotilapia	Pellegrin, 1904				
		Astatotilapia bloyeti 	(Sauvage, 1883)	koruhautoja		MVL.1285	
		Astatotilapia burtoni	(Günther, 1894)	sinisuuhautoja		MVL.1285	
		Astatotilapia desfontainii 	(Lacepède, 1802)	metallihautoja		MVL.1285	
		Astatotilapia flaviijosephi 	(Lortet, 1883)	jordaninhautoja		MVL.1285	
		Astatotilapia stappersii	(Poll, 1943)	punaevähautoja		MVL.1285, MVL.1286	
		Astatotilapia calliptera 	(Günther, 1894)	kaunisevähautoja		MVL.1285, MVL.1287	
							
	suku	Abactochromis	Oliver & Arnegard, 2010				
		Abactochromis labrosus 	(Trewavas, 1935)	mutrumalawinahven		MVL.1285, MVL.1287	
	suku	Alticorpus	Stauffer & McKaye, 1988				
		Alticorpus macrocleithrum 	(Stauffer & McKaye, 1985) 	olkaluotaaja		MVL.1285, MVL.1287	
		Alticorpus mentale 	Stauffer & McKaye, 1988 	ruskoluotaaja		MVL.1285, MVL.1287	
		Alticorpus pectinatum 	Stauffer & McKaye, 1988	viherluotaaja		MVL.1285, MVL.1287	
		Alticorpus profundicola	Stauffer & McKaye, 1988	syvänneluotaaja		MVL.1285, MVL.1287	
	suku	Aristochromis	Trewavas, 1935				
		Aristochromis christyi 	Trewavas, 1935	jalomalawinahven		MVL.1285, MVL.1287	
	suku	Aulonocara	Regan, 1922				
		Aulonocara auditor 	(Trewavas, 1935)	raitakeisariahven		MVL.1285, MVL.1287	
		Aulonocara baenschi 	Meyer & Riehl, 1985 	keltakeisariahven		MVL.1285, MVL.1287	
		Aulonocara brevirostre 	(Trewavas, 1935)	lyhytkuonokeisariahven		MVL.1285, MVL.1287	
		Aulonocara ethelwynnae 	Meyer, Riehl, & Zetzsche, 1987	ruskokeisariahven		MVL.1285, MVL.1287	
		Aulonocara gertrudae 	Konings, 1995 	turkoosikeisariahven		MVL.1285, MVL.1287	
		Aulonocara guentheri 	Eccles, 1989 	keltaleukakeisariahven		MVL.1285, MVL.1287	
		Aulonocara hansbaenschi 	Meyer, Riehl, & Zetzsche, 1987	kuparikeisariahven		MVL.1285, MVL.1287	
		Aulonocara hueseri 	Meyer, Riehl, & Zetzsche, 1987	keltavatsakeisariahven		MVL.1285, MVL.1287	
		Aulonocara jacobfreibergi 	(Johnson, 1974)	keijukeisariahven		MVL.1285, MVL.1287	
		Aulonocara korneliae 	Meyer, Riehl, & Zetzsche, 1987	kultavyökeisariahven		MVL.1285, MVL.1287	
		Aulonocara maylandi 	Trewavas, 1984	rikkikeisariahven		MVL.1285, MVL.1287	
		Aulonocara nyassae 	Regan, 1922 	keisariahven		MVL.1285, MVL.1287	
