TaxonID	TaxonRank	ScientificName	Author	SpeciesID	SpeciesScientificName	SpeciesAuthor	VernacularFI	AlternativeFI	VernacularEN
		Carcharhinus			Carcharhinus falciformis 	(Müller & Henle, 1839)	haukkahai		
		Carcharhinus			Carcharhinus galapagensis	(Snodgrass & Heller, 1905)	sysihai		
		Carcharhinus			Carcharhinus isodon 	(Müller & Henle, 1839)	tasahammashai		
		Carcharhinus			Carcharhinus leucas 	(Müller & Henle, 1839)	härkähai		
		Carcharhinus			Carcharhinus limbatus 	(Müller & Henle, 1839)	mustapilkkahai		
		Carcharhinus			Carcharhinus longimanus 	(Poey, 1861)	valkopilkkahai		
		Carcharhinus			Carcharhinus melanopterus 	(Quoy & Gaimard, 1824)	mustaevähai		
		Carcharhinus			Carcharhinus obscurus 	(Lesueur, 1818)	sumuhai		
		Carcharhinus			Carcharhinus plumbeus 	(Nardo, 1827)	ruskohai		
		Carcharhinus			Carcharhinus signatus 	(Poey, 1868)	yöhai		
		Galeocerdo	Müller & Henle, 1837		Galeocerdo cuvier 	(Péron & Lesueur, 1822)	tiikerihai		
		Negaprion	Whitley, 1940		Negaprion brevirostris 	(Poey, 1868)	sitruunahai		
		Prionace	Cantor, 1849		Prionace glauca 	(Linnaeus, 1758)	sinihai		
		Rhizoprionodon	Whitley, 1929		Rhizoprionodon acutus 	(Rüppell, 1837)	maitohai		
MX.5086320	heimo 	Sphyrnidae							
		Sphyrna	Rafinesque, 1810		Sphyrna lewini 	(Griffith & Smith, 1834)	kampavasarahai		
		Sphyrna			Sphyrna mokarran 	(Rüppell, 1837)	isovasarahai		
		Sphyrna			Sphyrna tudes 	(Valenciennes, 1822)	ruskovasarahai		
		Sphyrna			Sphyrna zygaena 	(Linnaeus, 1758)	vasarahai		
MX.5086321	heimo 	Dalatiidae							
		Dalatias	Rafinesque, 1810		Dalatias licha 	(Bonnaterre, 1788)	leijahai		
		Isistius			Isistius brasiliensis 	(Quoy & Gaimard, 1824)	leikkurihai		
		Isistius			Isistius plutodus 	Garrick & Springer, 1964	pikkuleikkurihai		
		Squaliolus			Squaliolus laticaudus 	Smith & Radcliffe, 1912	lyhtyhai		Spined pygmy shark
MX.5086322	heimo 	Etmopteridae							
		Centroscyllium	Müller & Henle, 1841		Centroscyllium fabricii 	(Reinhardt, 1825)	tummavalohai		
		Etmopterus	Rafinesque, 1810		Etmopterus princeps 	Collett, 1904	isovalohai		
		Etmopterus			Etmopterus pusillus 	(Lowe, 1839)	pehmovalohai		
		Etmopterus			Etmopterus spinax 	(Linnaeus, 1758)	samettivalohai		
MX.5086323	heimo 	Somniosidae							
		Centroscymnus	Barbosa du Bocage & de Brito Capello, 1864		Centroscymnus coelolepis 	Barbosa du Bocage & de Brito Capello, 1864	ruskosusihai		
		Centroscymnus			Centroscymnus owstonii 	Barman, 1906	mustasusihai		Roughskin dogfish
		Centroselachus	Garman, 1913		Centroselachus crepidater 	(Barbosa du Bocage & de Brito Capello, 1864)	kuonosamettihai		
		Scymnodalatias	Garrick, 1956		Scymnodalatias garricki 	Kukuyev & Konovalenko, 1988	azoriensusihai		Azores dogfish
		Scymnodon	Barbosa du Bocage & de Brito Capello, 1864		Scymnodon ringens 	Barbosa du Bocage & de Brito Capello, 1864	piikkihammashai		Knifetooth dogfish
		Somniosus	Lesueur, 1818		Somniosus microcephalus 	(Bloch & Schneider, 1801)	holkeri		
		Somniosus			Somniosus rostratus	(Risso, 1827)	pikkuholkeri		
		Zameus	Jordan & Fowler, 1903		Zameus squamulosus 	(Günther, 1877)	mustasamettihai		Velvet dogfish
MX.5086324	heimo 	Oxynotidae							
		Oxynotus	Rafinesque, 1810		Oxynotus centrina 	(Linnaeus, 1758)	särmäpurjehai		
		Oxynotus			Oxynotus paradoxus 	Frade, 1929	purjehai		
MX.5086325	heimo 	Centrophoridae							
		Centrophorus	Müller & Henle, 1837		Centrophorus granulosus 	(Bloch & Schneider, 1801)	nystypistinhai		
		Centrophorus			Centrophorus lusitanicus 	Barbosa du Bocage & de Brito Capello, 1864	sysipistinhai		
		Centrophorus			Centrophorus squamosus 	(Bonnaterre, 1788)	suomupistinhai		
		Centrophorus			Centrophorus uyato 	(Rafinesque 1810)	harmaapistinhai 	harmaapiikkihai	
		Deania	Jordan & Snyder, 1902		Deania calcea 	(Lowe, 1839)	lattahai		
		Deania			Deania hystricosa 	(Garman, 1906)	okalattahai		
MX.53090	heimo 	Squalidae							
MX.53292		Squalus	Linnaeus, 1758	MX.53091	Squalus acanthias 	Linnaeus, 1758	piikkihai		
MX.53292		Squalus			Squalus blainville 	(Risso, 1827)	nokkapiikkihai		
MX.53292		Squalus			Squalus megalops 	(Macleay, 1881)	töppöpiikkihai		
MX.5086327	heimo 	Echinorhinidae							
		Echinorhinus	Blainville, 1816		Echinorhinus brucus 	(Bonnaterre, 1788)	okahai		
MX.5086330	heimo 	Squatinidae							
		Squatina	Duméril, 1805		Squatina aculeata 	Cuvier, 1829	ruskomerienkeli		
		Squatina			Squatina oculata 	Bonaparte, 1840	täplämerienkeli		
		Squatina			Squatina squatina 	(Linnaeus, 1758)	merienkeli		
MX.5086335	heimo 	Torpedinidae							
		Torpedo	Duméril, 1806		Torpedo marmorata 	Risso, 1810	marmorisähkörausku		
		Torpedo			Torpedo nobiliana 	Bonaparte, 1835	sysisähkörausku		
		Torpedo			Torpedo torpedo 	(Linnaeus, 1758)	silmäsähkörausku		
MX.5086338	heimo 	Rhinobatidae							
		Rhinobatos	Linck, 1790		Rhinobatos rhinobatos 	(Linnaeus, 1758)	kitararausku		
MX.5086340	heimo 	Glaucostegidae							
		Glaucostegus	Bonaparte, 1846		Glaucostegus halavi 	(Forsskål, 1775)	omaninkitarausku		
		Glaucostegus			Glaucostegus cemiculus 	(Geoffroy St. Hilaire, 1817)	kirsukitararausku		blackchin guitarfish
		Glaucostegus			Glaucostegus thouin 	(Anonymous [Lacepède] 1798)	karttukitararausku		clubnose guitarfish
MX.5086341	heimo 	Pristidae							
		Pristis	Linck, 1790		Pristis pectinata 	Latham, 1794	saharausku		
		Pristis			Pristis pristis 	(Linnaeus, 1758)	harmaasaharausku		
MX.5086342	heimo 	Rajidae							
		Amblyraja	Malm, 1877		Amblyraja hyperborea 	(Collett, 1879)	jäärausku		
		Amblyraja			Amblyraja jenseni	(Bigelow & Schroeder, 1950)	lyhytpyrstörausku		shorttail skate
		Amblyraja			Amblyraja radiata 	(Donovan, 1808)	kynsirausku		
		Dipturus	Rafinesque, 1810		Dipturus batis 	(Linnaeus, 1758)	silorausku		
		Dipturus			Dipturus linteus 	(Fries, 1838)	valkorausku		
		Dipturus			Dipturus nidarosiensis 	(Storm, 1881)	mustavatsarausku		
		Dipturus			Dipturus oxyrinchus 	(Linnaeus, 1758)	vannasrausku		
		Leucoraja	Malm, 1877		Leucoraja circularis 	(Couch, 1838)	hietarausku		
		Leucoraja			Leucoraja fullonica 	(Linnaeus, 1758)	käkirausku		
		Leucoraja			Leucoraja melitensis 	(Clark, 1926)	maltanrausku		Maltese ray
		Leucoraja			Leucoraja naevus 	(Müller & Henle, 1841)	marmorirausku		
		Malacoraja	Stehmann, 1970		Malacoraja kreffti 	(Stehmann, 1977)	herttarausku		
		Malacoraja			Malacoraja spinacidermis 	(Barnard, 1923)	tummavatsarausku		abruptly dark below
		Neoraja	McEachran & Compagno, 1982		Neoraja caerulea 	(Stehmann, 1976)	sinirausku		blue ray
		Neoraja			Neoraja iberica 	Stehmann, Séret, Costa & Baro, 2008	iberianrausku		
		Raja	Linnaeus, 1758		Raja africana 	Capapé, 1977	afrikanrausku		African ray
		Raja			Raja asterias 	Delaroche, 1809	tähtirausku		
		Raja			Raja brachyura 	Lafont, 1873	pilkkurausku		
		Raja			Raja clavata 	Linnaeus, 1758	okarausku		
		Raja			Raja maderensis	Lowe, 1838	madeiranrausku		
		Raja			Raja microocellata 	Montagu, 1818	palettirausku		
