TaxonID	TaxonRank	ScientificName	Author	SpeciesID	SpeciesScientificName	SpeciesAuthor	VernacularFI	AlternativeFI	VernacularEN
MX.53295		Alosa		MX.53257	Alosa fallax 	(Lacépède, 1803)	täpläsilli		Twaite shad
MX.53295		Alosa			Alosa immaculata 	Bennett, 1835	sarmatiansilli		
MX.53295		Alosa			Alosa kessleri 	(Grimm, 1887)	mustaselkäsilli		Blackback shad
MX.53295		Alosa			Alosa macedonica 	(Vinciguerra, 1921)	makedoniansilli		
MX.53295		Alosa			Alosa maeotica 	(Grimm, 1901)	asovansilli		
MX.53295		Alosa			Alosa saposchnikowii 	(Grimm, 1887)	suurisilmäsilli		
MX.53295		Alosa			Alosa sphaerocephala 	(Berg, 1913)	pyöröpääsilli		
MX.53295		Alosa			Alosa tanaica 	(Grimm, 1901)	mustanmerensilli	asovansilli	
MX.53295		Alosa			Alosa vistonica 	Economidis & Sinis, 1986	vistonisinsilli		
MX.53295		Alosa			Alosa volgensis 	(Berg, 1913)	volgansilli		
	suku	Clupeonella	Kessler, 1877				kilkat		
		Clupeonella			Clupeonella abrau 	(Malyatskii, 1930)	abraunkilka		
		Clupeonella			Clupeonella caspia 	(Svetovidov, 1941)	kaspiankilka		
		Clupeonella			Clupeonella cultriventris 	(Nordmann, 1840)	asovankilka	asovanhaili	
		Clupeonella			Clupeonella engrauliformis 	(Borodin, 1904)	sardellikilka		
		Clupeonella			Clupeonella grimmi 	Kessler, 1877	veitsikilka		
		Clupeonella			Clupeonella tscharchalensis 	(Borodin, 1896)	volgankilka		
		Herklotsichthys	Whitley, 1951		Herklotsichthys punctatus 	(Rüppell, 1837)	täpläselkäsilli		
		Sardina	Antipa, 1904		Sardina pilchardus 	(Walbaum, 1792)	sardiini		
		Sardinella	Valenciennes, 1847		Sardinella aurita 	Valenciennes, 1847	kultasardiini		
		Sardinella			Sardinella maderensis 	(Lowe, 1838)	pilkkapyrstösardiini		
MX.53104		Sprattus	Girgensohn, 1846	MX.53105	Sprattus sprattus 	(Linnaeus, 1758)	kilohaili		
MX.5086406	heimo 	Dussumieriidae							
		Dussumieria	Valenciennes, 1847		Dussumieria acuta 	Valenciennes, 1847	kirjopyörösilli	kirjosardiini	Rainbow sardine
		Dussumieria			Dussumieria elopsoides 	Bleeker, 1849	soukkapyörösilli	soukkasardiini	Slender rainbow sardine
		Etrumeus	Bleeker, 1853		Etrumeus sadina	(DeKay, 1842)	pyörösilli		
MX.53107	heimo 	Engraulidae							
MX.53108		Engraulis	Cuvier, 1816	MX.53296	Engraulis encrasicolus 	(Linnaeus, 1758)	sardelli		
MX.53108		Engraulis			Engraulis albidus 	Borsa, Collet & Durand,, 2004	valkosardelli		
MX.5086410	heimo 	Alepocephalidae							
		Alepocephalus	Risso, 1820		Alepocephalus agassizii 	Goode & Bean, 1883	mustasilopää		
		Alepocephalus			Alepocephalus australis 	Barnard, 1923	tropiikinsilopää		
		Alepocephalus			Alepocephalus bairdii 	Goode & Bean, 1879	atlantinsilopää	atlantinsilokuore	
		Alepocephalus			Alepocephalus productus 	Gill, 1883	mokkasilopää		
		Alepocephalus			Alepocephalus rostratus 	Risso, 1820	purppurasilopää		
		Asquamiceps	Zugmayer, 1911		Asquamiceps caeruleus 	Markle, 1980	sinisilopää		
		Asquamiceps			Asquamiceps velaris 	Zugmayer, 1911	ruskosilopää	viuhkasilokuore	fanfin smooth-head
		Bajacalifornia	Townsend & Nichols, 1925		Bajacalifornia megalops 	(Lütken, 1898)	isosilmäsilopää		bigeye smoot-head
		Bathylaco	Goode & Bean, 1896		Bathylaco nigricans 	Goode & Bean, 1896	kitasilopää		
		Bathytroctes	Günther, 1878		Bathytroctes macrognathus 	Nielsen & Larsen, 1968	etelänsilopää		
		Bathytroctes			Bathytroctes macrolepis 	Günther, 1887	isosuomusilopää		
		Bathytroctes			Bathytroctes michaelsarsi 	Koefoed, 1927	ruostesilopää		
		Bathytroctes			Bathytroctes microlepis 	Günther, 1878	pienisuomusilopää		
		Conocara	Goode & Bean, 1896		Conocara fiolenti 	Sazonov & Ivanov, 1979	soukkasilopää		
		Conocara			Conocara macropterum 	(Vaillant, 1888)	pitkäeväsilopää		Longfin smooth-head
		Conocara			Conocara microlepis 	(Lloyd, 1909)	suipposilopää		
		Conocara			Conocara murrayi 	(Koefoed, 1927)	tuppisilopää		
		Conocara			Conocara salmoneum 	(Gill & Townsend, 1897)	kastanjasilopää		Salmon smooth-head
		Conocara			Conocara werneri 	Nybelin, 1947	paksusilopää		
		Einara	Parr, 1951		Einara edentula 	(Alcock, 1892)	kobolttisilopää		
		Einara			Einara macrolepis 	(Koefoed, 1927)	tummasilopää		loosescale smooth-head
		Herwigia	Nielsen, 1972		Herwigia kreffti 	(Nielsen & Larsen, 1970)	pyörösilopää		
		Leptoderma	Vaillant, 1886		Leptoderma macrops 	Vaillant, 1886	puikkosilopää		
		Leptochilichthys	Garman, 1899		Leptochilichthys agassizii 	Garman, 1889	nuijasilopää		
		Mirognathus	Parr, 1951		Mirognathus normani 	Parr, 1951	sinikeltasilopää		
		Narcetes			Narcetes stomias 	(Gilbert, 1890)	samettisilopää		Blackhead salmon
		Photostylus	Beebe, 1933		Photostylus pycnopterus 	Beebe, 1933	tähtisilopää		
		Rinoctes	Parr, 1952		Rinoctes nasutus 	(Koefoed, 1927)	olkisilopää		
		Rouleina	Jordan, 1923		Rouleina attrita 	(Vaillant, 1888)	pehmosilopää		Softskin smooth-head
		Rouleina			Rouleina maderensis 	Maul, 1948	madeiransilopää		Madeiran smooth-head
		Talismania	Goode & Bean, 1896		Talismania antillarum 	(Goode & Bean, 1896)	pikkusilopää		
		Talismania			Talismania homoptera 	(Vaillant, 1888)	rihmasilopää		
		Talismania			Talismania mekistonema 	Sulak, 1975	ruskorihmasilopää		
		Xenodermichthys	Günther, 1878		Xenodermichthys copei 	(Gill, 1884)	tylppäsilopää		
MX.5086411	heimo 	Platytroctidae							
		Barbantus	Parr, 1951		Barbantus curvifrons 	(Roule & Angel, 1931)	purppuratuikkija		Palebelly searsid
		Holtbyrnia	Parr, 1937		Holtbyrnia macrops 	Maul, 1957	isosilmätuikkija		
		Maulisia	Parr, 1960		Maulisia mauli 	Parr, 1960	tummatuikkija		
		Normichthys	Parr, 1951		Normichthys operosus 	Parr, 1951	kolotuikkija		multipore searsid
		Platytroctes	Günther, 1878		Platytroctes apus 	Günther, 1878	mustaraitatuikkija	velttovalokuore	
		Platytroctes			Platytroctes mirus 	(Lloyd, 1909)	lehtituikkija		
		Sagamichthys	Parr, 1953		Sagamichthys schnakenbecki 	(Krefft, 1953)	soukkatuikkija		
		Searsia	Parr, 1937		Searsia koefoedi 	Parr, 1937	pikkutuikkija		
MX.53170	heimo 	Catostomidae							
MX.53171		Catostomus	Lesueur, 1817	MX.53172	Catostomus catostomus 	(Forster, 1773)	imukarppi		
		Ictiobus	Rafinesque, 1820				puhvelikarpit		
		Ictiobus			Ictiobus bubalus 	(Rafinesque, 1818)	puhvelikarppi		
		Ictiobus			Ictiobus cyprinellus 	(Valenciennes, 1844)	isopuhvelikarppi		
		Ictiobus			Ictiobus niger 	(Rafinesque, 1819)	mustapuhvelikarppi		
MX.53173	heimo	Cobitidae							
MX.53330	suku	Cobitis	Linnaeus, 1758				piikkinuoliaiset		
MX.53330		Cobitis			Cobitis arachthosensis 	Economidis & Nalbant, 1997	artanpiikkinuoliainen		
MX.53330		Cobitis			Cobitis bilineata 	Canestrini, 1866	italianpiikkinuoliainen		
MX.53330		Cobitis			Cobitis calderoni 	B?cescu, 1962	ebronpiikkinuoliainen		
MX.53330		Cobitis			Cobitis dalmatina 	Karaman, 1928	dalmatianpiikkinuoliainen		
MX.53330		Cobitis			Cobitis elongata 	Heckel & Kner, 1858	serbianpiikkinuoliainen		
MX.53330		Cobitis			Cobitis elongatoides 	B?cescu & Maier, 1969	tonavanpiikkinuoliainen		
MX.53330		Cobitis			Cobitis gladkovi 	Vasilev & Vasileva, 2008	idänpiikkinuoliainen		
MX.53330		Cobitis			Cobitis hellenica 	Economidis & Nalbant, 1997	epeiroksenpiikkinuoliainen		
MX.53330		Cobitis			Cobitis illyrica 	Freyhof & Stelbrink, 2007	imotskinpiikkinuoliainen		
MX.53330		Cobitis			Cobitis jadovaensis 	Mustafic & Mrakovcic, 2008	jadovanpiikkinuoliainen		
MX.53330		Cobitis			Cobitis melanoleuca 	Nichols, 1925	siperianpiikkinuoliainen		
MX.53330		Cobitis			Cobitis meridionalis 	Karaman, 1924	prespanpiikkinuoliainen		
MX.53330		Cobitis			Cobitis narentana 	Karaman, 1928	neretvanpiikkinuoliainen		
MX.53330		Cobitis			Cobitis ohridana 	Karaman, 1928	albanianpiikkinuoliainen		
MX.53330		Cobitis			Cobitis paludica 	(de Buen, 1930)	iberianpiikkinuoliainen		
MX.53330		Cobitis			Cobitis pontica 	Vasilieva & Vasiliev, 2006	marmaranpiikkinuoliainen		
MX.53330		Cobitis			Cobitis puncticulata 	Erk'akan, Atalay-Ekmekçi & Nalbant, 1998	evroksenpiikkinuoliainen		
MX.53330		Cobitis			Cobitis punctilineata 	Economidis & Nalbant, 1997	strymoninpiikkinuoliainen		
MX.53330		Cobitis			Cobitis stephanidisi 	Economidis & Nalbant, 1997	lähdepiikkinuoliainen		
MX.53330		Cobitis			Cobitis strumicae 	Karaman, 1955	bulgarianpiikkinuoliainen		
MX.53330		Cobitis		MX.53262	Cobitis taenia 	Linnaeus, 1758	rantanuoliainen		
MX.53330		Cobitis			Cobitis tanaitica 	B?cescu & Maier, 1969	asovanpiikkinuoliainen		
MX.53330		Cobitis			Cobitis taurica 	Vasilieva, Vasiliev, Janko, Ráb & Rábová, 2005	kriminpiikkinuoliainen		
MX.53330		Cobitis			Cobitis trichonica 	Stephanidis, 1974	akhelooksenpiikkinuoliainen		
MX.53330		Cobitis			Cobitis turcica 	Hankó, 1925	turkinpiikkinuoliainen		
MX.53330		Cobitis			Cobitis vardarensis 	Karaman, 1928	thessalianpiikkinuoliainen		
MX.53330		Cobitis			Cobitis vettonica 	Doadrio & Perdices, 1997	alagoninpiikkinuoliainen		
MX.53330		Cobitis			Cobitis zanandreai 	Cavicchioli, 1965	napolinpiikkinuoliainen		
		Misgurnus	Lacepède, 1803		Misgurnus anguillicaudatus 	(Cantor, 1842)	aasianmutakala		
		Misgurnus			Misgurnus bipartitus	Sauvage, 1874	marmorimutakala		
		Misgurnus			Misgurnus fossilis 	(Linnaeus, 1758)	mutakala		
		Misgurnus			Misgurnus dabryanus 	Dabry de Thiersant, 1872	taiwaninmutakala		
		Sabanejewia	Vladykov, 1929		Sabanejewia balcanica 	(Karaman, 1922)	balkaninpiikkinuoliainen		
		Sabanejewia			Sabanejewia baltica 	Witkowski, 1994	ukrainanpiikkinuoliainen		
		Sabanejewia			Sabanejewia bulgarica 	(Drensky, 1928)	unkarinpiikkinuoliainen		
		Sabanejewia			Sabanejewia caucasica 	(Berg, 1906)	kaukasianpiikkinuoliainen		
		Sabanejewia			Sabanejewia kubanica 	Vasilieva & Vasiliev, 1988	kubaninpiikkinuoliainen		
		Sabanejewia			Sabanejewia larvata 	(De Filippi, 1859)	padanianpiikkinuoliainen	italianpiikkinuoliainen	
		Sabanejewia			Sabanejewia romanica 	(B?cescu, 1943)	romanianpiikkinuoliainen		
		Sabanejewia			Sabanejewia vallachica 	Nalbant, 1957	karpaattienpiikkinuoliainen		
MX.206824	heimo	Nemacheilidae							
MX.206825		Barbatula	Linck, 1790	MX.53308	Barbatula barbatula 	(Linnaeus, 1758)	kivennuoliainen		
MX.206825		Barbatula			Barbatula quignardi 	(B?cescu-Mester, 1967)	pyreneidennuoliainen		
MX.206825		Barbatula			Barbatula sturanyi 	(Steindachner, 1892)	drininnuoliainen		
MX.206825		Barbatula			Barbatula vardarensis 	(Karaman, 1928)	makedoniannuoliainen		
MX.206825		Barbatula			Barbatula zetensis 	(Šori?, 2001)	montenegronnuoliainen		
		Oxynoemacheilus	Banarescu & Nalbant, 196		Oxynoemacheilus bureschi 	(Drensky, 1928)	balkaninnuoliainen		
		Oxynoemacheilus			Oxynoemacheilus merga 	(Krynicki,, 1840)	kaukasiannuoliainen	pippurinuoliainen	
		Oxynoemacheilus			Oxynoemacheilus pindus 	(Economidis, 2005)	semaninnuoliainen		
		Oxynoemacheilus			Oxynoemacheilus theophilii 	Stoumboudi, Kottelat & Barbieri, 2006	turkinnuoliainen		
MX.5016661	heimo	Cyprinidae							
	alaheimo	Barbinae					barbit		
		Aulopyge	Heckel, 1841		Aulopyge huegelii 	Heckel, 1842	dalmatianbarbi	dalmatiantörö	
	suku	Barbus	Cuvier & Cloquet, 1816				barbit		
		Barbus			Barbus balcanicus 	Kotlík, Tsigenopoulos, Ráb & Berrebi, 2002	balkaninbarbi		
		Barbus			Barbus barbus 	(Linnaeus, 17	barbi		
		Barbus			Barbus bergi 	Chichkoff, 1935	bulgarianbarbi		
		Barbus			Barbus caninus 	Bonaparte, 1839	padanianbarbi		
		Barbus			Barbus carpathicus 	Kotlík, Tsigenopoulos, Ráb & Berrebi, 2002	karpaattienbarbi		
		Barbus			Barbus ciscaucasicus 	Kessler, 1877	kaukasianbarbi		
		Barbus			Barbus cyclolepis 	Heckel, 1837	traakianbarbi		
		Barbus			Barbus euboicus 	Stephanidis, 1950	euboianbarbi		
		Barbus			Barbus haasi 	Mertens, 1924	ebronbarbi		
		Barbus			Barbus kubanicus 	Berg, 1913	kubaninbarbi		
		Barbus			Barbus macedonicus 	Karaman, 1928	makedonianbarbi		
		Barbus			Barbus meridionalis 	Risso, 1827	rhônenbarbi		
		Barbus			Barbus peloponnesius 	Valenciennes, 1842	kreikanbarbi		
		Barbus			Barbus pergamonensis 	Karaman, 1971	turkinbarbi		
		Barbus			Barbus petenyi 	Heckel, 1852	romanianbarbi		
		Barbus			Barbus plebejus 	Bonaparte, 1839	italianbarbi		
		Barbus			Barbus prespensis 	Karaman, 1924	prespanbarbi		
		Barbus			Barbus rebeli 	Koller, 1926	länsibalkaninbarbi		
		Barbus			Barbus sperchiensis 	Stephanidis, 1950	pinioksenbarbi		
		Barbus			Barbus strumicae 	Karaman, 1955	itäbalkaninbarbi		
		Barbus			Barbus tauricus 	Kessler, 1877	kriminbarbi		
		Barbus			Barbus tyberinus 	Bonaparte, 1839	tiberinbarbi		
		Barbus			Barbus waleckii 	Rolik, 1970	puolanbarbi		
	suku	Luciobarbus	Heckel, 1843				virtabarbit		
		Luciobarbus			Luciobarbus albanicus 	(Steindachner, 1870)	epeiroksenvirtabarbi		
		Luciobarbus			Luciobarbus bocagei 	(Steindachner, 1865)	iberianvirtabarbi		
		Luciobarbus			Luciobarbus brachycephalus 	(Kessler, 1872)	kaspianvirtabarbi		
		Luciobarbus			Luciobarbus capito 	(Güldenstaedt, 1778)	kaukasianvirtabarbi		
		Luciobarbus			Luciobarbus comizo 	(Steindachner, 1865)	espanjanvirtabarbi		
		Luciobarbus			Luciobarbus graecus 	(Steindachner, 1896)	kreikanvirtabarbi		
		Luciobarbus			Luciobarbus graellsii 	(Steindachner, 1866)	ebronvirtabarbi		
		Luciobarbus			Luciobarbus guiraonis 	(Steindachner, 1866)	valencianvirtabarbi		
		Luciobarbus			Luciobarbus microcephalus 	(Almaça, 1967)	guadiananvirtabarbi		
		Luciobarbus			Luciobarbus sclateri 	(Günther, 1868)	andalusianvirtabarbi		
		Luciobarbus			Luciobarbus steindachneri 	(Almaça, 1967)	tajonvirtabarbi		
	alaheimo	Cyprininae					karpit		
MX.53167	suku	Carassius	Jarocki, 1822				ruutanat		
MX.53167		Carassius		MX.5010842	Carassius auratus 	(Linnaeus, 1758)	kultakala		
MX.53167		Carassius		MX.53168	Carassius carassius 	(Linnaeus, 1758)	ruutana		
MX.53167		Carassius		MX.52996	Carassius gibelio 	(Bloch, 1782)	hopearuutana		
MX.53167		Carassius			Carassius langsdorfii 	Temminck & Schlegel, 1846	japaninruutana		
MX.53169		Cyprinus	Linnaeus, 1758	MX.52997	Cyprinus carpio 	Linnaeus, 1758	karppi		
MX.5016664	heimo	Xenocyprididae							
MX.53329		Ctenopharyngodon	Steindachner, 1866	MX.53152	Ctenopharyngodon idella 	(Valenciennes, 1844)	ruohokarppi		
		Mylopharyngodon	Peters, 1881		Mylopharyngodon piceus 	(Richardson, 1846)	musta-amuri		
MX.5016659	heimo	Tincidae							
MX.53154		Tinca	Cuvier, 1816	MX.53155	Tinca tinca 	(Linnaeus, 1758)	suutari		
MX.5077707	heimo	Acheilognathidae							
MX.5077708		Rhodeus	Agassiz, 1832	MX.5077709	Rhodeus amarus 	(Bloch, 1782)	katkerokala		
MX.5077708		Rhodeus			Rhodeus colchicus	Bogutskaya & Komlev, 2001	kaukasiankatkerokala		
MX.5077708		Rhodeus			Rhodeus meridionalis 	Karaman, 1924	balkaninkatkerokala		
MX.5077708		Rhodeus			Rhodeus ocellatus	(Kner, 1866)	täpläkatkerokala		
MX.5077708		Rhodeus			Rhodeus sericeus 	(Pallas, 1776)	amurinkatkerokala		
MX.5016663	heimo	Gobionidae							
MX.53156		Gobio	Cuvier, 1816		Gobio alverniae 	Kottelat & Persat, 2005	ranskantörö		
MX.53156		Gobio			Gobio brevicirris 	Fowler, 1976	donintörö		
MX.53156		Gobio			Gobio bulgaricus 	Drensky, 1926    	bulgariantörö		
MX.53156		Gobio			Gobio carpathicus 	Vladykov, 1925	karpaattientörö		
MX.53156		Gobio			Gobio caucasicus	Kamensky, 1901	georgiantörö		
MX.53156		Gobio			Gobio delyamurei 	Freyhof & Naseka, 2005	sevastopolintörö		
MX.53156		Gobio			Gobio feraeensis 	Stephanidis, 1973	thessaliantörö		
MX.53156		Gobio		MX.53157	Gobio gobio 	(Linnaeus, 1758)	törö		
MX.53156		Gobio			Gobio holurus 	Fowler, 1976	kaukasiantörö		
MX.53156		Gobio			Gobio kovatschevi 	Chichkoff, 1937	varnantörö		
MX.53156		Gobio			Gobio krymensis 	B?n?rescu & Nalbant, 1973	krimintörö		
MX.53156		Gobio			Gobio kubanicus 	Vasilieva, 2004	kubanintörö		
MX.53156		Gobio			Gobio lozanoi 	Doadrio & Madeira, 2004	pyreneidentörö		
MX.53156		Gobio			Gobio obtusirostris 	Valenciennes, 1842	tonavantörö		
MX.53156		Gobio			Gobio occitaniae 	Kottelat & Persat, 2005	oksitaniantörö		
MX.53156		Gobio			Gobio ohridanus 	Karaman, 1924	ohridintörö		
MX.53156		Gobio			Gobio sarmaticus 	Berg, 1949	ukrainantörö		
MX.53156		Gobio			Gobio skadarensis 	Karaman, 1936	skutarintörö		
MX.53156		Gobio			Gobio volgensis 	Vasileva, Mendel, Vasilev, Lusk, Kuskova, 2008	volgantörö		
MX.206840		Pseudorasbora	Bleeker, 1859	MX.206841	Pseudorasbora parva 	(Temminck & Schlegel, 1846)	saharasbora		
MX.206675		Romanogobio	B?n?rescu, 1961	MX.206676	Romanogobio albipinnatus 	(Lukasch, 1933)	valkoevätörö		
MX.206675		Romanogobio			Romanogobio antipai 	(B?n?rescu, 1953)	romaniantörö		
MX.206675		Romanogobio			Romanogobio banarescui 	(Dimovski & Grupche, 1974)	vardarintörö	makedoniantörö	
MX.206675		Romanogobio			Romanogobio belingi 	(Slastenenko, 1934)	dneprintörö		
MX.206675		Romanogobio			Romanogobio benacensis 	(Pollini, 1816)	italiantörö		
MX.206675		Romanogobio			Romanogobio ciscaucasicus 	(Berg, 1932)	dagestanintörö	kaukasiantörö	
MX.206675		Romanogobio			Romanogobio elimeius 	(Kattoulas, Stephanidis & Economidis, 1973)	kreikantörö		
MX.206675		Romanogobio			Romanogobio kesslerii 	(Dybowski, 1862)	hietatörö		
MX.206675		Romanogobio			Romanogobio parvus 	Naseka & Freyhof, 2004	kubaninpikkutörö		
MX.206675		Romanogobio			Romanogobio pentatrichus 	(Naseka & Bogutskaya, 1998)	viisiruototörö		
MX.206675		Romanogobio			Romanogobio tanaiticus 	(Naseka, 2001)	tanaiksentörö		
MX.206675		Romanogobio			Romanogobio uranoscopus 	(Agassiz, 1828)	tähystäjätörö		
MX.206675		Romanogobio			Romanogobio vladykovi 	(Fang, 1943)	kivitörö		
MX.5016660	heimo	Leuciscidae							
MX.53161		Abramis	Cuvier, 1816	MX.53162	Abramis brama 	(Linnaeus, 1758)	lahna		
	suku	Achondrostoma	Robalo et al., 2007				iberiansärjet		
		Achondrostoma			Achondrostoma arcasii 	(Steindachner, 1866)	iberiansärki		
		Achondrostoma			Achondrostoma occidentale 	(Robalo, Almada, Sousa Santos, Moreira & Doadrio, 2005)	lissaboninsärki		
		Achondrostoma			Achondrostoma oligolepis 	(Robalo, Doadrio, Almada & Kottelat, 2005)	portugalinsärki		
		Achondrostoma			Achondrostoma salmantinum	Doadrio & Elvira, 2007	salamancansärki		
	suku	Alburnoides	Jeitteles, 1861				punasalakat		
		Alburnoides			Alburnoides bipunctatus 	(Bloch,, 1782)	punasalakka		
		Alburnoides			Alburnoides devolli 	Bogutskaya, Zupancic & Naseka, 2010	devollinpunasalakka		
		Alburnoides			Alburnoides economoui	Barbieri, Vuki?, Šanda & Zogaris, 2017	sperkheioksenpunasalakka		
		Alburnoides			Alburnoides fangfangae 	Bogutskaya, Zupancic & Naseka, 2010	osuminpunasalakka		
		Alburnoides			Alburnoides eichwaldii 	(De Filippi, 1863)	kuranpunasalakka		
		Alburnoides			Alburnoides fasciatus 	(Nordmann, 1840)	georgianpunasalakka		
		Alburnoides			Alburnoides gmelini 	Bogutskaya & Coad, 2009	dagestaninpunasalakka		
		Alburnoides			Alburnoides kubanicus 	Berg, 1932	kubaninpunasalakka		
		Alburnoides			Alburnoides maculatus 	(Kessler, 1859)	taurianpunasalakka		
		Alburnoides			Alburnoides ohridanus 	(Karaman, 1928)	ohridinpunasalakka		
		Alburnoides			Alburnoides prespensis 	(Karaman, 1924)	prespanpunasalakka		
		Alburnoides			Alburnoides rossicus 	Berg, 1924	venäjänpunasalakka		
		Alburnoides			Alburnoides strymonicus 	Chichkoff, 1940	strumanpunasalakka		
		Alburnoides			Alburnoides tabarestanensis	Mousavi-Sabet, Anvarifar & Azizi, 2015	tajaninpunasalakka		
		Alburnoides			Alburnoides thessalicus 	Stephanidis, 1950	makedonianpunasalakka		
MX.53158		Alburnus	Rafinesque, 1820		Alburnus albidus 	(Costa, 1838)	italiansalakka		
MX.53158		Alburnus		MX.53159	Alburnus alburnus 	(Linnaeus, 1758)	salakka		
MX.53158		Alburnus			Alburnus arborella 	(Bonaparte, 1841)	padaniansalakka		
MX.53158		Alburnus			Alburnus belvica 	Karaman, 1924	prespansalakka		
MX.53158		Alburnus			Alburnus chalcoides 	(Gueldenstaedt, 1772)	kaspiansalakka	tonavansalakka	
MX.53158		Alburnus			Alburnus hohenackeri 	Kessler, 1877	kumansalakka		
MX.53158		Alburnus			Alburnus istanbulensis 	Battalgil, 1941	marmaransalakka		
MX.53158		Alburnus			Alburnus leobergi 	Freyhof & Kottelat, 2007	asovansalakka		
MX.53158		Alburnus			Alburnus macedonicus 	Karaman, 1928	doiraninsalakka		
MX.53158		Alburnus			Alburnus mandrensis 	Drensky, 1943	mandransalakka		
MX.53158		Alburnus			Alburnus maximus 	(Fatio, 1882)	luganonsalakka		
MX.53158		Alburnus			Alburnus mento 	(Heckel, 1836)	alppisalakka		
MX.53158		Alburnus			Alburnus mentoides 	Kessler, 1858	kriminsalakka		
MX.53158		Alburnus			Alburnus neretvae 	Buj, Sanda & Perea, 2010	neretvansalakka		
MX.53158		Alburnus			Alburnus sarmaticus 	Freyhof & Kottelat, 2007	sarmatiansalakka		
MX.53158		Alburnus			Alburnus schischkovi 	Drensky, 1943	velekansalakka		
MX.53158		Alburnus			Alburnus scoranza 	Bonaparte, 1845	skutarinsalakka		
MX.53158		Alburnus			Alburnus thessalicus 	Stephanidis, 1950	thessaliansalakka		
MX.53158		Alburnus			Alburnus vistonicus 	Freyhof & Kottelat, 2007	vistonisinsalakka		
MX.53158		Alburnus			Alburnus volviticus 	Freyhof & Kottelat, 2007	volvinsalakka		
		Anaecypris	Collares-Pereira, 1983		Anaecypris hispanica 	(Steindachner, 1866)	espanjanmutu		
MX.212077		Ballerus	Heckel, 1843	MX.53261	Ballerus ballerus 	(Linnaeus, 1758)	sulkava		
MX.212077		Ballerus			Ballerus sapa 	(Pallas, 1814)	sapa		
MX.53160		Blicca	Heckel, 1843	MX.53276	Blicca bjoerkna 	(Linnaeus, 1758)	pasuri		
MX.5077705	suku	Chondrostoma	Agassiz, 1832				nokkasärjet		
MX.5077705		Chondrostoma			Chondrostoma angorense	Elvira, 1986	anatoliannokkasärki		
MX.5077705		Chondrostoma			Chondrostoma beysehirense 	Bogutskaya, 1997	beysehirinnokkasärki		
MX.5077705		Chondrostoma			Chondrostoma colchicum 	Derjugin, 1899	kaukasiannokkasärki		
MX.5077705		Chondrostoma			Chondrostoma cyri 	Kessler, 1877	kurannokkasärki		
MX.5077705		Chondrostoma			Chondrostoma holmwoodii 	(Boulenger, 1896)	izmirinnokkasärki		
MX.5077705		Chondrostoma			Chondrostoma kinzelbachi 	Krupp, 1985	syyriannokkasärki		
MX.5077705		Chondrostoma			Chondrostoma meandrense 	Elvira, 1986	menderesinnokkasärki		
MX.5077705		Chondrostoma			Chondrostoma orientale 	Blanco and Banarescu, 1982	korinnokkasärki		
MX.5077705		Chondrostoma			Chondrostoma regium 	(Heckel, 1843)	mesopotamiannokkasärki		
MX.5077705		Chondrostoma			Chondrostoma knerii 	Heckel, 1843	dalmatiannokkasärki		
MX.5077705		Chondrostoma			Chondrostoma kubanicum 	Berg, 1914	kubaninnokkasärki		
MX.5077705		Chondrostoma		MX.5077706	Chondrostoma nasus 	(Linnaeus, 1758)	nokkasärki		
MX.5077705		Chondrostoma			Chondrostoma oxyrhynchum	Kessler, 1877	kaspiannokkasärki		
MX.5077705		Chondrostoma			Chondrostoma phoxinus 	Heckel, 1843	bosniannokkäsärki		
MX.5077705		Chondrostoma			Chondrostoma prespense 	Karaman, 1924	prespannokkasärki		
MX.5077705		Chondrostoma			Chondrostoma scodrense 	Elvira, 1987	skutarinnokkasärki		
MX.5077705		Chondrostoma			Chondrostoma soetta 	Bonaparte, 1840	padaniannokkasärki	italiannokkasärki	
MX.5077705		Chondrostoma			Chondrostoma vardarense 	Karaman, 1928	balkaninnokkasärki		
MX.5077705		Chondrostoma			Chondrostoma variabile 	Yakovlev, 1870	volgannokkasärki		
	suku	Delminichthys	Freyhof et al., 2008						
		Delminichthys			Delminichthys adspersus 	(Heckel, 1843)	täplämutu		
		Delminichthys			Delminichthys ghetaldii 	(Steindachner, 1882)	messinkimutu	pistemutu	
		Delminichthys			Delminichthys jadovensis 	(Zupan?i? & Bogutskaya, 2002)	marmorimutu		
		Delminichthys			Delminichthys krbavensis 	(Zupan?i? & Bogutskaya, 2002)	kiiltomutu		
MX.206837		Hypophthalmichthys	Bleeker, 1860		Hypophthalmichthys molitrix 	(Valenciennes, 1844)	hopeapaksuotsa		
MX.206837		Hypophthalmichthys			Hypophthalmichthys nobilis 	(Richardson, 1845)	marmoripaksuotsa		
		Iberochondrostoma	Robalo et al., 2007		Iberochondrostoma almacai 	(Coelho Mesquita & Collares-Pereira, 2005)	algarvennokkasärki		
		Iberochondrostoma			Iberochondrostoma lemmingii 	(Steindachner, 1866)	iberiannokkasärki	portugalinsärki	
		Iberochondrostoma			Iberochondrostoma lusitanicum 	(Collares-Pereira, 1980)	portugalinnokkasärki		
		Iberochondrostoma			Iberochondrostoma oretanum 	(Doadrio & Carmona, 2003)	jandulannokkasärki		
MX.206823		Squalius	Bonaparte, 1837		Squalius alburnoides 	(Steindachner, 1866)	iberiansalakkaturpa		
