TaxonID	TaxonRank	ScientificName	Author	ParentTaxonID	ParentScientificName	VernacularFI	AlternativeFI	ColloquialVernacularNameFI		#NOTES
		Agathis ovata	(C.Moore ex Vieill.) Warb.		Agathis	puikokauri				
	suku	Amentotaxus	Pilg.	MX.37829	Taxaceae	norkkokuuset				
		Amentotaxus argotaenia	(Hance) Pilg.		Amentotaxus	kiinannorkkokuusi				
		Araucaria angustifolia	(Bertol.) Steud.	MX.5008996	Araucaria	parananaraukaria	brasilianaraukaria			
		Araucaria bernieri	J.Buchholz	MX.5008996	Araucaria	pylväsaraukaria				
		Araucaria humboldtensis	J.Buchholz	MX.5008996	Araucaria	humboldtinaraukaria				
		Araucaria hunsteinii	K.Schum.	MX.5008996	Araucaria	papuanaraukaria				
		Araucaria laubenfelsii	Corbasson	MX.5008996	Araucaria	torniaraukaria				
		Araucaria luxurians	(Brongn. & Gris) de Laub.	MX.5008996	Araucaria	aimoaraukaria				
		Araucaria montana	Brongn. & Gris	MX.5008996	Araucaria	kynttelikköaraukaria				
		Araucaria muelleri	(Carrière) Brongn. & Gris	MX.5008996	Araucaria	venhoaraukaria				
		Araucaria nemorosa	de Laub.	MX.5008996	Araucaria	sulka-araukaria				
		Araucaria rulei	F.Muell.	MX.5008996	Araucaria	kimppuaraukaria				
		Araucaria scopulorum	de Laub.	MX.5008996	Araucaria	kallioaraukaria				
		Araucaria subulata	Vieill.	MX.5008996	Araucaria	neulasaraukaria				
	suku	Athrotaxis	D.Don.	MX.37824	Cupressaceae	tasmaniansypressit				
		Athrotaxis cupressoides	D.Don		Athrotaxis	suomusypressi				
		Athrotaxis selaginoides	D.Don		Athrotaxis	liekosypressi				
	suku	Austrocedrus	Florin & Boutelje	MX.37824	Cupressaceae	chilentuoksuseetrit				
		Austrocedrus chilensis	(D.Don) Pic.Serm. & Bizzarri	MX.37824	Cupressaceae	chilentuoksuseetri				
	suku	Austrotaxus	Compton	MX.37829	Taxaceae	uurnakuuset	etelänmarjakuuset			
		Austrotaxus spicata	Compton		Austrotaxus	uurnakuusi	etelänmarjakuusi			
		Callitris neocaledonica	Dümmer	MX.5023280	Callitris	kruunusädesypressi				
		Callitris pancheri	(Carrière) Byng	MX.5023280	Callitris	kynttelikkösädesypressi				
		Callitris rhomboidea	R.Br. ex Rich.	MX.5023280	Callitris	rannikkosädesypressi				
		Calocedrus formosana	(Florin) Florin	MX.5023281	Calocedrus	taiwanintuoksuseetri	tuoksusetri			
	suku	Cathaya	Chun & Kuang	MX.37803	Pinaceae	tupsukuuset				
		Cathaya argyrophylla	Chun & Kuang		Cathaya	tupsukuusi				
		Cedrus atlantica	(Endl.) Manetti ex Carrière	MX.5023506	Cedrus	atlasseetri				
		Cephalotaxus fortunei	Hook.	MX.5078488	Cephalotaxus	kiinanrypälekuusi				
		Cupressus cashmeriana	Royle ex Carrière	MX.5009282	Cupressus	kashmirinsypressi				
		Cupressus funebris	Endl.	MX.5009282	Cupressus	kiinansypressi				
	suku	Dacrycarpus	(Endl.) de Laub.	MX.4985902	Podocarpaceae	kyynelkävyt				
		Dacrycarpus dacrydioides	(A.Rich.) de Laub.		Dacrycarpus	maorinkyynelkäpy				
		Dacrycarpus vieillardii	(Parl.) de Laub.		Dacrycarpus	uudenkaledoniankyynelkäpy				
		Dacrydium araucarioides	Brongn. & Gris	MX.5023544	Dacrydium	patukkapihkatippio				
		Dacrydium guillauminii	J. Buchholz	MX.5023544	Dacrydium	pensselipihkatippio				
	suku	Diselma	Hook.f.	MX.37824	Cupressaceae	särmäsypressit				
		Diselma archeri	Hook.f.		Diselma	särmäsypressi				
		Ephedra nevadensis	S.Watson	MX.41850	Ephedra	nevadanefedra				
	suku	Falcatifolium	de Laub.	MX.4985902	Podocarpaceae	podokit				
		Falcatifolium taxoides	(Brongn. & Gris) de Laub.		Falcatifolium	siipipodokki				
	suku	Fitzroya	Lindl.	MX.37824	Cupressaceae	patagoniansypressit				
		Fitzroya cupressoides	(Molina) I.M.Johnst.		Fitzroya	patagoniansypressi				
	suku	Fokienia	A.Henry & H.H.Thomas	MX.37824	Cupressaceae	viuhkasypressit				
		Fokienia hodginsii	(Dunn) A.Henry & H.H.Thomas		Fokienia	viuhkasypressi				
	suku	Glyptostrobus	Endl.	MX.37824	Cupressaceae	deltasypressit				
		Glyptostrobus pensilis	(D.Don) K.Koch		Glyptostrobus	deltasypressi				
	suku	Halocarpus	C.J.Quinn	MX.4985902	Podocarpaceae	kauluskävyt				
		Halocarpus bidwillii	(Hook.f. ex Kirk) C.J.Quinn		Halocarpus	valkokauluskäpy				
		Halocarpus kirkii	(F.Muell. ex Parl.) C.J.Quinn		Halocarpus	isokauluskäpy				
	suku	Hesperocyparis	Bartel & R. A. Price	MX.37824	Cupressaceae	amerikansypressit				
		Hesperocyparis arizonica	(Greene) Bartel		Hesperocyparis 	arizonansypressi				
		Hesperocyparis macnabiana	(A.Murray bis) Bartel		Hesperocyparis	shastansypressi				
		Hesperocyparis pygmaea	(Lemmon) Bartel		Hesperocyparis	mendocinonsypressi				
		Hesperocyparis sargentii	(Jeps.) Bartel		Hesperocyparis	kaliforniansypressi				
		Juniperus bermudiana	L.	MX.37825	Juniperus	bermudankataja				
		Juniperus cedrus	Webb & Berthel.	MX.37825	Juniperus	madeirankataja				
