TaxonID	TaxonRank	ScientificName	Author	ParentTaxonID	ParentScientificName	VernacularFI	AlternativeFI	ColloquialVernacularNameFI		#NOTES
		Ferocactus robustus	(Otto ex Pfeiff.) Britton & Rose	MX.5023220	Ferocactus	parvirautakaktus				
		Ferocactus wislizeni	(Engelm.) Britton & Rose	MX.5023220	Ferocactus	arizonanrautakaktus				
	suku	Fimbristylis	Vahl	MX.40242	Cyperaceae	rassikaislat				
		Fimbristylis dichotoma	(L.) Vahl		Fimbristylis	röyhyrassikaisla				
		Fouquieria columnaris	(Kellogg) Kellogg ex Curran	MX.5023354	Fouquieria	pylväsokotillo				
	suku	Genlisea	A.St.-Hil.	MX.39683	Lentibulariaceae	lumejuuret				
		Genlisea hispidula	Stapf		Genlisea	sänkilumejuuri				
		Goeppertia zebrina	(Sims) Nees	MX.5023436	Goeppertia	kirjomaijakki	seepramaija			
		Haemanthus albiflos	Jacq.	MX.5023029	Haemanthus	valkotupsukki				
	suku	Halodule	Endl.	MX.4986363	Cymodoceaceae	purtonauhat				
		Halodule pinifolia	(Miki) Hartog		Halodule	thaimaanpurtonauha				
	suku	Heliamphora	Benth.	MX.4986578	Sarraceniaceae	lippasuppilot				
		Heliamphora nutans	Benth.		Heliamphora	mesanlippasuppilo				
		Heliconia bihai	(L.) L.	MX.5103361	Heliconia	laikkuhelikonia				
		Heliconia psittacorum	L. f.	MX.5103361	Heliconia	kirjohelikonia				
		Heliotropium longiflorum	(A.DC.) Jaub. & Spach	MX.41875	Heliotropium 	helmiheliotrooppi				
		Heliotropium steudneri	Vatke	MX.41875	Heliotropium 	tiaraheliotrooppi				
		Heliotropium zeylanicum	(Burm.f.) Lam.	MX.41875	Heliotropium 	hyrräheliotrooppi				
		Hypoxis baurii	Baker	MX.5009203	Hypoxis	roosahelotähti				
	suku	Ixora	L.	MX.39276	Rubiaceae	tähtikukat				
		Ixora coccinea	L.		Ixora	korallitähtikukka				
		Juncus acutus	L.	MX.40195	Juncus	pistinvihvilä				
		Lobelia bambuseti	R.E.Fr. & T.C.E.Fr.	MX.39721	Lobelia	aberdarenlobelia				
		Lobelia flaccida	(C.Presl) A.DC.	MX.39721	Lobelia	sirolobelia				
		Lobelia holstii	Engl.	MX.39721	Lobelia	kenianlobelia				
		Lobelia lindblomii	Mildbr.	MX.39721	Lobelia	lamolobelia				
		Lobelia telekii	Schweinf.	MX.39721	Lobelia	turkkilobelia				
		Lobelia tupa	L.	MX.39721	Lobelia	liekkilobelia				
		Magnolia champaca	(L.) Baill. ex Pierre	MX.5023422	Magnolia	tuoksumagnolia	tuoksusampaka			
	suku	Mandevilla	Lindl.	MX.41748	Apocynaceae	maljaköynnökset				
		Mandevilla sanderi	(Hemsl.) Woodson		Mandevilla	ruusumaljaköynnös				
		Maranta leuconeura	É.Morren	MX.5023437	Maranta	paavonnukkumatti				
	suku	Melinis	P.Beauv.	MX.40431	Poaceae	neidonheinät				
		Melinis minutiflora	P.Beauv.		Melinis	rusoneidonheinä				
		Melinis repens	(Willd.) Zizka		Melinis	juolaneidonheinä				
	suku	Monanthes	Haw.	MX.38735	Crassulaceae	mesipaunikot				
		Monanthes laxiflora	(DC.) Bolle		Monanthes	kanarianmesipaunikko				
		Monanthes minima	(Bolle) Christ		Monanthes	pikkumesipaunikko				
		Monanthes pallens	(Webb ex Christ) Christ		Monanthes	kalvasmesipaunikko				
		Monanthes polyphylla	Haw.		Monanthes	palleromesipaunikko				
		Nepenthes vieillardii	Hook.f.	MX.5021004	Nepenthes	uudenkaledoniankannukasvi				
		Ophrys sphegodes	Mill.	MX.40078	Ophrys	hämähäkkiorho				
		Opuntia cochenillifera	(L.) Mill.	MX.5009231	Opuntia	väriopuntia				
		Opuntia humifusa	(Raf.) Raf.	MX.5009231	Opuntia	pikkuopuntia				
		Opuntia microdasys	(Lehm.) Pfeiff.	MX.5009231	Opuntia	jänönopuntia				
		Opuntia stricta	(Haw.) Haw.	MX.5009231	Opuntia	okaopuntia				
		Orchis pallens	L.	MX.40075	Orchis	kermakämmekkä				
		Opuntia tomentosa	Salm-Dyck	MX.5009231	Opuntia	samettiopuntia				
		Oreocereus celsianus	(Jacques & Hérincq) A.Berger ex Riccob.	MX.5023228	Oreocereus	ukinseittikaktus				
		Passiflora foetida	L.	MX.5009236	Passiflora	kampapassio				
		Philodendron quinquenervium	Miq.	MX.5023086	Philodendron	brasilianköynnösvehka				
		Pinguicula cyclosecta	Casper	MX.39684	Pinguicula	meksikonyökönlehti				
		Pinguicula macroceras	Pall. ex Link	MX.39684	Pinguicula	beringinyökönlehti				
	suku	Plumbago	Tourn. ex L.	MX.38290	Plumbaginaceae	lyijykukat				
		Plumbago auriculata	Lam.		Plumbago	sinilyijykukka	kapinlyijykukka			
		Plumbago zeylanica	L.		Plumbago 	vitilyijykukka				
		Pontederia cordata	L.	MX.5023558	Pontederia	herttavesihyasintti				
		Pseuderanthemum maculatum	(G.Lodd.) I.M.Turner	MX.5023003	Pseuderanthemum	punamarmoriini				
		Puya alpestris	(Poepp.) Gay	MX.5023208	Puya	safiiripuija				
	suku	Pyrostegia	C.Presl	MX.4986604	Bignoniaceae	pillitrumpetit	tulitrumpetit			
		Pyrostegia venusta	(Ker Gawl.) Miers		Pyrostegia	tulipillitrumpetti	tulitrumpetti			
	suku	Restio	Rottb.	MX.4986406	Restionaceae	restiot				
		Restio subverticillatus	(Steud.) Mast.		Restio	ruosterestio				
	suku	Roridula	Burm. ex L.	MX.4986579	Roridulaceae	kihopensaat				
		Roridula gorgonias	Planch.		Roridula	nauhakihopensas				
		Scaevola aemula	R.Br.	MX.5023367	Scaevola	siniviuhkakukka				
		Scaevola cylindrica	Schltr. & K.Krause	MX.5023367	Scaevola	uudenkaledonianviuhkakukka				
		Scaevola taccada	(Gaertn.) Roxb.	MX.5023367	Scaevola	meriviuhkakukka				
		Senegalia thomasii	(Harms) Kyal. & Boatwr.	MX.5009169	Senegalia	taitanakaasia				
		Setaria sphacelata	(Schumach.) Stapf & C. E. Hubb. ex Moss	MX.40659	Setaria	afrikanpantaheinä				
	suku	Solandra	Sw.	MX.39539	Solanaceae	maljaliaanit				
		Solandra maxima	(Moc. & Sessé ex Dunal) P. S. Green		Solandra	isomaljaliaani				
	suku	Strasburgeria	Baill.	MX.4986492	Strasburgeriaceae	nokkakuulat				
		Strasburgeria robusta 	(Vieill. ex Pancher & Sebert) Guillaumin		Strasburgeria	nokkakuula				
	suku	Syngonium	Schott	MX.40090	Araceae	kultakorvat				
		Syngonium podophyllum	Schott		Syngonium	muulinkultakorva				
		Syzygium cumini	(L.) Skeels	MX.4979740	Syzygium	jaavanjambolaani				
	suku	Talbotia	Balf.	MX.4986369	Velloziaceae	kainotoivukit				
		Talbotia elegans	Balf.		Talbotia	kainotoivukki				
		Tamarix canariensis	Willd.	MX.5023628	Tamarix	kanariantamariski				
		Tetrapogon tenellus	(J.Koenig ex Roxb.) Chiov.	MX.5009180	Tetrapogon	hoikkakolkkatähkä	kolkkaheinä			
	suku	Thamnochortus	P.J.Bergius	MX.4986406	Restionaceae	kaisliot				
		Thamnochortus lucens	(Poir.) H.P.Linder		Thamnochortus	pronssikaislio				
		Thunbergia grandiflora	Roxb.	MX.5009310	Thunbergia	kellosusanna				
	suku	Torenia	L.	MX.289483	Linderniaceae	toreniat				
		Torenia fournieri	Linden ex E.Fourn. 		Torenia	kirjotorenia				
		Tradescantia pallida	(Rose) D.R.Hunt 	MX.42794	Tradescantia	purppuravenhojuoru	purppurajuoru			
		Tradescantia spathacea	Sw.	MX.42794	Tradescantia	taskuvenhojuoru	taskujuoru			
	suku	Tristicha	Thouars	MX.4986458	Podostemaceae	vuollenuppiaiset				
		Tristicha trifaria	(Bory ex Willd.) Spreng.		Tristicha	vuollenuppiainen				
	suku	Turnera	Plum. ex L.	MX.4986472	Passifloraceae	haaremiyrtit				
		Turnera ulmifolia	L.		Turnera	karibianhaaremiyrtti				
		Utricularia subulata	L.	MX.39688	Utricularia	sorjavesiherne				
		Xerophyta spekei 	Baker	MX.5009300	Xerophyta	tansaniantoivukki				
	suku	Xyris	Gronov. ex L.	MX.4986402	Xyridaceae	suomunupit				
		Xyris pancheri	Rendle		Xyris	uudenkaledoniansuomunuppi				
		Yucca brevifolia	Engelm.	MX.5020936	Yucca	joosuanjukka				
	suku	Tetraena	Maxim.	MX.4986430	Zygophyllaceae	mehikorvat				
		Tetraena fontanesii	(Webb & Berthel.) Beier & Thulin		Tetraena	kanarianmehikorva				Syn. Zygophyllum fontanesii
		Abutilon mauritianum	(Jacq.) Medik.	MX.38698	Abutilon	kuituaulio				
		Abutilon rehmannii	Baker f.	MX.38698	Abutilon	samettiaulio				
		Acalypha crenata	Hochst. ex A.Rich.	MX.41760	Acalypha	nirkkokissanhäntä				
		Acalypha paniculata	Miq.	MX.41760	Acalypha	röyhykissanhäntä				
	suku	Acanthospermum	Schrank	MX.39723	Asteraceae	tarritähdet				
		Acanthospermum hispidum	DC.		Acanthospermum	partatarritähti				
	suku	Achyranthes	L.	MX.5081107	Amaranthaceae	tähkähännät				
		Achyranthes aspera	L.		Achyranthes	otatähkähäntä				
		Acmella caulirhiza	Delile	MX.5023148	Acmella	juurtoparakrassi				
		Acmella uliginosa	(Sw.) Cass.	MX.5023148	Acmella	pikkuparakrassi				
	suku	Adenostemma	J.R.Forst. & G.Forst.	MX.39723	Asteraceae	nuijalatvat				
		Adenostemma mauritianum	DC.		Adenostemma	huiskilonuijalatva				
		Aeollanthus densiflorus	Ryding	MX.5008988	Aeollanthus	tähkätuulenminttu				
		Aeollanthus repens	Oliv.	MX.5008988	Aeollanthus	mehituulenminttu				
	suku	Aerva	Forssk.	MX.42334	Acanthaceae	karvahännät				
		Aerva javanica	(Burm. f.) Juss. ex Schult.		Aerva	villakarvahäntä				
	suku	Agathisanthemum	Klotzsch	MX.39276	Rubiaceae	pörhökit				
		Agathisanthemum bojeri	Klotzsch		Agathisanthemum	valkopörhökki				
	suku	Alectra	Thunb.	MX.41740	Orobanchaceae	kellakot				
		Alectra sessiliflora	(Vahl) Kuntze		Alectra	afrikankellakko				
		Aloë lateritia	Engl.	MX.5008994	Aloë	tiiliaaloe				
		Aloë secundiflora	Engl.	MX.5008994	Aloë	katkeroaaloe				
		Aloë somaliensis	C.H.Wright ex W.Watson	MX.5008994	Aloë	somalianaaloe				
		Aloë volkensii	Engl.	MX.5008994	Aloë	sansibarinaaloe				
		Alternanthera pungens	Kunth	MX.4971302	Alternanthera	rikkakaijalehti	rikkapapukaijalehti			
	suku	Aristida	L.	MX.40431	Poaceae	vihniöt				
		Aristida kenyensis	Henrard		Aristida	kenianvihniö				
	suku	Aspilia	Thouars	MX.39723	Asteraceae	paistekukat				
		Aspilia mossambicensis	(Oliv.) Wild		Aspilia	rohtopaistekukka				
	suku	Astripomoea	A. Meeuse	MX.39369	Convolvulaceae	tähtisuppilot				
		Astripomoea grantii	(Rendle) Verdc.		Astripomoea	ugandantähtisuppilo				
		Astripomoea hyoscyamoides	(Vatke) Verdc.		Astripomoea	tansaniantähtisuppilo				
		Astripomoea lachnosperma	(Choisy) A.Meeuse		Astripomoea	savannitähtisuppilo				
	suku	Athroisma	DC.	MX.39723	Asteraceae	kainonupit				
		Athroisma gracile	(Oliv.) Mattf.		Athroisma	hoikkakainonuppi				
		Baccharoides lasiopus	(O.Hoffm.) H.Rob.	MX.5023152	Baccharoides	tansaniantilkkukehto				
		Balanites pedicellaris	Mildbr. & Schltr.	MX.5009069	Balanites	pikkuneulapuu				
	suku	Barleria	L.	MX.42334	Acanthaceae	särmiöt				
		Barleria acanthoides	Vahl		Barleria	piikkisärmiö				
		Barleria eranthemoides	R.Br. ex C.B.Clarke		Barleria	mesisärmiö				
		Barleria prionitis 	L.		Barleria	sitruunasärmiö				
		Barleria submollis	Lindau		Barleria	liilasärmiö				
	suku	Basananthe	Peyr.	MX.4986472	Passifloraceae	ripsumaljat				
		Basananthe hanningtoniana	(Mast.) J.J.de Wilde		Basananthe	tansanianripsumalja				
	suku	Blepharis	Juss.	MX.42334	Acanthaceae	pistiöt				
		Blepharis linariifolia	Pers.		Blepharis	nauhapistiö				
	suku	Boerhavia	Vaill. ex L.	MX.42932	Nyctaginaceae	pamppiot				
		Boerhavia coccinea	Mill.		Boerhavia	punapamppio				
		Boerhavia diffusa	L.		Boerhavia	rohtopamppio				
		Boerhavia erecta	L.		Boerhavia	kruunupamppio				
		Bothriochloa insculpta	(Hochst. ex A.Rich.) A.Camus	MX.5023522	Bothriochloa	rönsytikkiheinä				
	suku	Bothriocline	Oliv. ex Benth.	MX.39723	Asteraceae	retliinilatvat				
		Bothriocline longipes	(Oliv. & Hiern) N.E.Br.		Bothriocline	tansanianretliinilatva				
	suku	Brachylaena	R.Br.	MX.39723	Asteraceae	tammikit				
		Brachylaena huillensis	O.Hoffm.		Brachylaena	mahtitammikki				
		Cardiospermum corindum	L.	MX.5014757	Cardiospermum	pikkupalloköynnös				
		Carex peregrina	Link	MX.40288	Carex	nuolisara				
	suku	Caylusea	A.St.-Hil.	MX.38518	Resedaceae	resediot				
		Caylusea abyssinica	(Fresen.) Fisch. & C.A.Mey.		Caylusea	vihannesresedio				
		Cenchrus clandestinus	(Hochst. ex Chiov.) Morrone	MX.41802	Cenchrus	mattosulkahirssi				
	suku	Centella	L.	MX.39171	Apiaceae	konnanputket				
		Centella asiatica	(L.) Urb.		Centella	rohtokonnanputki	rohtosammakonputki 			
	suku	Centemopsis	Schinz	MX.5081107	Amaranthaceae	tippatähkät				
		Centemopsis kirkii	(Hook.f.) Schinz		Centemopsis	hurmetippatähkä				
		Cerastium lanceolatum	(Poir.) Volponi	MX.38063	Cerastium	suikohärkki				
		Ceropegia ballyana	Bullock	MX.5009268	Ceropegia	kenianlyhty				
		Ceropegia verticillata	Masinde	MX.5009268	Ceropegia	mbololonlyhty				Löytynyt vain Mbololon metsästä Taitalta.
	suku	Chamaepentas	Bremek.	MX.39276	Rubiaceae	kiitäjänpillit				
		Chamaepentas hindsioides	(K.Schum.) Kårehed & B.Bremer		Chamaepentas	keniankiitäjänpilli				
		Cissus adeyana	Masinde & L.E.Newton	MX.5009273	Cissus	keniankissus				
		Cissus petiolata	Hook.f.	MX.5009273	Cissus	korkkikissus				
		Cissus phymatocarpa	Masinde & L.E.Newton	MX.5009273	Cissus	pulskakissus				
		Clematis brachiata	Thunb.	MX.37891	Clematis	kapinkärhö				
		Clematis simensis	Fresen.	MX.37891	Clematis	etiopiankärhö				
		Sieruela hirta	(Klotzsch) Roalson & J.C.Hall	MX.5023260	Sieruela	kaitatäpläviuhka				Syn. Cleome hirta (Klotzsch) Oliv.
		Sieruela monophylla	(L.) Roalson & J.C.Hall	MX.5023260	Sieruela	horsmatäpläviuhka				Syn. Cleome monophylla L.
		Coleus meyeri	(Gürke) A.J.Paton	MX.4971535	Coleus	tansanianliisukka				syn. Pycnostachys meyeri Gürke
		Coleus triangularis	(A.J.Paton) A.J.Paton	MX.4971535	Coleus	taitanliisukka				
	suku	Commicarpus	Standl.	MX.42932	Nyctaginaceae	nupikit				
		Commicarpus helenae	(Schult.) Meikle		Commicarpus	helenannupikki				
		Commicarpus plumbagineus	(Cav.) Standl.		Commicarpus	valkonupikki				
		Erigeron newii	Oliv. & Hiern	MX.39739	Erigeron	kultakoiransilmä				
		Corchorus tridens	L.	MX.41827	Corchorus	kaitajuutti				
		Corchorus urticifolius	Wight & Arn.	MX.41827	Corchorus	nokkosjuutti				
	suku	Cordylostigma	Groeninckx & Dessein	MX.39276	Rubiaceae	ristimöt				
		Cordylostigma microcala	(Bremek.) Groeninckx & Dessein		Cordylostigma	siroristimö				
	suku	Crassocephalum	Moench	MX.39723	Asteraceae	sudikot				
		Crassocephalum crepidioides	(Benth.) S.Moore		Crassocephalum	oranssisudikko				
		Crassocephalum montuosum	(S.Moore) Milne-Redh.		Crassocephalum	kultasudikko				
		Crassocephalum vitellinum	(Benth.) S.Moore		Crassocephalum	hehkusudikko				
		Crassula volkensii	Engl.	MX.38736	Crassula	kirjopaunikko				
	suku	Craterostigma	Hochst.	MX.289483	Linderniaceae	pampulasuut				
		Craterostigma plantagineum	Hochst.		Craterostigma	orvokkipampulasuu				
		Crinum macowanii	Baker	MX.5023027	Crinum	pasuunakriinumi				
		Cuscuta planiflora	Ten.	MX.39381	Cuscuta	lihakukkavieras				
	suku	Cyathula	Blume	MX.5081107	Amaranthaceae	tarriot				
		Cyathula cylindrica	Moq.		Cyathula	telatarrio				
		Cyathula hildebrandtii	(Schinz) Di Vincenzo, Berends., Wondafr. & Borsch		Cyathula	taitantarrio				
		Cyathula polycephala	Baker		Cyathula	runsotarrio				
		Cyathula uncinulata	(Schrad.) Schinz		Cyathula	kerätarrio				
	suku	Cycnium	E.Mey. ex Benth.	MX.41740	Orobanchaceae	kaulakit				
		Cycnium herzfeldianum	(Vatke) Engl.		Cycnium	keniankaulakki				
		Cynanchum gerrardi	(Harv.) Liede	MX.5023063	Cynanchum	koruhukankierto				
		Cynodon nlemfuensis	Vanderyst	MX.41835	Cynodon	afrikanvarvasheinä				
		Cynoglossum amplifolium	Hochst. ex A.DC.	MX.39446	Cynoglossum	laikkakoirankieli				
		Cynoglossum coeruleum	Hochst. ex A.DC.	MX.39446	Cynoglossum	keilakoirankieli				
		Cynoglossum lanceolatum	Forssk.	MX.39446	Cynoglossum	suikokoirankieli				
		Cyperus difformis	L.	MX.41836	Cyperus	kirjosädekaisla				
		Cyperus hemisphaericus	Boeckeler	MX.41836	Cyperus	ternisädekaisla				
		Cyperus hortensis	(Salzm. ex Steud.) Dorr	MX.41836	Cyperus	tapulisädekaisla				
		Cyperus rubicundus	Vahl	MX.41836	Cyperus	lastasädekaisla				
		Cyphostemma adenocaule	(Steud. ex A.Rich.) Desc. ex Wild & R.B.Drumm.	MX.5009051	Cyphostemma	vihannespulskio				
		Dactyloctenium geminatum	Hack.	MX.42747	Dactyloctenium	hiekkaraspiheinä				
		Dalechampia scandens	L.	MX.5025259	Dalechampia	liuskaliihoköynnös				
		Daucus incognitus	(C.Norman) Spalik, Reduron & Banasiak	MX.39263	Daucus 	kenianporkkana				
		Delphinium macrocentrum	Oliv.	MX.37871	Delphinium	elgoninritarinkannus				
	suku	Dichrocephala	L'Hér. ex DC.	MX.39723	Asteraceae	kupunupit				
		Dichrocephala integrifolia	(L.f.) Kuntze		Dichrocephala	rohtokupunuppi				
	suku	Diclis	Benth.	MX.39567	Scrophulariaceae	täpläkidat				
		Diclis ovata	Benth.		Diclis	valkotäpläkita				
	suku	Digera	Forssk.	MX.42334	Acanthaceae	hoikkahännät				
		Digera muricata	(L.) Mart.		Digera	hoikkahäntä				
	suku	Diplocyclos	(Endl.) Post & Kuntze	MX.38342	Cucurbitaceae	namuköynnökset				
		Diplocyclos palmatus	(L.) C. Jeffrey		Diplocyclos	sorminamuköynnös				
	suku	Droguetia	Gaudich.	MX.37982	Urticaceae	kehtosykeröt				
		Droguetia debilis	Rendle		Droguetia	hoikkakehtosykerö				
	suku	Ecbolium	Kurz	MX.42334	Acanthaceae	käpytähkät				
		Ecbolium subcordatum	C.B.Clarke		Ecbolium	keniankäpytähkä				
	suku	Edithcolea	N.E.Br.	MX.41748	Apocynaceae	haaskakukat				
		Edithcolea grandis	N.E.Br.		Edithcolea	haaskakukka				
	alalaji	Eleusine coracana subsp. africana	(Kenn.-O'Byrne) Hilu & de Wet	MX.5009497	Eleusine coracana	afrikanviljasormihirssi				
		Emilia coccinea	(Sims) G.Don	MX.5008974	Emilia	tuliemilia				
		Emilia discifolia	(Oliv.) C.Jeffrey	MX.5008974	Emilia	kultaemilia				
		Englerina drummondii	Balle ex Polhill & Wiens	MX.5008977	Englerina	oranssitulipilli				
	suku	Entada	Adans.	MX.38942	Fabaceae	kuplapalot				
		Entada leptostachya	Harms		Entada	keniankuplapalko				
	suku	Equilabium	Mwany., A.J.Paton & Culham	MX.39448	Lamiaceae	koukkuliisukat				
		Equilabium laxiflorum	(Benth.) Mwany., A.J.Paton & Culham		Equilabium	kainoliisukka				
		Eragrostis ciliaris	(L.) R.Br.	MX.40646	Eragrostis	afrikanröllinurmikka				
		Eragrostis racemosa	(Thunb.) Steud.	MX.40646	Eragrostis 	tertturöllinurmikka				
		Erigeron karvinskianus	DC.	MX.39739	Erigeron	rentokallioinen				
		Erucastrum arabicum	Fisch. & C.A.Mey.	MX.38504	Erucastrum	arabiankaalisinappi				
	suku	Eschenbachia	Moench	MX.39723	Asteraceae	turrinsilmät				
		Eschenbachia subscaposa	(O.Hoffm.) G.L.Nesom		Eschenbachia	tansanianturrinsilmä				
		Eulophia speciosa	(R.Br.) Bolus	MX.5008978	Eulophia	keltakorvakämmekkä				
		Eulophia taitensis	Pfennig & P.J.Cribb	MX.5008978	Eulophia	taitankorvakämmekkä				
		Euphorbia arabica	Hochst. & Steud. ex T.Anderson	MX.38706	Euphorbia	arabiantyräkki				
		Euphorbia granulata	Forssk.	MX.38706	Euphorbia	kuuratyräkki				
		Euphorbia hirta	L.	MX.38706	Euphorbia	kerätyräkki				
		Euphorbia indica	Lam.	MX.38706	Euphorbia	melatyräkki				
	suku	Euploca	Nutt.	MX.4971902	Heliotropiaceae	helioopit				
		Euploca strigosa	(Willd.) Diane & Hilger		Euploca	hiekkaheliooppi				
	suku	Euryops	(Cass.) Cass.	MX.39723	Asteraceae	marjukat	kehrämöt			
		Euryops chrysanthemoides	(DC.) B.Nord.		Euryops	kesämarjukka				
	suku	Evelynastra	Di Vincenzo, Berends., Wondafr. & Borsch	MX.5081107	Amaranthaceae	tähtilehdet				
		Evelynastra pallida	(S.Moore) Di Vincenzo, Berends., Wondafr. & Borsch		Evelynastra	tähtilehti				
	suku	Evolvulus	L.	MX.39369	Convolvulaceae	kreppikukat				
		Evolvulus alsinoides	(L.) L.		Evolvulus	safiirikreppikukka				
	suku	Farsetia	Turra	MX.38351	Brassicaceae	kuitulidut				
		Farsetia stenoptera	Hochst.		Farsetia	suikokuitulitu				
	suku	Flaveria	Juss.	MX.39723	Asteraceae	keltalatvat				
		Flaveria trinervia	(Spreng.) C.Mohr		Flaveria	meksikonkeltalatva				
	suku	Gerbera	L.	MX.39723	Asteraceae	gerberat				
		Gerbera piloselloides	(L.) Cass.		Gerbera	pamppugerbera				
	suku	Gutenbergia	Sch.Bip.	MX.39723	Asteraceae	purppuralatvat				
		Gutenbergia cordifolia	Benth. ex Oliv.		Gutenbergia	isopurppuralatva				
		Gymnanthemum auriculiferum	(Hiern) Isawumi	MX.5009084	Gymnanthemum	korvakainolatva	kainolatva			
	suku	Harpachne	Hochst. ex A.Rich.	MX.40431	Poaceae	rassiheinät				
		Harpachne schimperi	Hochst. ex A.Rich.		Harpachne	afrikanrassiheinä				
		Hedychium coronarium	J.Koenig	MX.5023657	Hedychium	valkotuoksuinkivääri				
		Helichrysum foetidum	(L.) Moench	MX.41874	Helichrysum	tuoksuolkikukka				
		Helichrysum forskahlii	(J.F.Gmel.) Hilliard & B.L.Burtt	MX.41874	Helichrysum	varpuolkikukka				
		Helichrysum glumaceum	DC.	MX.41874	Helichrysum	valko-olkikukka				
	suku	Pseudognaphalium	Kirp.	MX.39723	Asteraceae	keltajäkkärät				
		Pseudognaphalium luteoalbum	(L.) Hilliard & B.L.Burtt		Pseudognaphalium	valkojäkkärä				Syn. Helichrysum luteoalbum (L.) Rchb.
		Helichrysum odoratissimum	 (L.) Sweet 	MX.41874	Helichrysum	tansanianolkikukka				
		Helichrysum setosum	Harv.	MX.41874	Helichrysum	aurinko-olkikukka				
		Helichrysum stenopterum	DC.	MX.41874	Helichrysum	siipiolkikukka				
	suku	Helinus	E.Mey. ex Endl.	MX.39267	Rhamnaceae	tuppiheteet				
		Helinus integrifolius	(Lam.) Kuntze		Helinus	silotuppihede											
	suku	Hermannia	L.	MX.38687	Malvaceae	kelloset				
		Hermannia exappendiculata	(Mast.) K.Schum. ex Engl.		Hermannia	keniankellonen				
	suku	Heterocentron	Hook. & Arn.	MX.4986481	Melastomataceae	puntarkukat				
		Heterocentron elegans	(Schltdl.) Kuntze		Heterocentron	purppurapuntarkukka				
	suku	Heteropogon	Pers.	MX.40431	Poaceae	vihnelatvat				
		Heteropogon contortus	(L.) P.Beauv. ex Roem. & Schult.		Heteropogon	kierrevihnelatva				
		Hibiscus flavifolius	Ulbr.	MX.38700	Hibiscus	kenianhibiskus				
		Hibiscus surattensis	L.	MX.38700	Hibiscus	hyrrähibiskus				
		Hypericum peplidifolium	A.Rich.	MX.38298	Hypericum	lamokuisma				
	suku	Hyperthelia	Clayton	MX.40431	Poaceae	harjasröyhyt				
		Hyperthelia dissoluta	(Nees ex Steud.) Clayton		Hyperthelia	afrikanharjasröyhy				
	suku	Hypoestes	Sol. ex R. Br.	MX.42334	Acanthaceae	tuppitorvet	pilkkulehdet			
		Hypoestes aristata	(Vahl) Sol. ex Roem. & Schult.		Hypoestes	vihnetuppitorvi				
		Hypoestes phyllostachya	Baker		Hypoestes	pilkkutuppitorvi				
		Hypoestes triflora	(Forssk.) Roem. & Schult.		Hypoestes	rusotuppitorvi				
		Ipomoea eriocarpa	R.Br.	MX.39376	Ipomoea	tiukuelämänlanka				
		Ipomoea indica	(Burm.) Merr.	MX.39376	Ipomoea	taivaanelämänlanka				
		Ipomoea involucrata	P.Beauv.	MX.39376	Ipomoea	kauluselämänlanka				
		Ipomoea jaegeri	Pilg.	MX.39376	Ipomoea	kuurnaelämänlanka				
		Ipomoea ochracea	(Lindl.) Sweet	MX.39376	Ipomoea	keltaelämänlanka	keltapäivänsini			
		Jasminum dichotomum	Vahl	MX.5023465	Jasminum	ruusunnuppujasmiini				
		Jasminum fluminense	Vell.	MX.5023465	Jasminum	raippajasmiini				
		Justicia adhatoda 	L.	MX.5009318	Justicia	valkojaakonkukka	valkopantterinkita			
		Justicia heterocarpa	T.Anderson	MX.5009318	Justicia	suvijaakonkukka				
		Justicia pseudorungia	Lindau	MX.5009318	Justicia	tansanianjaakonkukka				
	suku	Kosteletzkya	C.Presl	MX.38687	Malvaceae	linkkikukat				
		Kosteletzkya adoensis	(Hochst. ex A.Rich.) Mast.		Kosteletzkya	etiopianlinkkikukka				
		Launaea cornuta	(Hochst. ex Oliv. & Hiern) C.Jeffrey	MX.5023167	Launaea	sudaninrisuvalvatti	risuvalvatti			
	suku	Leucas	R.Br.	MX.39448	Lamiaceae	valkohuulet				
		Leucas grandis	Vatke		Leucas	isovalkohuuli				
		Leucas neuflizeana	Courbon		Leucas	suonivalkohuuli				
		Leucas urticifolia	(Vahl) Sm.		Leucas	kerävalkohuuli				
	suku	Linderniella	Eb.Fisch., Schäferh. & Kai Müll.	MX.289483	Linderniaceae	huulimot				
		Linderniella brevidens	(Skan) Eb.Fisch., Schäferh. & Kai Müll.		Linderniella	usambaranhuulimo				
		Linderniella gracilis	(Skan) Eb.Fisch., Schäferh. & Kai Müll.		Linderniella	keijuhuulimo				
	suku	Lipotriche	R.Br.	MX.39723	Asteraceae	päikkiöt				
		Lipotriche scandens	(Schumach. & Thonn.) Orchard		Lipotriche	kiipijäpäikkiö				
	suku	Lippia	L.	MX.41746	Verbenaceae	tuoksimot				
		Lippia javanica	(Burm.f.) Spreng.		Lippia	sitruunatuoksimo				
		Lippia kituiensis	Vatke		Lippia	keniantuoksimo				
	suku	Megalochlamys	Lindau	MX.42334	Acanthaceae	taivokit				
		Megalochlamys revoluta	(Lindau) Vollesen		Megalochlamys	taivokki				
	suku	Megathyrsus	(Pilg.) B.K.Simon & S.W.L.Jacobs	MX.40431	Poaceae	isohirssit				
		Megathyrsus infestus	(Andersson) B.K.Simon & S.W.L.Jacobs		Megathyrsus	mosambikinisohirssi				
